"parameter","median","ci_low","ci_high","pd","model"
"z_recoded_session:z_recoded_mini_language",-0.104775135,-0.29815128475,0.081942137625,0.864,"accuracy_gender_agreement_weakprior"
"z_recoded_grammaticality:z_recoded_session:z_recoded_mini_language",0.163427055,0.09206648995,0.2358891025,1,"accuracy_gender_agreement_weakprior"
"Intercept",1.3520191,0.94476604825,1.756038175,1,"accuracy_verb_object_number_agreement"
"z_recoded_grammaticality",0.801185005,0.45000193625,1.1467861075,1,"accuracy_verb_object_number_agreement"
"z_recoded_session",-0.651948325,-0.98122503975,-0.31644837825,0.99984375,"accuracy_verb_object_number_agreement"
"z_recoded_mini_language",0.0862270545,-0.3245038065,0.50663324075,0.6610625,"accuracy_verb_object_number_agreement"
"z_recoded_grammaticality:z_recoded_session",-0.0519807835,-0.13254726725,0.0298201364249999,0.8934375,"accuracy_verb_object_number_agreement"
"z_recoded_grammaticality:z_recoded_mini_language",0.0190030065,-0.326365285,0.360519823249999,0.5443125,"accuracy_verb_object_number_agreement"
"z_recoded_session:z_recoded_mini_language",-0.199432425,-0.54957660525,0.13959651625,0.87628125,"accuracy_verb_object_number_agreement"
"z_recoded_grammaticality:z_recoded_session:z_recoded_mini_language",0.044738017,-0.03728352495,0.1250984015,0.857125,"accuracy_verb_object_number_agreement"
"Intercept",1.42197625,1.0050699775,1.853509195,1,"accuracy_verb_object_number_agreement_weakprior"
"z_recoded_grammaticality",0.845712605,0.49823553475,1.2082185675,1,"accuracy_verb_object_number_agreement_weakprior"
"z_recoded_session",-0.751322865,-1.1166059825,-0.399681362,1,"accuracy_verb_object_number_agreement_weakprior"
"z_recoded_mini_language",0.098430509,-0.32160325025,0.52993927775,0.67821875,"accuracy_verb_object_number_agreement_weakprior"
"z_recoded_grammaticality:z_recoded_session",-0.05287984,-0.133505294,0.02779773455,0.89715625,"accuracy_verb_object_number_agreement_weakprior"
"z_recoded_grammaticality:z_recoded_mini_language",0.0280184885,-0.3331241915,0.37102817275,0.56040625,"accuracy_verb_object_number_agreement_weakprior"
"z_recoded_session:z_recoded_mini_language",-0.213432095,-0.56977615725,0.134597803,0.88528125,"accuracy_verb_object_number_agreement_weakprior"
"z_recoded_grammaticality:z_recoded_session:z_recoded_mini_language",0.044971469,-0.0354124064,0.125368927,0.86003125,"accuracy_verb_object_number_agreement_weakprior"
"Intercept",0.0072880833,-0.01168710815,0.0257574743749999,0.77496875,"erp_differential_object_marking_200_500_lateral_itemslope_retfree"
"z_baseline_predictor",0.5117126,0.50443249875,0.519033607,1,"erp_differential_object_marking_200_500_lateral_itemslope_retfree"
"z_recoded_grammaticality",0.0178710955,-0.0098512944025,0.0456415023,0.896875,"erp_differential_object_marking_200_500_lateral_itemslope_retfree"
"z_recoded_session",-0.036119009,-0.06573922205,-0.006348370205,0.9908125,"erp_differential_object_marking_200_500_lateral_itemslope_retfree"
"z_recoded_mini_language",-0.018030108,-0.03748755775,0.000741341882249982,0.97015625,"erp_differential_object_marking_200_500_lateral_itemslope_retfree"
"z_retention",0.0200089125,-0.013535453125,0.0532507599,0.88078125,"erp_differential_object_marking_200_500_lateral_itemslope_retfree"
"z_recoded_hemisphere",0.024223429,0.0170826789,0.031350698025,1,"erp_differential_object_marking_200_500_lateral_itemslope_retfree"
"z_recoded_caudality",-0.0285197865,-0.03562437255,-0.02145971845,1,"erp_differential_object_marking_200_500_lateral_itemslope_retfree"
"z_multilingual_language_diversity",-0.00207202325,-0.012091561375,0.007593627805,0.66584375,"erp_differential_object_marking_200_500_lateral_itemslope_retfree"
"z_recoded_grammaticality:z_recoded_session",0.00431291055,-0.0087084648375,0.017502902175,0.73953125,"erp_differential_object_marking_200_500_lateral_itemslope_retfree"
"z_recoded_grammaticality:z_recoded_mini_language",0.00393627185,-0.023993523075,0.031972404125,0.608625,"erp_differential_object_marking_200_500_lateral_itemslope_retfree"
"z_recoded_session:z_recoded_mini_language",0.025035715,-0.0048808386175,0.0548882999,0.95315625,"erp_differential_object_marking_200_500_lateral_itemslope_retfree"
"z_recoded_grammaticality:z_retention",-0.0202541125,-0.050821211525,0.010363831425,0.90146875,"erp_differential_object_marking_200_500_lateral_itemslope_retfree"
"z_recoded_mini_language:z_retention",-0.059818111,-0.09421762285,-0.026452877625,0.99978125,"erp_differential_object_marking_200_500_lateral_itemslope_retfree"
"z_recoded_grammaticality:z_recoded_hemisphere",0.018891866,0.0118981876,0.025825805425,1,"erp_differential_object_marking_200_500_lateral_itemslope_retfree"
"z_recoded_grammaticality:z_recoded_caudality",0.0016732409,-0.0055547944125,0.0088550048925,0.680125,"erp_differential_object_marking_200_500_lateral_itemslope_retfree"
"z_recoded_grammaticality:z_recoded_session:z_recoded_mini_language",0.0073982939,-0.005658716955,0.0206120889,0.867375,"erp_differential_object_marking_200_500_lateral_itemslope_retfree"
"z_recoded_grammaticality:z_recoded_mini_language:z_retention",-0.044815214,-0.075567298325,-0.0138638131,0.9979375,"erp_differential_object_marking_200_500_lateral_itemslope_retfree"
"Intercept",0.00201182495,-0.0138470899,0.0173407159,0.59784375,"erp_differential_object_marking_200_500_lateral_itemslope"
"z_baseline_predictor",0.51150067,0.504208083,0.5188432345,1,"erp_differential_object_marking_200_500_lateral_itemslope"
"z_recoded_grammaticality",0.0239553325,-0.00271834611249999,0.05034114575,0.96115625,"erp_differential_object_marking_200_500_lateral_itemslope"
"z_recoded_session",-0.029392254,-0.0571856227,-0.00191172559500003,0.98165625,"erp_differential_object_marking_200_500_lateral_itemslope"
"z_recoded_mini_language",0.00031019674,-0.0156255374,0.0161055554,0.51484375,"erp_differential_object_marking_200_500_lateral_itemslope"
"z_recoded_hemisphere",0.0242033865,0.0171461066,0.0313167534,1,"erp_differential_object_marking_200_500_lateral_itemslope"
"z_recoded_caudality",-0.028492286,-0.035552697,-0.021377600775,1,"erp_differential_object_marking_200_500_lateral_itemslope"
"z_multilingual_language_diversity",-0.00359521835,-0.013294801975,0.0057693593375,0.77928125,"erp_differential_object_marking_200_500_lateral_itemslope"
"z_recoded_grammaticality:z_recoded_session",-0.00253015585,-0.0102847791,0.0052172779375,0.7405625,"erp_differential_object_marking_200_500_lateral_itemslope"
"z_recoded_grammaticality:z_recoded_mini_language",0.016087278,-0.010958580375,0.042571973775,0.88103125,"erp_differential_object_marking_200_500_lateral_itemslope"
"z_recoded_session:z_recoded_mini_language",0.00697397205,-0.02045477385,0.034318214125,0.6926875,"erp_differential_object_marking_200_500_lateral_itemslope"
"z_recoded_grammaticality:z_recoded_hemisphere",0.018903402,0.0117397782,0.0260042316,1,"erp_differential_object_marking_200_500_lateral_itemslope"
"z_recoded_grammaticality:z_recoded_caudality",0.0016450509,-0.00534972121,0.0087334069925,0.6768125,"erp_differential_object_marking_200_500_lateral_itemslope"
"z_recoded_grammaticality:z_recoded_session:z_recoded_mini_language",-0.007623701,-0.01530267255,8.21857329749964e-05,0.97365625,"erp_differential_object_marking_200_500_lateral_itemslope"
"Intercept",0.0074204339,-0.01107816975,0.02556146155,0.782125,"erp_differential_object_marking_200_500_lateral_retfree"
"z_baseline_predictor",0.51301888,0.505638407,0.52039276475,1,"erp_differential_object_marking_200_500_lateral_retfree"
"z_recoded_grammaticality",0.0178379005,-0.0071966385825,0.043157447775,0.918625,"erp_differential_object_marking_200_500_lateral_retfree"
"z_recoded_session",-0.034953823,-0.064296822025,-0.00589907951250002,0.99028125,"erp_differential_object_marking_200_500_lateral_retfree"
"z_recoded_mini_language",-0.0154191975,-0.03446294755,0.00308884540249999,0.951,"erp_differential_object_marking_200_500_lateral_retfree"
"z_retention",0.0194238465,-0.0137152936,0.0525621700499999,0.87778125,"erp_differential_object_marking_200_500_lateral_retfree"
"z_recoded_hemisphere",0.024249369,0.017186262775,0.03146603,1,"erp_differential_object_marking_200_500_lateral_retfree"
"z_recoded_caudality",-0.028538158,-0.03574532145,-0.021347441575,1,"erp_differential_object_marking_200_500_lateral_retfree"
"z_multilingual_language_diversity",-0.00427178335,-0.01369564775,0.0047107482375,0.827375,"erp_differential_object_marking_200_500_lateral_retfree"
"z_recoded_grammaticality:z_recoded_session",0.00552844405,-0.00760138455,0.018507956175,0.79428125,"erp_differential_object_marking_200_500_lateral_retfree"
"z_recoded_grammaticality:z_recoded_mini_language",0.0043200894,-0.021170490475,0.0291563828,0.6309375,"erp_differential_object_marking_200_500_lateral_retfree"
"z_recoded_session:z_recoded_mini_language",0.0237080935,-0.0059436266775,0.053488746275,0.94453125,"erp_differential_object_marking_200_500_lateral_retfree"
"z_recoded_grammaticality:z_retention",-0.0215994625,-0.05258818775,0.00871640122249998,0.9156875,"erp_differential_object_marking_200_500_lateral_retfree"
"z_recoded_mini_language:z_retention",-0.055709053,-0.089281030675,-0.02234970835,0.99971875,"erp_differential_object_marking_200_500_lateral_retfree"
"z_recoded_grammaticality:z_recoded_hemisphere",0.018899745,0.01181033155,0.02614243565,1,"erp_differential_object_marking_200_500_lateral_retfree"
"z_recoded_grammaticality:z_recoded_caudality",0.0016812461,-0.005445903745,0.00884732905249999,0.680375,"erp_differential_object_marking_200_500_lateral_retfree"
"z_recoded_grammaticality:z_recoded_session:z_recoded_mini_language",0.0084689326,-0.004610942025,0.0216185661,0.89878125,"erp_differential_object_marking_200_500_lateral_retfree"
"z_recoded_grammaticality:z_recoded_mini_language:z_retention",-0.0444853935,-0.0755381453,-0.0135468741,0.99778125,"erp_differential_object_marking_200_500_lateral_retfree"
"Intercept",0.0024106957,-0.0129291316,0.01767557225,0.62421875,"erp_differential_object_marking_200_500_lateral"
"z_baseline_predictor",0.51283862,0.5056235695,0.520036755,1,"erp_differential_object_marking_200_500_lateral"
"z_recoded_grammaticality",0.0241644345,0.000544629697500004,0.047963415875,0.97721875,"erp_differential_object_marking_200_500_lateral"
"z_recoded_session",-0.0283786265,-0.056138866575,-0.000995527028500026,0.9785625,"erp_differential_object_marking_200_500_lateral"
"z_recoded_mini_language",0.0015229497,-0.013953606075,0.017117550325,0.577,"erp_differential_object_marking_200_500_lateral"
"z_recoded_hemisphere",0.024228662,0.0171151855,0.0313708875,1,"erp_differential_object_marking_200_500_lateral"
"z_recoded_caudality",-0.0285297365,-0.035514351675,-0.02145307405,1,"erp_differential_object_marking_200_500_lateral"
"z_multilingual_language_diversity",-0.00566458355,-0.01527936915,0.0034335080425,0.890375,"erp_differential_object_marking_200_500_lateral"
"z_recoded_grammaticality:z_recoded_session",-0.0018483217,-0.0097379675925,0.0060236976325,0.67728125,"erp_differential_object_marking_200_500_lateral"
"z_recoded_grammaticality:z_recoded_mini_language",0.0163608615,-0.00738185383999999,0.040088074325,0.9130625,"erp_differential_object_marking_200_500_lateral"
"z_recoded_session:z_recoded_mini_language",0.00623515405,-0.021147831025,0.03436371355,0.6795625,"erp_differential_object_marking_200_500_lateral"
"z_recoded_grammaticality:z_recoded_hemisphere",0.0189033895,0.01175544665,0.026090387425,1,"erp_differential_object_marking_200_500_lateral"
"z_recoded_grammaticality:z_recoded_caudality",0.00167559195,-0.00536035078,0.00880559916499999,0.67659375,"erp_differential_object_marking_200_500_lateral"
"z_recoded_grammaticality:z_recoded_session:z_recoded_mini_language",-0.0065498239,-0.014323007425,0.001328723995,0.94853125,"erp_differential_object_marking_200_500_lateral"
"Intercept",0.001946986,-0.01402451615,0.0175801954,0.59603125,"erp_differential_object_marking_200_500_lateral_weakprior_itemslope"
"z_baseline_predictor",0.51152821,0.50423336375,0.51883678825,1,"erp_differential_object_marking_200_500_lateral_weakprior_itemslope"
"z_recoded_grammaticality",0.0239453625,-0.0024702994575,0.050608233975,0.96271875,"erp_differential_object_marking_200_500_lateral_weakprior_itemslope"
"z_recoded_session",-0.029399802,-0.05733000615,-0.00176222888000001,0.98075,"erp_differential_object_marking_200_500_lateral_weakprior_itemslope"
"z_recoded_mini_language",0.00025881015,-0.015546500425,0.01617372975,0.51340625,"erp_differential_object_marking_200_500_lateral_weakprior_itemslope"
"z_recoded_hemisphere",0.024185915,0.017010157975,0.031273333725,1,"erp_differential_object_marking_200_500_lateral_weakprior_itemslope"
"z_recoded_caudality",-0.028496878,-0.0353926589,-0.02157115965,1,"erp_differential_object_marking_200_500_lateral_weakprior_itemslope"
"z_multilingual_language_diversity",-0.0035252517,-0.0133888896,0.0057801928675,0.77959375,"erp_differential_object_marking_200_500_lateral_weakprior_itemslope"
"z_recoded_grammaticality:z_recoded_session",-0.00253630855,-0.010311312975,0.0052944957875,0.74146875,"erp_differential_object_marking_200_500_lateral_weakprior_itemslope"
"z_recoded_grammaticality:z_recoded_mini_language",0.0160865855,-0.010858566525,0.04209397165,0.88609375,"erp_differential_object_marking_200_500_lateral_weakprior_itemslope"
"z_recoded_session:z_recoded_mini_language",0.00694764455,-0.02119735725,0.034542470575,0.69,"erp_differential_object_marking_200_500_lateral_weakprior_itemslope"
"z_recoded_grammaticality:z_recoded_hemisphere",0.018882964,0.011822704925,0.025952682975,1,"erp_differential_object_marking_200_500_lateral_weakprior_itemslope"
"z_recoded_grammaticality:z_recoded_caudality",0.0016865387,-0.0054476279725,0.008824581805,0.67846875,"erp_differential_object_marking_200_500_lateral_weakprior_itemslope"
"z_recoded_grammaticality:z_recoded_session:z_recoded_mini_language",-0.00767178155,-0.0152891388,-3.19127477250019e-05,0.9754375,"erp_differential_object_marking_200_500_lateral_weakprior_itemslope"
"Intercept",0.0023436779,-0.013110127075,0.017591359575,0.616,"erp_differential_object_marking_200_500_lateral_weakprior"
"z_baseline_predictor",0.512850335,0.50568297225,0.5200646905,1,"erp_differential_object_marking_200_500_lateral_weakprior"
"z_recoded_grammaticality",0.024098369,0.000202283053750003,0.04793942605,0.97615625,"erp_differential_object_marking_200_500_lateral_weakprior"
"z_recoded_session",-0.028689834,-0.056581106675,-0.000920604719000018,0.97871875,"erp_differential_object_marking_200_500_lateral_weakprior"
"z_recoded_mini_language",0.00140587015,-0.0141462209,0.0169757656,0.56890625,"erp_differential_object_marking_200_500_lateral_weakprior"
"z_recoded_hemisphere",0.024276336,0.0171256898,0.031372429825,1,"erp_differential_object_marking_200_500_lateral_weakprior"
"z_recoded_caudality",-0.028507698,-0.035545042975,-0.021451037275,1,"erp_differential_object_marking_200_500_lateral_weakprior"
"z_multilingual_language_diversity",-0.00563066865,-0.015286456875,0.00326836081999999,0.893625,"erp_differential_object_marking_200_500_lateral_weakprior"
"z_recoded_grammaticality:z_recoded_session",-0.00176789705,-0.009585636135,0.0059836489025,0.672875,"erp_differential_object_marking_200_500_lateral_weakprior"
"z_recoded_grammaticality:z_recoded_mini_language",0.0162772745,-0.007610746375,0.040238862825,0.912,"erp_differential_object_marking_200_500_lateral_weakprior"
"z_recoded_session:z_recoded_mini_language",0.0066873315,-0.02139234595,0.0338604009,0.685375,"erp_differential_object_marking_200_500_lateral_weakprior"
"z_recoded_grammaticality:z_recoded_hemisphere",0.0189198065,0.011879979525,0.0260304432,1,"erp_differential_object_marking_200_500_lateral_weakprior"
"z_recoded_grammaticality:z_recoded_caudality",0.0017107885,-0.005347908945,0.008782514645,0.67821875,"erp_differential_object_marking_200_500_lateral_weakprior"
"z_recoded_grammaticality:z_recoded_session:z_recoded_mini_language",-0.0065371179,-0.0142435639,0.0012252558225,0.94996875,"erp_differential_object_marking_200_500_lateral_weakprior"
"Intercept",0.0126676905,-0.00931536835,0.0349448483,0.8696875,"erp_differential_object_marking_200_500_midline_itemslope_retfree"
"z_baseline_predictor",0.489814885,0.4793063565,0.50041404025,1,"erp_differential_object_marking_200_500_midline_itemslope_retfree"
"z_recoded_grammaticality",0.01915411,-0.013842964025,0.051830007025,0.87403125,"erp_differential_object_marking_200_500_midline_itemslope_retfree"
"z_recoded_session",-0.0422016555,-0.077655453325,-0.00686777207500001,0.989625,"erp_differential_object_marking_200_500_midline_itemslope_retfree"
"z_recoded_mini_language",-0.013181894,-0.03628838365,0.00953107408999999,0.86875,"erp_differential_object_marking_200_500_midline_itemslope_retfree"
"z_retention",0.0335599685,-0.0123598243,0.08091839965,0.9255625,"erp_differential_object_marking_200_500_midline_itemslope_retfree"
"z_recoded_caudality",-0.0164282935,-0.026478774775,-0.00627625807,0.9993125,"erp_differential_object_marking_200_500_midline_itemslope_retfree"
"z_multilingual_language_diversity",-0.00703220585,-0.01937457865,0.00521708956999999,0.87171875,"erp_differential_object_marking_200_500_midline_itemslope_retfree"
"z_recoded_grammaticality:z_recoded_session",0.0035618906,-0.0150238279,0.0224167699,0.6486875,"erp_differential_object_marking_200_500_midline_itemslope_retfree"
"z_recoded_grammaticality:z_recoded_mini_language",-0.0156652385,-0.04861639355,0.01690208665,0.8316875,"erp_differential_object_marking_200_500_midline_itemslope_retfree"
"z_recoded_session:z_recoded_mini_language",0.011170614,-0.024018663625,0.04621861535,0.7338125,"erp_differential_object_marking_200_500_midline_itemslope_retfree"
"z_recoded_grammaticality:z_retention",-0.040663023,-0.083909172025,0.00363611706499997,0.96415625,"erp_differential_object_marking_200_500_midline_itemslope_retfree"
"z_recoded_mini_language:z_retention",-0.039630482,-0.086241318925,0.0073076067375,0.9510625,"erp_differential_object_marking_200_500_midline_itemslope_retfree"
"z_recoded_grammaticality:z_recoded_caudality",-0.0014049971,-0.011453304325,0.00857680628,0.6109375,"erp_differential_object_marking_200_500_midline_itemslope_retfree"
"z_recoded_grammaticality:z_recoded_session:z_recoded_mini_language",0.0289826565,0.010105601275,0.047362390425,0.99878125,"erp_differential_object_marking_200_500_midline_itemslope_retfree"
"z_recoded_grammaticality:z_recoded_mini_language:z_retention",-0.095738478,-0.13928087,-0.0518737424000001,0.99996875,"erp_differential_object_marking_200_500_midline_itemslope_retfree"
"Intercept",0.00335755795,-0.01437599345,0.020733638425,0.6461875,"erp_differential_object_marking_200_500_midline_itemslope"
"z_baseline_predictor",0.48939625,0.47877531375,0.50005028425,1,"erp_differential_object_marking_200_500_midline_itemslope"
"z_recoded_grammaticality",0.0310855455,0.000162427201250004,0.062127531125,0.9755625,"erp_differential_object_marking_200_500_midline_itemslope"
"z_recoded_session",-0.03100071,-0.062445063175,0.00138336900999999,0.970125,"erp_differential_object_marking_200_500_midline_itemslope"
"z_recoded_mini_language",-0.0015830017,-0.01948891145,0.0163068821,0.56978125,"erp_differential_object_marking_200_500_midline_itemslope"
"z_recoded_caudality",-0.0163515465,-0.026563079625,-0.00622757799,0.99890625,"erp_differential_object_marking_200_500_midline_itemslope"
"z_multilingual_language_diversity",-0.00787533695,-0.019831697625,0.0041037188575,0.904875,"erp_differential_object_marking_200_500_midline_itemslope"
"z_recoded_grammaticality:z_recoded_session",-0.010017581,-0.020987934725,0.00093439190675,0.963125,"erp_differential_object_marking_200_500_midline_itemslope"
"z_recoded_grammaticality:z_recoded_mini_language",0.0099964137,-0.0205071551,0.0410828679499999,0.73875,"erp_differential_object_marking_200_500_midline_itemslope"
"z_recoded_session:z_recoded_mini_language",-0.00106345685,-0.0331518239,0.0308489722,0.5253125,"erp_differential_object_marking_200_500_midline_itemslope"
"z_recoded_grammaticality:z_recoded_caudality",-0.0014057608,-0.011648347675,0.008828670255,0.60846875,"erp_differential_object_marking_200_500_midline_itemslope"
"z_recoded_grammaticality:z_recoded_session:z_recoded_mini_language",-0.0036828723,-0.01480106485,0.0072507569925,0.74240625,"erp_differential_object_marking_200_500_midline_itemslope"
"Intercept",0.0123702495,-0.00988411103,0.034519759225,0.86021875,"erp_differential_object_marking_200_500_midline_retfree"
"z_baseline_predictor",0.490231545,0.47983291575,0.50078371525,1,"erp_differential_object_marking_200_500_midline_retfree"
"z_recoded_grammaticality",0.020409215,-0.01022939575,0.050997429425,0.9039375,"erp_differential_object_marking_200_500_midline_retfree"
"z_recoded_session",-0.0417187285,-0.07704812455,-0.00578310814000004,0.98928125,"erp_differential_object_marking_200_500_midline_retfree"
"z_recoded_mini_language",-0.0113278135,-0.034191226,0.011039792875,0.83790625,"erp_differential_object_marking_200_500_midline_retfree"
"z_retention",0.032973135,-0.0127856151,0.0791151360499999,0.922875,"erp_differential_object_marking_200_500_midline_retfree"
"z_recoded_caudality",-0.0163921145,-0.026414615975,-0.00631998456,0.999,"erp_differential_object_marking_200_500_midline_retfree"
"z_multilingual_language_diversity",-0.00807276245,-0.02030521825,0.00380905194499999,0.9075,"erp_differential_object_marking_200_500_midline_retfree"
"z_recoded_grammaticality:z_recoded_session",0.00382640895,-0.0146078044,0.0225797515,0.6595625,"erp_differential_object_marking_200_500_midline_retfree"
"z_recoded_grammaticality:z_recoded_mini_language",-0.0154128945,-0.0461248079,0.015244291625,0.83990625,"erp_differential_object_marking_200_500_midline_retfree"
"z_recoded_session:z_recoded_mini_language",0.009696528,-0.0256642412,0.04535453475,0.7051875,"erp_differential_object_marking_200_500_midline_retfree"
"z_recoded_grammaticality:z_retention",-0.038288531,-0.08199691065,0.00536685624749998,0.956875,"erp_differential_object_marking_200_500_midline_retfree"
"z_recoded_mini_language:z_retention",-0.0355172225,-0.0826739675,0.010684207425,0.93496875,"erp_differential_object_marking_200_500_midline_retfree"
"z_recoded_grammaticality:z_recoded_caudality",-0.00139256235,-0.011546061725,0.00886214997249999,0.6026875,"erp_differential_object_marking_200_500_midline_retfree"
"z_recoded_grammaticality:z_recoded_session:z_recoded_mini_language",0.029261025,0.010465418175,0.04819452005,0.99865625,"erp_differential_object_marking_200_500_midline_retfree"
"z_recoded_grammaticality:z_recoded_mini_language:z_retention",-0.0945835525,-0.1391775395,-0.05113103125,1,"erp_differential_object_marking_200_500_midline_retfree"
"Intercept",0.00324620995,-0.0144929509,0.020903820475,0.64040625,"erp_differential_object_marking_200_500_midline"
"z_baseline_predictor",0.489889905,0.47951330575,0.500306546,1,"erp_differential_object_marking_200_500_midline"
"z_recoded_grammaticality",0.031910045,0.003451671915,0.059674842975,0.98575,"erp_differential_object_marking_200_500_midline"
"z_recoded_session",-0.0303856235,-0.06246623525,0.00160727360499999,0.96953125,"erp_differential_object_marking_200_500_midline"
"z_recoded_mini_language",-0.00090643167,-0.01865990395,0.0170396029,0.5396875,"erp_differential_object_marking_200_500_midline"
"z_recoded_caudality",-0.016370892,-0.0264203573,-0.00623037756750001,0.999375,"erp_differential_object_marking_200_500_midline"
"z_multilingual_language_diversity",-0.00895290705,-0.021272200875,0.00297494914,0.93196875,"erp_differential_object_marking_200_500_midline"
"z_recoded_grammaticality:z_recoded_session",-0.0090246634,-0.020076139025,0.0020021671225,0.94534375,"erp_differential_object_marking_200_500_midline"
"z_recoded_grammaticality:z_recoded_mini_language",0.0096558971,-0.0190358205,0.03834343825,0.74946875,"erp_differential_object_marking_200_500_midline"
"z_recoded_session:z_recoded_mini_language",-0.0014029831,-0.033353629025,0.0305644856749999,0.53365625,"erp_differential_object_marking_200_500_midline"
"z_recoded_grammaticality:z_recoded_caudality",-0.0014521682,-0.01169661235,0.00884049430249999,0.60753125,"erp_differential_object_marking_200_500_midline"
"z_recoded_grammaticality:z_recoded_session:z_recoded_mini_language",-0.00284291705,-0.01387375245,0.0080355604,0.693875,"erp_differential_object_marking_200_500_midline"
"Intercept",0.00321413935,-0.01436325975,0.02098131545,0.640625,"erp_differential_object_marking_200_500_midline_weakprior_itemslope"
"z_baseline_predictor",0.48942443,0.478728483,0.5001281435,1,"erp_differential_object_marking_200_500_midline_weakprior_itemslope"
"z_recoded_grammaticality",0.0313422295,0.000519971220750003,0.06210969035,0.976875,"erp_differential_object_marking_200_500_midline_weakprior_itemslope"
"z_recoded_session",-0.0312536545,-0.062784692825,0.000971568798999983,0.972,"erp_differential_object_marking_200_500_midline_weakprior_itemslope"
"z_recoded_mini_language",-0.00162861375,-0.019710115375,0.016350589625,0.57096875,"erp_differential_object_marking_200_500_midline_weakprior_itemslope"
"z_recoded_caudality",-0.016413742,-0.02639110055,-0.00638350765,0.99934375,"erp_differential_object_marking_200_500_midline_weakprior_itemslope"
"z_multilingual_language_diversity",-0.00787495155,-0.019907574425,0.00400618732499999,0.90240625,"erp_differential_object_marking_200_500_midline_weakprior_itemslope"
"z_recoded_grammaticality:z_recoded_session",-0.0101033025,-0.02104490975,0.0010064873025,0.963125,"erp_differential_object_marking_200_500_midline_weakprior_itemslope"
