"parameter","median","ci_low","ci_high","pd","model"
"Intercept",2.04742345,1.498738235,2.583939605,1,"accuracy_differential_object_marking"
"z_recoded_grammaticality",0.86785251,0.4570516605,1.2852183075,0.99990625,"accuracy_differential_object_marking"
"z_recoded_session",-1.20253335,-1.57505246,-0.813627577750001,1,"accuracy_differential_object_marking"
"z_recoded_mini_language",-0.23994701,-0.769419484,0.30109055125,0.8164375,"accuracy_differential_object_marking"
"z_recoded_grammaticality:z_recoded_session",-0.24698686,-0.32705689175,-0.166682077,1,"accuracy_differential_object_marking"
"z_recoded_grammaticality:z_recoded_mini_language",0.121020545,-0.29051231775,0.53722519625,0.71896875,"accuracy_differential_object_marking"
"z_recoded_session:z_recoded_mini_language",0.27113619,-0.12657196675,0.66264937875,0.91,"accuracy_differential_object_marking"
"z_recoded_grammaticality:z_recoded_session:z_recoded_mini_language",0.071512038,-0.00886495368499999,0.15350304225,0.95878125,"accuracy_differential_object_marking"
"Intercept",2.17706145,1.609920045,2.7388409825,1,"accuracy_differential_object_marking_weakprior"
"z_recoded_grammaticality",0.91665263,0.4869551525,1.33858819,0.99996875,"accuracy_differential_object_marking_weakprior"
"z_recoded_session",-1.42274765,-1.8330890325,-1.0208279875,1,"accuracy_differential_object_marking_weakprior"
"z_recoded_mini_language",-0.25125749,-0.81130217825,0.311292881,0.8144375,"accuracy_differential_object_marking_weakprior"
"z_recoded_grammaticality:z_recoded_session",-0.24973603,-0.33084606025,-0.16869170375,1,"accuracy_differential_object_marking_weakprior"
"z_recoded_grammaticality:z_recoded_mini_language",0.12404667,-0.29708175175,0.553058611249999,0.7195625,"accuracy_differential_object_marking_weakprior"
"z_recoded_session:z_recoded_mini_language",0.268349025,-0.14252571225,0.6756580035,0.90515625,"accuracy_differential_object_marking_weakprior"
"z_recoded_grammaticality:z_recoded_session:z_recoded_mini_language",0.0723535135,-0.00794191135499997,0.154924459,0.96259375,"accuracy_differential_object_marking_weakprior"
"Intercept",2.8656345,2.4515569325,3.2898574225,1,"accuracy_gender_agreement"
"z_recoded_grammaticality",0.113430275,-0.18194493175,0.40211355425,0.77709375,"accuracy_gender_agreement"
"z_recoded_session",-0.5300829,-0.71848387775,-0.3380549725,1,"accuracy_gender_agreement"
"z_recoded_mini_language",-0.28047453,-0.712639177,0.14539165475,0.89803125,"accuracy_gender_agreement"
"z_recoded_grammaticality:z_recoded_session",0.20729591,0.134555372,0.28080456775,1,"accuracy_gender_agreement"
"z_recoded_grammaticality:z_recoded_mini_language",0.378244155,0.0960159684250001,0.671031427749999,0.99403125,"accuracy_gender_agreement"
"z_recoded_session:z_recoded_mini_language",-0.10547472,-0.2943489965,0.084160264275,0.8649375,"accuracy_gender_agreement"
"z_recoded_grammaticality:z_recoded_session:z_recoded_mini_language",0.164259325,0.092062101025,0.23595075225,1,"accuracy_gender_agreement"
"Intercept",2.8731398,2.4362861525,3.3105785225,1,"accuracy_gender_agreement_weakprior"
"z_recoded_grammaticality",0.11694081,-0.185386933,0.4087160565,0.7819375,"accuracy_gender_agreement_weakprior"
"z_recoded_session",-0.55910216,-0.7530213745,-0.36238715175,1,"accuracy_gender_agreement_weakprior"
"z_recoded_mini_language",-0.29380258,-0.73629796925,0.13389398225,0.91328125,"accuracy_gender_agreement_weakprior"
"z_recoded_grammaticality:z_recoded_session",0.208080165,0.136475262,0.281439746,1,"accuracy_gender_agreement_weakprior"
"z_recoded_grammaticality:z_recoded_mini_language",0.38456589,0.0961606348750001,0.676078287,0.995125,"accuracy_gender_agreement_weakprior"
