"model","n_obs","n_participants","exclusion_applicable","misfiltered_rows","exclusion_applied","keep_misfiltered","prior_set","structure","r_version","brms_version","cmdstanr_version","cmdstan_version","fitted_utc","prior_variant"
"accuracy_differential_object_marking",11128,57,FALSE,NA,TRUE,FALSE,"informative","base","4.5.1","2.23.0","0.9.0","2.39.0","2026-08-19 14:25:08 UTC","informative"
"accuracy_differential_object_marking",11128,57,FALSE,NA,TRUE,FALSE,"weak","base","4.5.1","2.23.0","0.9.0","2.39.0","2026-08-19 16:22:51 UTC","weak"
"accuracy_gender_agreement",15908,64,FALSE,NA,TRUE,FALSE,"informative","base","4.5.1","2.23.0","0.9.0","2.39.0","2026-08-19 14:21:34 UTC","informative"
"accuracy_gender_agreement",15908,64,FALSE,NA,TRUE,FALSE,"weak","base","4.5.1","2.23.0","0.9.0","2.39.0","2026-08-19 16:07:20 UTC","weak"
"accuracy_verb_object_number_agreement",6576,56,FALSE,NA,TRUE,FALSE,"informative","base","4.5.1","2.23.0","0.9.0","2.39.0","2026-08-19 14:16:46 UTC","informative"
"accuracy_verb_object_number_agreement",6576,56,FALSE,NA,TRUE,FALSE,"weak","base","4.5.1","2.23.0","0.9.0","2.39.0","2026-08-19 16:11:29 UTC","weak"
"erp_differential_object_marking_200_500_lateral",52932,56,TRUE,0,TRUE,FALSE,"informative","base","4.5.1","2.23.0","0.9.0","2.39.0","2026-08-05 00:16:35 UTC","informative"
"erp_differential_object_marking_200_500_lateral",52932,56,TRUE,0,TRUE,FALSE,"informative","maximal","4.5.1","2.23.0","0.9.0","2.39.0","2026-08-06 23:50:03 UTC","informative"
"erp_differential_object_marking_200_500_lateral",52932,56,TRUE,0,TRUE,FALSE,"informative","base","4.5.1","2.23.0","0.9.0","2.39.0","2026-08-20 01:26:07 UTC","informative"
"erp_differential_object_marking_200_500_lateral",52932,56,TRUE,0,TRUE,FALSE,"informative","base","4.5.1","2.23.0","0.9.0","2.39.0","2026-08-20 03:02:08 UTC","informative"
"erp_differential_object_marking_200_500_lateral",52932,56,TRUE,0,TRUE,FALSE,"weak","base","4.5.1","2.23.0","0.9.0","2.39.0","2026-08-05 22:17:47 UTC","weak"
"erp_differential_object_marking_200_500_lateral",52932,56,TRUE,0,TRUE,FALSE,"weak","maximal","4.5.1","2.23.0","0.9.0","2.39.0","2026-08-08 02:38:29 UTC","weak"
"erp_differential_object_marking_200_500_midline",26466,56,TRUE,0,TRUE,FALSE,"informative","base","4.5.1","2.23.0","0.9.0","2.39.0","2026-08-04 23:28:42 UTC","informative"
"erp_differential_object_marking_200_500_midline",26466,56,TRUE,0,TRUE,FALSE,"informative","maximal","4.5.1","2.23.0","0.9.0","2.39.0","2026-08-06 22:58:14 UTC","informative"
"erp_differential_object_marking_200_500_midline",26466,56,TRUE,0,TRUE,FALSE,"informative","base","4.5.1","2.23.0","0.9.0","2.39.0","2026-08-20 00:57:53 UTC","informative"
"erp_differential_object_marking_200_500_midline",26466,56,TRUE,0,TRUE,FALSE,"informative","base","4.5.1","2.23.0","0.9.0","2.39.0","2026-08-20 02:07:06 UTC","informative"
"erp_differential_object_marking_200_500_midline",26466,56,TRUE,0,TRUE,FALSE,"weak","base","4.5.1","2.23.0","0.9.0","2.39.0","2026-08-05 21:59:22 UTC","weak"
"erp_differential_object_marking_200_500_midline",26466,56,TRUE,0,TRUE,FALSE,"weak","maximal","4.5.1","2.23.0","0.9.0","2.39.0","2026-08-08 01:42:13 UTC","weak"
"erp_differential_object_marking_300_600_lateral",52932,56,TRUE,0,TRUE,FALSE,"informative","base","4.5.1","2.23.0","0.9.0","2.39.0","2026-08-05 00:28:22 UTC","informative"
"erp_differential_object_marking_300_600_lateral",52932,56,TRUE,0,TRUE,FALSE,"informative","maximal","4.5.1","2.23.0","0.9.0","2.39.0","2026-08-06 23:35:33 UTC","informative"
"erp_differential_object_marking_300_600_lateral",52932,56,TRUE,0,TRUE,FALSE,"informative","base","4.5.1","2.23.0","0.9.0","2.39.0","2026-08-20 02:00:22 UTC","informative"
"erp_differential_object_marking_300_600_lateral",52932,56,TRUE,0,TRUE,FALSE,"informative","base","4.5.1","2.23.0","0.9.0","2.39.0","2026-08-20 02:49:43 UTC","informative"
"erp_differential_object_marking_300_600_lateral",52932,56,TRUE,0,TRUE,FALSE,"weak","base","4.5.1","2.23.0","0.9.0","2.39.0","2026-08-05 22:46:20 UTC","weak"
"erp_differential_object_marking_300_600_lateral",52932,56,TRUE,0,TRUE,FALSE,"weak","maximal","4.5.1","2.23.0","0.9.0","2.39.0","2026-08-08 02:47:30 UTC","weak"
"erp_differential_object_marking_300_600_midline",26466,56,TRUE,0,TRUE,FALSE,"informative","base","4.5.1","2.23.0","0.9.0","2.39.0","2026-08-04 23:48:38 UTC","informative"
