"model","n_obs","n_participants","exclusion_applicable","misfiltered_rows","exclusion_applied","keep_misfiltered","prior_set","structure","r_version","brms_version","cmdstanr_version","cmdstan_version","fitted_utc","prior_variant"
"erp_differential_object_marking_300_600_midline",26466,56,TRUE,0,TRUE,FALSE,"informative","maximal","4.5.1","2.23.0","0.9.0","2.39.0","2026-08-06 22:30:24 UTC","informative"
"erp_differential_object_marking_300_600_midline",26466,56,TRUE,0,TRUE,FALSE,"informative","base","4.5.1","2.23.0","0.9.0","2.39.0","2026-08-20 00:47:56 UTC","informative"
"erp_differential_object_marking_300_600_midline",26466,56,TRUE,0,TRUE,FALSE,"informative","base","4.5.1","2.23.0","0.9.0","2.39.0","2026-08-20 02:48:42 UTC","informative"
"erp_differential_object_marking_300_600_midline",26466,56,TRUE,0,TRUE,FALSE,"weak","base","4.5.1","2.23.0","0.9.0","2.39.0","2026-08-05 22:15:41 UTC","weak"
"erp_differential_object_marking_300_600_midline",26466,56,TRUE,0,TRUE,FALSE,"weak","maximal","4.5.1","2.23.0","0.9.0","2.39.0","2026-08-08 01:54:37 UTC","weak"
"erp_differential_object_marking_400_900_lateral",52932,56,TRUE,0,TRUE,FALSE,"informative","base","4.5.1","2.23.0","0.9.0","2.39.0","2026-08-05 00:16:10 UTC","informative"
"erp_differential_object_marking_400_900_lateral",52932,56,TRUE,0,TRUE,FALSE,"informative","maximal","4.5.1","2.23.0","0.9.0","2.39.0","2026-08-06 23:56:34 UTC","informative"
"erp_differential_object_marking_400_900_lateral",52932,56,TRUE,0,TRUE,FALSE,"informative","base","4.5.1","2.23.0","0.9.0","2.39.0","2026-08-20 01:59:11 UTC","informative"
"erp_differential_object_marking_400_900_lateral",52932,56,TRUE,0,TRUE,FALSE,"informative","base","4.5.1","2.23.0","0.9.0","2.39.0","2026-08-20 03:42:00 UTC","informative"
"erp_differential_object_marking_400_900_lateral",52932,56,TRUE,0,TRUE,FALSE,"weak","base","4.5.1","2.23.0","0.9.0","2.39.0","2026-08-05 22:58:29 UTC","weak"
"erp_differential_object_marking_400_900_lateral",52932,56,TRUE,0,TRUE,FALSE,"weak","maximal","4.5.1","2.23.0","0.9.0","2.39.0","2026-08-08 02:20:32 UTC","weak"
"erp_differential_object_marking_400_900_midline",26466,56,TRUE,0,TRUE,FALSE,"informative","base","4.5.1","2.23.0","0.9.0","2.39.0","2026-08-04 23:37:19 UTC","informative"
"erp_differential_object_marking_400_900_midline",26466,56,TRUE,0,TRUE,FALSE,"informative","maximal","4.5.1","2.23.0","0.9.0","2.39.0","2026-08-06 22:43:36 UTC","informative"
"erp_differential_object_marking_400_900_midline",26466,56,TRUE,0,TRUE,FALSE,"informative","base","4.5.1","2.23.0","0.9.0","2.39.0","2026-08-20 01:39:41 UTC","informative"
"erp_differential_object_marking_400_900_midline",26466,56,TRUE,0,TRUE,FALSE,"informative","base","4.5.1","2.23.0","0.9.0","2.39.0","2026-08-20 02:57:55 UTC","informative"
"erp_differential_object_marking_400_900_midline",26466,56,TRUE,0,TRUE,FALSE,"weak","base","4.5.1","2.23.0","0.9.0","2.39.0","2026-08-05 22:36:19 UTC","weak"
"erp_differential_object_marking_400_900_midline",26466,56,TRUE,0,TRUE,FALSE,"weak","maximal","4.5.1","2.23.0","0.9.0","2.39.0","2026-08-08 01:53:53 UTC","weak"
"erp_gender_agreement_200_500_lateral",75654,62,TRUE,0,TRUE,FALSE,"informative","base","4.5.1","2.23.0","0.9.0","2.39.0","2026-08-05 00:23:47 UTC","informative"
"erp_gender_agreement_200_500_lateral",75654,62,TRUE,0,TRUE,FALSE,"informative","maximal","4.5.1","2.23.0","0.9.0","2.39.0","2026-08-07 01:20:38 UTC","informative"
"erp_gender_agreement_200_500_lateral",75654,62,TRUE,0,TRUE,FALSE,"informative","base","4.5.1","2.23.0","0.9.0","2.39.0","2026-08-20 00:06:27 UTC","informative"
"erp_gender_agreement_200_500_lateral",75654,62,TRUE,0,TRUE,FALSE,"informative","base","4.5.1","2.23.0","0.9.0","2.39.0","2026-08-19 16:10:26 UTC","informative"
"erp_gender_agreement_200_500_lateral",75654,62,TRUE,0,TRUE,FALSE,"weak","base","4.5.1","2.23.0","0.9.0","2.39.0","2026-08-06 00:04:55 UTC","weak"
"erp_gender_agreement_200_500_lateral",75654,62,TRUE,0,TRUE,FALSE,"weak","maximal","4.5.1","2.23.0","0.9.0","2.39.0","2026-08-07 23:45:34 UTC","weak"
"erp_gender_agreement_200_500_midline",37827,62,TRUE,0,TRUE,FALSE,"informative","base","4.5.1","2.23.0","0.9.0","2.39.0","2026-08-04 23:05:30 UTC","informative"
"erp_gender_agreement_200_500_midline",37827,62,TRUE,0,TRUE,FALSE,"informative","maximal","4.5.1","2.23.0","0.9.0","2.39.0","2026-08-06 23:05:10 UTC","informative"
"erp_gender_agreement_200_500_midline",37827,62,TRUE,0,TRUE,FALSE,"informative","base","4.5.1","2.23.0","0.9.0","2.39.0","2026-08-19 22:09:41 UTC","informative"
"erp_gender_agreement_200_500_midline",37827,62,TRUE,0,TRUE,FALSE,"informative","base","4.5.1","2.23.0","0.9.0","2.39.0","2026-08-19 16:55:35 UTC","informative"
"erp_gender_agreement_200_500_midline",37827,62,TRUE,0,TRUE,FALSE,"weak","base","4.5.1","2.23.0","0.9.0","2.39.0","2026-08-05 21:54:14 UTC","weak"
"erp_gender_agreement_200_500_midline",37827,62,TRUE,0,TRUE,FALSE,"weak","maximal","4.5.1","2.23.0","0.9.0","2.39.0","2026-08-07 23:53:01 UTC","weak"
"erp_gender_agreement_300_600_lateral",75654,62,TRUE,0,TRUE,FALSE,"informative","base","4.5.1","2.23.0","0.9.0","2.39.0","2026-08-05 00:03:44 UTC","informative"
"erp_gender_agreement_300_600_lateral",75654,62,TRUE,0,TRUE,FALSE,"informative","maximal","4.5.1","2.23.0","0.9.0","2.39.0","2026-08-07 00:41:22 UTC","informative"
"erp_gender_agreement_300_600_lateral",75654,62,TRUE,0,TRUE,FALSE,"informative","base","4.5.1","2.23.0","0.9.0","2.39.0","2026-08-19 23:52:08 UTC","informative"
"erp_gender_agreement_300_600_lateral",75654,62,TRUE,0,TRUE,FALSE,"informative","base","4.5.1","2.23.0","0.9.0","2.39.0","2026-08-19 18:28:14 UTC","informative"
"erp_gender_agreement_300_600_lateral",75654,62,TRUE,0,TRUE,FALSE,"weak","base","4.5.1","2.23.0","0.9.0","2.39.0","2026-08-05 23:07:35 UTC","weak"
"erp_gender_agreement_300_600_lateral",75654,62,TRUE,0,TRUE,FALSE,"weak","maximal","4.5.1","2.23.0","0.9.0","2.39.0","2026-08-08 02:13:16 UTC","weak"
"erp_gender_agreement_300_600_midline",37827,62,TRUE,0,TRUE,FALSE,"informative","base","4.5.1","2.23.0","0.9.0","2.39.0","2026-08-04 23:15:31 UTC","informative"
"erp_gender_agreement_300_600_midline",37827,62,TRUE,0,TRUE,FALSE,"informative","maximal","4.5.1","2.23.0","0.9.0","2.39.0","2026-08-06 22:51:58 UTC","informative"
"erp_gender_agreement_300_600_midline",37827,62,TRUE,0,TRUE,FALSE,"informative","base","4.5.1","2.23.0","0.9.0","2.39.0","2026-08-20 00:01:58 UTC","informative"
"erp_gender_agreement_300_600_midline",37827,62,TRUE,0,TRUE,FALSE,"informative","base","4.5.1","2.23.0","0.9.0","2.39.0","2026-08-19 17:05:08 UTC","informative"
"erp_gender_agreement_300_600_midline",37827,62,TRUE,0,TRUE,FALSE,"weak","base","4.5.1","2.23.0","0.9.0","2.39.0","2026-08-05 21:42:21 UTC","weak"
"erp_gender_agreement_300_600_midline",37827,62,TRUE,0,TRUE,FALSE,"weak","maximal","4.5.1","2.23.0","0.9.0","2.39.0","2026-08-08 00:43:07 UTC","weak"
"erp_gender_agreement_400_900_lateral",75654,62,TRUE,0,TRUE,FALSE,"informative","base","4.5.1","2.23.0","0.9.0","2.39.0","2026-08-05 00:08:48 UTC","informative"
"erp_gender_agreement_400_900_lateral",75654,62,TRUE,0,TRUE,FALSE,"informative","maximal","4.5.1","2.23.0","0.9.0","2.39.0","2026-08-07 00:23:36 UTC","informative"
"erp_gender_agreement_400_900_lateral",75654,62,TRUE,0,TRUE,FALSE,"informative","base","4.5.1","2.23.0","0.9.0","2.39.0","2026-08-20 01:47:21 UTC","informative"
"erp_gender_agreement_400_900_lateral",75654,62,TRUE,0,TRUE,FALSE,"informative","base","4.5.1","2.23.0","0.9.0","2.39.0","2026-08-19 18:45:07 UTC","informative"
"erp_gender_agreement_400_900_lateral",75654,62,TRUE,0,TRUE,FALSE,"weak","base","4.5.1","2.23.0","0.9.0","2.39.0","2026-08-05 22:45:48 UTC","weak"
"erp_gender_agreement_400_900_lateral",75654,62,TRUE,0,TRUE,FALSE,"weak","maximal","4.5.1","2.23.0","0.9.0","2.39.0","2026-08-08 01:36:37 UTC","weak"
"erp_gender_agreement_400_900_midline",37827,62,TRUE,0,TRUE,FALSE,"informative","base","4.5.1","2.23.0","0.9.0","2.39.0","2026-08-04 23:51:45 UTC","informative"
"erp_gender_agreement_400_900_midline",37827,62,TRUE,0,TRUE,FALSE,"informative","maximal","4.5.1","2.23.0","0.9.0","2.39.0","2026-08-06 22:59:09 UTC","informative"
"erp_gender_agreement_400_900_midline",37827,62,TRUE,0,TRUE,FALSE,"informative","base","4.5.1","2.23.0","0.9.0","2.39.0","2026-08-20 00:55:14 UTC","informative"
"erp_gender_agreement_400_900_midline",37827,62,TRUE,0,TRUE,FALSE,"informative","base","4.5.1","2.23.0","0.9.0","2.39.0","2026-08-19 17:02:52 UTC","informative"
"erp_gender_agreement_400_900_midline",37827,62,TRUE,0,TRUE,FALSE,"weak","base","4.5.1","2.23.0","0.9.0","2.39.0","2026-08-05 22:06:55 UTC","weak"
"erp_gender_agreement_400_900_midline",37827,62,TRUE,0,TRUE,FALSE,"weak","maximal","4.5.1","2.23.0","0.9.0","2.39.0","2026-08-08 01:41:15 UTC","weak"
"erp_verb_object_number_agreement_200_500_lateral",33270,55,TRUE,0,TRUE,FALSE,"informative","base","4.5.1","2.23.0","0.9.0","2.39.0","2026-08-05 19:58:09 UTC","informative"
"erp_verb_object_number_agreement_200_500_lateral",33270,55,TRUE,0,TRUE,FALSE,"informative","maximal","4.5.1","2.23.0","0.9.0","2.39.0","2026-08-06 23:03:24 UTC","informative"
"erp_verb_object_number_agreement_200_500_lateral",33270,55,TRUE,0,TRUE,FALSE,"weak","base","4.5.1","2.23.0","0.9.0","2.39.0","2026-08-05 22:11:12 UTC","weak"
"erp_verb_object_number_agreement_200_500_lateral",33270,55,TRUE,0,TRUE,FALSE,"weak","maximal","4.5.1","2.23.0","0.9.0","2.39.0","2026-08-08 02:01:56 UTC","weak"
"erp_verb_object_number_agreement_200_500_midline",16635,55,TRUE,0,TRUE,FALSE,"informative","base","4.5.1","2.23.0","0.9.0","2.39.0","2026-08-05 19:58:06 UTC","informative"
"erp_verb_object_number_agreement_200_500_midline",16635,55,TRUE,0,TRUE,FALSE,"informative","maximal","4.5.1","2.23.0","0.9.0","2.39.0","2026-08-06 22:54:55 UTC","informative"
"erp_verb_object_number_agreement_200_500_midline",16635,55,TRUE,0,TRUE,FALSE,"weak","base","4.5.1","2.23.0","0.9.0","2.39.0","2026-08-05 22:13:38 UTC","weak"
"erp_verb_object_number_agreement_200_500_midline",16635,55,TRUE,0,TRUE,FALSE,"weak","maximal","4.5.1","2.23.0","0.9.0","2.39.0","2026-08-08 01:53:50 UTC","weak"
"erp_verb_object_number_agreement_300_600_lateral",33270,55,TRUE,0,TRUE,FALSE,"informative","base","4.5.1","2.23.0","0.9.0","2.39.0","2026-08-05 19:58:18 UTC","informative"
"erp_verb_object_number_agreement_300_600_lateral",33270,55,TRUE,0,TRUE,FALSE,"informative","maximal","4.5.1","2.23.0","0.9.0","2.39.0","2026-08-06 23:27:41 UTC","informative"
"erp_verb_object_number_agreement_300_600_lateral",33270,55,TRUE,0,TRUE,FALSE,"weak","base","4.5.1","2.23.0","0.9.0","2.39.0","2026-08-05 22:15:37 UTC","weak"
"erp_verb_object_number_agreement_300_600_lateral",33270,55,TRUE,0,TRUE,FALSE,"weak","maximal","4.5.1","2.23.0","0.9.0","2.39.0","2026-08-08 02:27:49 UTC","weak"
"erp_verb_object_number_agreement_300_600_midline",16635,55,TRUE,0,TRUE,FALSE,"informative","base","4.5.1","2.23.0","0.9.0","2.39.0","2026-08-05 19:58:19 UTC","informative"
"erp_verb_object_number_agreement_300_600_midline",16635,55,TRUE,0,TRUE,FALSE,"informative","maximal","4.5.1","2.23.0","0.9.0","2.39.0","2026-08-06 23:05:34 UTC","informative"
"erp_verb_object_number_agreement_300_600_midline",16635,55,TRUE,0,TRUE,FALSE,"weak","base","4.5.1","2.23.0","0.9.0","2.39.0","2026-08-05 22:17:36 UTC","weak"
"erp_verb_object_number_agreement_300_600_midline",16635,55,TRUE,0,TRUE,FALSE,"weak","maximal","4.5.1","2.23.0","0.9.0","2.39.0","2026-08-08 01:59:53 UTC","weak"
"erp_verb_object_number_agreement_400_900_lateral",33270,55,TRUE,0,TRUE,FALSE,"informative","base","4.5.1","2.23.0","0.9.0","2.39.0","2026-08-05 19:58:21 UTC","informative"
"erp_verb_object_number_agreement_400_900_lateral",33270,55,TRUE,0,TRUE,FALSE,"informative","maximal","4.5.1","2.23.0","0.9.0","2.39.0","2026-08-06 23:42:43 UTC","informative"
"erp_verb_object_number_agreement_400_900_lateral",33270,55,TRUE,0,TRUE,FALSE,"weak","base","4.5.1","2.23.0","0.9.0","2.39.0","2026-08-05 22:17:47 UTC","weak"
"erp_verb_object_number_agreement_400_900_lateral",33270,55,TRUE,0,TRUE,FALSE,"weak","maximal","4.5.1","2.23.0","0.9.0","2.39.0","2026-08-08 02:37:10 UTC","weak"
"erp_verb_object_number_agreement_400_900_midline",16635,55,TRUE,0,TRUE,FALSE,"informative","base","4.5.1","2.23.0","0.9.0","2.39.0","2026-08-05 19:58:09 UTC","informative"
"erp_verb_object_number_agreement_400_900_midline",16635,55,TRUE,0,TRUE,FALSE,"informative","maximal","4.5.1","2.23.0","0.9.0","2.39.0","2026-08-06 23:28:25 UTC","informative"
"erp_verb_object_number_agreement_400_900_midline",16635,55,TRUE,0,TRUE,FALSE,"weak","base","4.5.1","2.23.0","0.9.0","2.39.0","2026-08-05 22:20:12 UTC","weak"
"erp_verb_object_number_agreement_400_900_midline",16635,55,TRUE,0,TRUE,FALSE,"weak","maximal","4.5.1","2.23.0","0.9.0","2.39.0","2026-08-08 02:08:21 UTC","weak"
