session,grammatical_property,n_attempted,n_passed_attempt1,n_passed_attempt2,n_failed_gate,note
2,ALL,64,34,23,7,"Gate reconstructed from terminal 'test_passed' flag (>80% to pass, max 2 attempts). Session-level (aggregate) gate; not resolvable per grammatical property. n_attempted = subjects with an interpretable gate outcome (pass1 + pass2 + failed)."
3,ALL,56,55,1,0,"Gate reconstructed from terminal 'test_passed' flag (>80% to pass, max 2 attempts). Session-level (aggregate) gate; not resolvable per grammatical property. n_attempted = subjects with an interpretable gate outcome (pass1 + pass2 + failed). Additionally, 1 subject(s) completed the test but no 'test_passed' flag was logged; their gate outcome is unrecoverable and they are excluded from the counts above."
4,ALL,54,26,5,23,"Gate reconstructed from terminal 'test_passed' flag (>80% to pass, max 2 attempts). Session-level (aggregate) gate; not resolvable per grammatical property. n_attempted = subjects with an interpretable gate outcome (pass1 + pass2 + failed)."
6,ALL,35,0,0,0,"Retention session: logs carry no 'test_passed' gate flag and no 2nd-attempt markers, i.e. no >80% gate was applied at this session. n_attempted = subjects with a completed post-training test; pass/attempt counts are not defined (left 0) rather than fabricated."
