participant_home_ID,session,task,start_ms,end_ms,duration_min,n_events,participant_lab_ID,language
sxhv6,1,digit_span,1741350376087,1741351097463,12.022933333333333,580,53,Mini-English
trpu0,1,digit_span,1733777703592,1733778272707,9.48525,583,51,Mini-English
uicn9,1,digit_span,1725993534908,1725994152099,10.286516666666667,583,35,Mini-English
usjs8,1,digit_span,1724746100641,1724746796866,11.60375,587,29,Mini-English
uwfo3,1,digit_span,1742552894888,1742553639006,12.401966666666667,588,61,Mini-English
uyxx3,1,digit_span,1711280996332,1711281697199,11.681116666666666,583,11,Mini-English
wbij5,1,digit_span,1723465266957,1723465811398,9.074016666666667,584,20,Mini-Norwegian
wjob1,1,digit_span,1722208034408,1722208809069,12.911016666666667,583,22,Mini-Norwegian
xqls8,1,digit_span,1708693320132,1708694103499,13.056116666666666,589,3,Mini-English
ymoq6,1,digit_span,1742240556784,1742241346251,13.157783333333333,585,62,Mini-Norwegian
yozx4,1,digit_span,1726347370443,1726348200037,13.826566666666666,592,30,Mini-Norwegian
yzud1,1,digit_span,1730653514165,1730654232993,11.980466666666667,585,42,Mini-Norwegian
zhao8,1,digit_span,1724607823662,1724608426963,10.055016666666667,584,26,Mini-Norwegian
zkmg5,1,digit_span,1741630307787,1741631058406,12.510316666666666,585,64,Mini-Norwegian
zllv8,1,digit_span,1726600111847,1726600881396,12.825816666666666,585,31,Mini-English
ztwr3,1,digit_span,1720044041369,1720044804495,12.718766666666667,589,21,Mini-English
zuff1,1,digit_span,1728845024916,1728845645376,10.341,583,36,Mini-Norwegian
zuwa4,1,digit_span,1718362971794,1718363608531,10.612283333333334,584,19,Mini-English
zygb0,1,digit_span,1741768693879,1741769541934,14.13425,586,63,Mini-English
ahsw7,1,asrt,1723715952101,1723720866687,81.90976666666667,2181,24,Mini-Norwegian
awfh6,1,asrt,1739390165642,1739392584394,40.312533333333334,2508,56,Mini-Norwegian
bder6,1,asrt,1728144138003,1728146205721,34.46196666666667,2658,40,Mini-Norwegian
bdjk0,1,asrt,1731581789264,1731584196829,40.126083333333334,2780,46,Mini-Norwegian
cgju5,1,asrt,1732465286099,1732468906138,60.333983333333336,3084,34,Mini-Norwegian
chkk1,1,asrt,1729520587591,1729522805818,36.97045,2369,41,Mini-English
crar9,1,asrt,1711296437488,1711298649478,36.8665,2311,10,Mini-Norwegian
dbrb5,1,asrt,1729100374800,1729103327449,49.210816666666666,2852,23,Mini-English
dzyb1,1,asrt,1739431407565,1739436141266,78.89501666666666,4576,54,Mini-Norwegian
exdq7,1,asrt,1711369925414,1711372093041,36.127116666666666,2401,9,Mini-English
ezje7,1,asrt,1714456544718,1714458694287,35.82615,2365,13,Mini-English
finc3,1,asrt,1713118893311,1713121134819,37.358466666666665,2452,14,Mini-Norwegian
fkft1,1,asrt,1732967965720,1732971398228,57.208466666666666,3370,43,Mini-English
fqrf6,1,asrt,1713365802994,1713367898555,34.92601666666667,2411,12,Mini-Norwegian
fwma9,1,asrt,1729180197939,1729182294198,34.93765,2455,39,Mini-English
gjop6,1,asrt,1726046516727,1726048724832,36.80175,2371,32,Mini-Norwegian
gxac7,1,asrt,1714668840665,1714671016697,36.2672,2454,15,Mini-English
hcqa8,1,asrt,1712517761005,1712520059714,38.311816666666665,2444,8,Mini-Norwegian
hymj4,1,asrt,1728414317522,1728416626583,38.48435,2355,37,Mini-English
idyh6,1,asrt,1728463357970,1728465633727,37.92928333333333,2496,38,Mini-Norwegian
jlos1,1,asrt,1739544327588,1739546436252,35.1444,2476,55,Mini-English
jpxp4,1,asrt,1711050283724,1711052612073,38.805816666666665,2422,6,Mini-Norwegian
kixs9,1,asrt,1739965504163,1739967986075,41.3652,2388,48,Mini-Norwegian
ksjo8,1,asrt,1718196828068,1718199044947,36.94798333333333,2464,17,Mini-English
kvrn1,1,asrt,1732190076717,1732192247201,36.174733333333336,2457,44,Mini-Norwegian
kwly7,1,asrt,1741802573971,1741876832064,1237.6348833333334,9006,60,Mini-Norwegian
ltsl3,1,asrt,1718133566071,1718136128192,42.702016666666665,2878,18,Mini-Norwegian
mhbu4,1,asrt,1743009932233,1743168572343,2644.0018333333333,17538,59,Mini-English
monr7,1,asrt,1730468557180,1730470775155,36.96625,2405,45,Mini-English
mrbf1,1,asrt,1726674790080,1726676883893,34.896883333333335,2369,33,Mini-English
mtjw7,1,asrt,1740951548040,1740953760577,36.875616666666666,2557,57,Mini-English
mvse0,1,asrt,1741247703693,1741249948339,37.41076666666667,2479,52,Mini-Norwegian
noyy6,1,asrt,1724661630264,1724663692916,34.37753333333333,2382,25,Mini-English
pwck3,1,asrt,1739462458288,1739464779680,38.68986666666667,2299,50,Mini-Norwegian
qdvg4,1,asrt,1708881695211,1708884037195,39.03306666666667,2501,7,Mini-English
qgsl9,1,asrt,1712239790999,1712242126281,38.921366666666664,2541,4,Mini-Norwegian
qlhb2,1,asrt,1728377560689,1728379746305,36.42693333333333,2449,27,Mini-English
rlgy8,1,asrt,1724347895820,1724350074100,36.30466666666667,2343,28,Mini-Norwegian
rodf4,1,asrt,1739894645345,1739896847323,36.69963333333333,2411,58,Mini-Norwegian
rqed8,1,asrt,1710252333706,1710254548912,36.9201,2477,2,Mini-Norwegian
rsnb6,1,asrt,1743020867824,1743069012497,802.4112166666666,6214,65,Mini-English
rvax5,1,asrt,1713373083653,1713375228540,35.74811666666667,2381,16,Mini-Norwegian
sjnh6,1,asrt,1742419819315,1742421959163,35.66413333333333,2381,49,Mini-English
swbd5,1,asrt,1731261634582,1731263877956,37.38956666666667,2428,47,Mini-English
sxhv6,1,asrt,1741347994806,1741350131878,35.617866666666664,2445,53,Mini-English
trpu0,1,asrt,1733772853533,1733777460658,76.78541666666666,3485,51,Mini-English
uicn9,1,asrt,1725991013330,1725993216814,36.72473333333333,2317,35,Mini-English
usjs8,1,asrt,1724743670565,1724745857636,36.45118333333333,2386,29,Mini-English
uwfo3,1,asrt,1742550498426,1742552652153,35.89545,2454,61,Mini-English
uyxx3,1,asrt,1711282440346,1711284565010,35.41106666666666,2396,11,Mini-English
wbij5,1,asrt,1723462843518,1723465011942,36.1404,2587,20,Mini-Norwegian
wjob1,1,asrt,1722205561469,1722207787794,37.10541666666666,2442,22,Mini-Norwegian
xqls8,1,asrt,1708690946071,1708693076685,35.51023333333333,2426,3,Mini-English
ymoq6,1,asrt,1742242107964,1742244324411,36.940783333333336,2472,62,Mini-Norwegian
yozx4,1,asrt,1726349130893,1726351403799,37.881766666666664,2544,30,Mini-Norwegian
yzud1,1,asrt,1730655068219,1730657471441,40.0537,2585,42,Mini-Norwegian
zhao8,1,asrt,1724605489492,1724607579510,34.83363333333333,2382,26,Mini-Norwegian
zkmg5,1,asrt,1741627669204,1741630064888,39.928066666666666,2520,64,Mini-Norwegian
zllv8,1,asrt,1726601601326,1726603782235,36.348483333333334,2708,31,Mini-English
ztwr3,1,asrt,1720045702798,1720047842706,35.66513333333333,2372,21,Mini-English
zuff1,1,asrt,1728842586729,1728844783340,36.61018333333333,2527,36,Mini-Norwegian
zuwa4,1,asrt,1718360527281,1718362655686,35.473416666666665,2464,19,Mini-English
zygb0,1,asrt,1741770382889,1741772619888,37.283316666666664,2482,63,Mini-English
ahsw7,5,stroop,1726518899231,1726519153418,4.23645,237,24,Mini-Norwegian
awfh6,5,stroop,1742367377523,1742367595001,3.624633333333333,237,56,Mini-Norwegian
bder6,5,stroop,1730903385958,1730903580948,3.249833333333333,237,40,Mini-Norwegian
cgju5,5,stroop,1734115685223,1734115881002,3.262983333333333,237,34,Mini-Norwegian
chkk1,5,stroop,1732786289838,1732786549813,4.332916666666667,237,41,Mini-English
crar9,5,stroop,1715700110229,1715700348392,3.9693833333333335,233,10,Mini-Norwegian
dbrb5,5,stroop,1730684898756,1730685094414,3.2609666666666666,237,23,Mini-English
dzyb1,5,stroop,1742743514854,1742743894740,6.331433333333333,237,54,Mini-Norwegian
exdq7,5,stroop,1715268437660,1715268760336,5.377933333333333,237,9,Mini-English
ezje7,5,stroop,1716470411419,1716470571082,2.66105,237,13,Mini-English
finc3,5,stroop,1715864978386,1715865200256,3.6978333333333335,237,14,Mini-Norwegian
fkft1,5,stroop,1734876310690,1734876601327,4.84395,237,43,Mini-English
fqrf6,5,stroop,1717172123146,1717172320938,3.2965333333333335,229,12,Mini-Norwegian
fwma9,5,stroop,1731675151986,1731675334094,3.0351333333333335,237,39,Mini-English
gjop6,5,stroop,1728650469199,1728650712173,4.049566666666666,237,32,Mini-Norwegian
gxac7,5,stroop,1717134690013,1717135159259,7.820766666666667,237,15,Mini-English
hcqa8,5,stroop,1715747473159,1715747755046,4.6981166666666665,237,8,Mini-Norwegian
hymj4,5,stroop,1729947109002,1729947340798,3.8632666666666666,237,37,Mini-English
idyh6,5,stroop,1730673100466,1730673332983,3.8752833333333334,237,38,Mini-Norwegian
jlos1,5,stroop,1742020576836,1742020793148,3.6052,237,55,Mini-English
jpxp4,5,stroop,1713210504620,1713210726662,3.7007,237,6,Mini-Norwegian
kixs9,5,stroop,1742493990843,1742494222839,3.8666,237,48,Mini-Norwegian
ksjo8,5,stroop,1720180281522,1720180442459,2.6822833333333334,237,17,Mini-English
kvrn1,5,stroop,1734876353882,1734876527304,2.8903666666666665,237,44,Mini-Norwegian
kwly7,5,stroop,1743236931610,1743237171226,3.9936,237,60,Mini-Norwegian
ltsl3,5,stroop,1721124314867,1721124494713,2.9974333333333334,237,18,Mini-Norwegian
mrbf1,5,stroop,1728984468777,1728984664440,3.26105,237,33,Mini-English
mtjw7,5,stroop,1743017382788,1743017570446,3.1276333333333333,217,57,Mini-English
mvse0,5,stroop,1743112216082,1743112394308,2.9704333333333333,237,52,Mini-Norwegian
noyy6,5,stroop,1727185633990,1727185876393,4.04005,237,25,Mini-English
pson3,5,stroop,1711624651855,1711624862303,3.5074666666666667,237,5,Mini-English
pwck3,5,stroop,1741711423564,1741711650993,3.7904833333333334,237,50,Mini-Norwegian
qdvg4,5,stroop,1712768343393,1712768619150,4.59595,237,7,Mini-English
qlhb2,5,stroop,1730545837203,1730546043672,3.44115,237,27,Mini-English
rodf4,5,stroop,1742143183193,1742143411198,3.8000833333333333,237,58,Mini-Norwegian
rsnb6,5,stroop,1744656026238,1744656239077,3.5473166666666667,237,65,Mini-English
rvax5,5,stroop,1716653314511,1716653500375,3.0977333333333332,237,16,Mini-Norwegian
sjnh6,5,stroop,1744902755547,1744903138154,6.376783333333333,229,49,Mini-English
swbd5,5,stroop,1733253517053,1733253722208,3.41925,237,47,Mini-English
sxhv6,5,stroop,1743842525265,1743842794999,4.495566666666667,237,53,Mini-English
trpu0,5,stroop,1736454413366,1736454731225,5.29765,237,51,Mini-English
usjs8,5,stroop,1728478918630,1728479177862,4.320533333333334,237,29,Mini-English
uwfo3,5,stroop,1744552009065,1744552266535,4.291166666666666,237,61,Mini-English
uyxx3,5,stroop,1713467310991,1713467492839,3.0308,237,11,Mini-English
wjob1,5,stroop,1725228649506,1725228850615,3.3518166666666667,237,22,Mini-Norwegian
xqls8,5,stroop,1711379427929,1711380385342,15.956883333333334,237,3,Mini-English
ymoq6,5,stroop,1743935049499,1743935255336,3.430616666666667,237,62,Mini-Norwegian
yozx4,5,stroop,1730041183514,1730041411306,3.7965333333333335,237,30,Mini-Norwegian
yzud1,5,stroop,1732119836327,1732120075563,3.9872666666666667,237,42,Mini-Norwegian
zhao8,5,stroop,1726839603066,1726839826650,3.7264,237,26,Mini-Norwegian
zllv8,5,stroop,1728923721401,1728923936101,3.578333333333333,237,31,Mini-English
ztwr3,5,stroop,1722195651232,1722195948615,4.956383333333333,237,21,Mini-English
zuff1,5,stroop,1731679749018,1731679951523,3.3750833333333334,237,36,Mini-Norwegian
zuwa4,5,stroop,1720386907360,1720387092623,3.0877166666666667,237,19,Mini-English
ahsw7,5,digit_span,1726517776562,1726518645821,14.48765,582,24,Mini-Norwegian
awfh6,5,digit_span,1742366325233,1742367135072,13.497316666666666,583,56,Mini-Norwegian
bder6,5,digit_span,1730901758515,1730903143486,23.08285,583,40,Mini-Norwegian
cgju5,5,digit_span,1734114840853,1734115441035,10.003033333333333,583,34,Mini-Norwegian
chkk1,5,digit_span,1732789252991,1732790111959,14.316133333333333,588,41,Mini-English
crar9,5,digit_span,1715702976590,1715703709364,12.2129,586,10,Mini-Norwegian
dbrb5,5,digit_span,1730683941317,1730684655759,11.907366666666666,584,23,Mini-English
dzyb1,5,digit_span,1742742500440,1742743245264,12.413733333333333,587,54,Mini-Norwegian
exdq7,5,digit_span,1715271340562,1715271998469,10.965116666666667,585,9,Mini-English
ezje7,5,digit_span,1716469628444,1716470169043,9.009983333333333,584,13,Mini-English
finc3,5,digit_span,1715864245762,1715864736144,8.173033333333333,485,14,Mini-Norwegian
fkft1,5,digit_span,1734879497749,1734880096300,9.97585,583,43,Mini-English
fqrf6,5,digit_span,1717171064570,1717171838343,12.896216666666668,587,12,Mini-Norwegian
fwma9,5,digit_span,1731677987991,1731678602219,10.237133333333333,560,39,Mini-English
gjop6,5,digit_span,1728649510289,1728650226980,11.94485,586,32,Mini-Norwegian
gxac7,5,digit_span,1717133671961,1717134446863,12.915033333333334,587,15,Mini-English
hcqa8,5,digit_span,1715746497732,1715747174859,11.28545,587,8,Mini-Norwegian
hymj4,5,digit_span,1729945816034,1729946513788,11.629233333333334,584,37,Mini-English
idyh6,5,digit_span,1730676030321,1730676707689,11.289466666666666,584,38,Mini-Norwegian
jlos1,5,digit_span,1742019663367,1742020333553,11.169766666666666,586,55,Mini-English
jpxp4,5,digit_span,1713209524552,1713210261742,12.2865,585,6,Mini-Norwegian
kixs9,5,digit_span,1742497250814,1742498176753,15.432316666666667,584,48,Mini-Norwegian
ksjo8,5,digit_span,1720183058390,1720183652528,9.9023,585,17,Mini-English
kvrn1,5,digit_span,1734875438318,1734876111626,11.2218,580,44,Mini-Norwegian
kwly7,5,digit_span,1743236071102,1743236652896,9.696566666666667,583,60,Mini-Norwegian
ltsl3,5,digit_span,1721123484374,1721124069687,9.755216666666668,583,18,Mini-Norwegian
mrbf1,5,digit_span,1728983606977,1728984224822,10.297416666666667,585,33,Mini-English
mtjw7,5,digit_span,1743016516161,1743017139736,10.392916666666666,570,57,Mini-English
mvse0,5,digit_span,1743115188016,1743115783280,9.921066666666666,583,52,Mini-Norwegian
noyy6,5,digit_span,1727184682361,1727185368090,11.428816666666666,581,25,Mini-English
pson3,5,digit_span,1711537230198,1711624406838,1452.944,589,5,Mini-English
pwck3,5,digit_span,1741714446982,1741715158064,11.851366666666667,583,50,Mini-Norwegian
qdvg4,5,digit_span,1712767204816,1712768100809,14.933216666666667,584,7,Mini-English
qlhb2,5,digit_span,1730544833701,1730545594525,12.6804,585,27,Mini-English
rodf4,5,digit_span,1742142377185,1742142939099,9.365233333333334,559,58,Mini-Norwegian
rsnb6,5,digit_span,1744655122540,1744655783405,11.014416666666667,583,65,Mini-English
rvax5,5,digit_span,1716656052820,1716656692775,10.665916666666666,583,16,Mini-Norwegian
sjnh6,5,digit_span,1744901820625,1744902511087,11.5077,584,49,Mini-English
swbd5,5,digit_span,1733252695342,1733253273652,9.6385,583,47,Mini-English
sxhv6,5,digit_span,1743841601904,1743842282351,11.340783333333333,583,53,Mini-English
trpu0,5,digit_span,1736453502351,1736454170702,11.139183333333333,584,51,Mini-English
usjs8,5,digit_span,1728478073727,1728478676243,10.041933333333333,584,29,Mini-English
uwfo3,5,digit_span,1744554900719,1744555595074,11.572583333333334,585,61,Mini-English
uyxx3,5,digit_span,1713466390060,1713466975340,9.754666666666667,583,11,Mini-English
wjob1,5,digit_span,1725231726061,1725232375357,10.8216,583,22,Mini-Norwegian
xqls8,5,digit_span,1711383371004,1711384319843,15.813983333333333,577,3,Mini-English
ymoq6,5,digit_span,1743937860900,1743938558382,11.6247,583,62,Mini-Norwegian
yozx4,5,digit_span,1730044128683,1730044967475,13.979866666666666,597,30,Mini-Norwegian
yzud1,5,digit_span,1732118757389,1732119593680,13.938183333333333,584,42,Mini-Norwegian
zhao8,5,digit_span,1726842480510,1726843050967,9.507616666666667,583,26,Mini-Norwegian
zllv8,5,digit_span,1728926542797,1728927224007,11.3535,584,31,Mini-English
ztwr3,5,digit_span,1722194723984,1722195408727,11.412383333333333,587,21,Mini-English
zuff1,5,digit_span,1731678933184,1731679506185,9.550016666666666,581,36,Mini-Norwegian
zuwa4,5,digit_span,1720386044062,1720386646851,10.046483333333333,583,19,Mini-English
ahsw7,5,asrt,1726515028506,1726517522961,41.57425,2802,24,Mini-Norwegian
awfh6,5,asrt,1742367843889,1742458694372,1514.1747166666667,5850,56,Mini-Norwegian
bder6,5,asrt,1730899152357,1730901516042,39.39475,2989,40,Mini-Norwegian
cgju5,5,asrt,1734112303526,1734114597026,38.225,2404,34,Mini-Norwegian
chkk1,5,asrt,1732786858181,1732788947083,34.81503333333333,2401,41,Mini-English
crar9,5,asrt,1715700596716,1715702734145,35.62381666666667,2387,10,Mini-Norwegian
dbrb5,5,asrt,1730681192509,1730683698499,41.7665,2482,23,Mini-English
dzyb1,5,asrt,1742740148074,1742742230463,34.70648333333333,2389,54,Mini-Norwegian
exdq7,5,asrt,1715269010765,1715271098253,34.791466666666665,2439,9,Mini-English
ezje7,5,asrt,1716467343558,1716469385826,34.0378,2406,13,Mini-English
finc3,5,asrt,1715861925728,1715864003823,34.63491666666667,2468,14,Mini-Norwegian
fkft1,5,asrt,1734876851388,1734879254623,40.053916666666666,2362,43,Mini-English
fqrf6,5,asrt,1717168604211,1717170748684,35.741216666666666,2349,12,Mini-Norwegian
fwma9,5,asrt,1731675680408,1731677714951,33.90905,2440,39,Mini-English
gjop6,5,asrt,1728650964897,1728653071649,35.11253333333333,2440,32,Mini-Norwegian
gxac7,5,asrt,1717135442733,1717137624127,36.356566666666666,2421,15,Mini-English
hcqa8,5,asrt,1715748216251,1715750484656,37.80675,2442,8,Mini-Norwegian
hymj4,5,asrt,1729943176567,1729945342116,36.092483333333334,2389,37,Mini-English
idyh6,5,asrt,1730673726265,1730675786759,34.341566666666665,2475,38,Mini-Norwegian
jlos1,5,asrt,1742021310299,1742023398971,34.8112,2444,55,Mini-English
jpxp4,5,asrt,1713206957851,1713209281851,38.733333333333334,2393,6,Mini-Norwegian
kixs9,5,asrt,1742494471698,1742497007776,42.267966666666666,2399,48,Mini-Norwegian
ksjo8,5,asrt,1720180717865,1720182758860,34.01658333333334,2486,17,Mini-English
kvrn1,5,asrt,1734876820868,1734878853808,33.882333333333335,2495,44,Mini-Norwegian
kwly7,5,asrt,1743233712534,1743235826103,35.22615,2443,60,Mini-Norwegian
