participant_home_ID,session,task,start_ms,end_ms,duration_min,n_events,participant_lab_ID,language
ahsw7,1,stroop,1723715354721,1723715685073,5.505866666666667,120,24,Mini-Norwegian
awfh6,1,stroop,1739389581087,1739389916395,5.588466666666666,237,56,Mini-Norwegian
bder6,1,stroop,1728143594007,1728143885096,4.851483333333333,237,40,Mini-Norwegian
bdjk0,1,stroop,1731581203526,1731581520648,5.2853666666666665,237,46,Mini-Norwegian
cgju5,1,stroop,1732464515695,1732465017794,8.368316666666667,210,34,Mini-Norwegian
chkk1,1,stroop,1729519510571,1729520298785,13.1369,237,41,Mini-English
crar9,1,stroop,1711299858259,1711300125184,4.44875,237,10,Mini-Norwegian
dbrb5,1,stroop,1729099747027,1729100108301,6.021233333333333,237,23,Mini-English
dzyb1,1,stroop,1739430904453,1739431152773,4.1386666666666665,237,54,Mini-Norwegian
exdq7,1,stroop,1711373236221,1711373462260,3.767316666666667,237,9,Mini-English
ezje7,1,stroop,1714455984574,1714456293435,5.147683333333333,237,13,Mini-English
finc3,1,stroop,1713118349420,1713118646064,4.944066666666667,237,14,Mini-Norwegian
fkft1,1,stroop,1732967356396,1732967715321,5.982083333333334,237,43,Mini-English
fqrf6,1,stroop,1713365254437,1713365547468,4.88385,237,12,Mini-Norwegian
fwma9,1,stroop,1729179601917,1729179926405,5.408133333333334,237,39,Mini-English
gjop6,1,stroop,1726046008727,1726046249609,4.0147,237,32,Mini-Norwegian
gxac7,1,stroop,1714672188970,1714672423958,3.9164666666666665,237,15,Mini-English
hcqa8,1,stroop,1712517056911,1712517308857,4.1991,237,8,Mini-Norwegian
hymj4,1,stroop,1728480892085,1728481130697,3.9768666666666665,237,37,Mini-English
idyh6,1,stroop,1728467007760,1728467336047,5.47145,237,38,Mini-Norwegian
jlos1,1,stroop,1739547611343,1739547895630,4.7381166666666665,237,55,Mini-English
jpxp4,1,stroop,1711049436750,1711050030029,9.887983333333333,237,6,Mini-Norwegian
kixs9,1,stroop,1739964920637,1739965250036,5.489983333333333,237,48,Mini-Norwegian
ksjo8,1,stroop,1718196294563,1718196563600,4.48395,237,17,Mini-English
kvrn1,1,stroop,1732193424747,1732193658669,3.8987,237,44,Mini-Norwegian
kwly7,1,stroop,1741802052000,1741802324519,4.5419833333333335,237,60,Mini-Norwegian
ltsl3,1,stroop,1718131383176,1718133315080,32.1984,238,18,Mini-Norwegian
mhbu4,1,stroop,1743009469919,1743009674880,3.4160166666666667,237,59,Mini-English
monr7,1,stroop,1730471916663,1730472142059,3.7566,237,45,Mini-English
mrbf1,1,stroop,1726678006516,1726678232600,3.7680666666666665,237,33,Mini-English
mtjw7,1,stroop,1740950991814,1740951293326,5.0252,237,57,Mini-English
mvse0,1,stroop,1741247213972,1741247436054,3.7013666666666665,237,52,Mini-Norwegian
noyy6,1,stroop,1724661054584,1724661325602,4.516966666666667,237,25,Mini-English
pwck3,1,stroop,1739466131806,1739466394414,4.3768,191,50,Mini-Norwegian
qdvg4,1,stroop,1708881047000,1708881303815,4.28025,237,7,Mini-English
qgsl9,1,stroop,1712239289285,1712239541895,4.210166666666667,237,4,Mini-Norwegian
qlhb2,1,stroop,1728377095789,1728377305861,3.5012,223,27,Mini-English
rlgy8,1,stroop,1724347298251,1724347646830,5.80965,237,28,Mini-Norwegian
rodf4,1,stroop,1739894111418,1739894393870,4.707533333333333,237,58,Mini-Norwegian
rqed8,1,stroop,1710255713181,1710255968956,4.2629166666666665,233,2,Mini-Norwegian
rsnb6,1,stroop,1743020270937,1743020616774,5.76395,237,65,Mini-English
rvax5,1,stroop,1713376443531,1713376673321,3.829833333333333,237,16,Mini-Norwegian
sjnh6,1,stroop,1742423496358,1742423928246,7.198133333333334,237,49,Mini-English
swbd5,1,stroop,1731261141315,1731261371570,3.8375833333333333,237,47,Mini-English
sxhv6,1,stroop,1741351341629,1741351644229,5.043333333333333,227,53,Mini-English
trpu0,1,stroop,1733778515489,1733778704569,3.1513333333333335,237,51,Mini-English
uicn9,1,stroop,1725990503558,1725990730225,3.7777833333333333,237,35,Mini-English
usjs8,1,stroop,1724747039231,1724747301178,4.365783333333333,237,29,Mini-English
uwfo3,1,stroop,1742549991228,1742550223391,3.8693833333333334,237,61,Mini-English
uyxx3,1,stroop,1711281938740,1711282181833,4.05155,237,11,Mini-English
wbij5,1,stroop,1723460902273,1723461504443,10.036166666666666,237,20,Mini-Norwegian
wjob1,1,stroop,1722209090754,1722209309782,3.6504666666666665,237,22,Mini-Norwegian
xqls8,1,stroop,1708690482125,1708690696460,3.57225,237,3,Mini-English
ymoq6,1,stroop,1742241589278,1742241855596,4.438633333333334,237,62,Mini-Norwegian
yozx4,1,stroop,1726348443203,1726348873453,7.170833333333333,237,30,Mini-Norwegian
yzud1,1,stroop,1730654476616,1730654789977,5.222683333333333,237,42,Mini-Norwegian
zhao8,1,stroop,1724608686233,1724608846716,2.674716666666667,237,26,Mini-Norwegian
zkmg5,1,stroop,1741631300985,1741631553375,4.2065,237,64,Mini-Norwegian
zllv8,1,stroop,1726601124480,1726601348903,3.7403833333333334,237,31,Mini-English
ztwr3,1,stroop,1720045089069,1720045336713,4.1274,237,21,Mini-English
zuff1,1,stroop,1728842032264,1728842336723,5.074316666666666,237,36,Mini-Norwegian
zuwa4,1,stroop,1718363896374,1718364129273,3.88165,237,19,Mini-English
zygb0,1,stroop,1741769785864,1741770128502,5.710633333333333,237,63,Mini-English
ahsw7,1,digit_span,1723714237018,1723715104547,14.458816666666667,375,24,Mini-Norwegian
awfh6,1,digit_span,1739388552900,1739389337371,13.074516666666666,588,56,Mini-Norwegian
bder6,1,digit_span,1728142726362,1728143351586,10.4204,583,40,Mini-Norwegian
bdjk0,1,digit_span,1731584442245,1731585122679,11.340566666666666,577,46,Mini-Norwegian
cgju5,1,digit_span,1732463430788,1732464271248,14.007666666666667,584,34,Mini-Norwegian
chkk1,1,digit_span,1729523050324,1729523799603,12.487983333333334,563,41,Mini-English
crar9,1,digit_span,1711298894243,1711299613739,11.9916,583,10,Mini-Norwegian
dbrb5,1,digit_span,1729098766596,1729099504169,12.292883333333334,585,23,Mini-English
dzyb1,1,digit_span,1739436384839,1739436979850,9.91685,583,54,Mini-Norwegian
exdq7,1,digit_span,1711372335660,1711372993653,10.96655,585,9,Mini-English
ezje7,1,digit_span,1714458937073,1714459564292,10.45365,584,13,Mini-English
finc3,1,digit_span,1713117554647,1713118106988,9.205683333333333,583,14,Mini-Norwegian
fkft1,1,digit_span,1732971640732,1732972211347,9.51025,583,43,Mini-English
fqrf6,1,digit_span,1713368140479,1713368911393,12.848566666666667,589,12,Mini-Norwegian
fwma9,1,digit_span,1729178645316,1729179359163,11.89745,586,39,Mini-English
gjop6,1,digit_span,1726048969645,1726049746212,12.942783333333333,583,32,Mini-Norwegian
gxac7,1,digit_span,1714671259662,1714671945462,11.43,581,15,Mini-English
hcqa8,1,digit_span,1712515872223,1712516686510,13.57145,592,8,Mini-Norwegian
hymj4,1,digit_span,1728479880003,1728480632494,12.541516666666666,585,37,Mini-English
idyh6,1,digit_span,1728465875925,1728466764453,14.8088,584,38,Mini-Norwegian
jlos1,1,digit_span,1739546679653,1739547368987,11.4889,586,55,Mini-English
jpxp4,1,digit_span,1711052855702,1711053558616,11.715233333333334,577,6,Mini-Norwegian
kixs9,1,digit_span,1739968229091,1739969034448,13.422616666666666,586,48,Mini-Norwegian
ksjo8,1,digit_span,1718199305635,1718200133677,13.8007,584,17,Mini-English
kvrn1,1,digit_span,1732192489479,1732193182687,11.553466666666667,583,44,Mini-Norwegian
kwly7,1,digit_span,1741877074261,1741877733695,10.990566666666666,583,60,Mini-Norwegian
ltsl3,1,digit_span,1718130434273,1718131139881,11.760133333333334,585,18,Mini-Norwegian
mhbu4,1,digit_span,1743008386307,1743009225775,13.991133333333334,596,59,Mini-English
monr7,1,digit_span,1730471017586,1730471674105,10.941983333333333,584,45,Mini-English
mrbf1,1,digit_span,1726677153650,1726677756254,10.0434,583,33,Mini-English
mtjw7,1,digit_span,1740950099797,1740950747869,10.8012,577,57,Mini-English
mvse0,1,digit_span,1741250292353,1741250969944,11.293183333333333,583,52,Mini-Norwegian
noyy6,1,digit_span,1724660042117,1724660746856,11.74565,585,25,Mini-English
pwck3,1,digit_span,1739465054839,1739465889392,13.909216666666667,588,50,Mini-Norwegian
qdvg4,1,digit_span,1708880140374,1708880804743,11.072816666666666,583,7,Mini-English
qgsl9,1,digit_span,1712242516687,1712243254626,12.298983333333334,584,4,Mini-Norwegian
qlhb2,1,digit_span,1728379990325,1728380737227,12.448366666666667,582,27,Mini-English
rlgy8,1,digit_span,1724350315876,1724351038288,12.0402,586,28,Mini-Norwegian
rodf4,1,digit_span,1739893003194,1739893869012,14.4303,599,58,Mini-Norwegian
rqed8,1,digit_span,1710254795057,1710255466088,11.18385,584,2,Mini-Norwegian
rsnb6,1,digit_span,1743069256648,1743069944700,11.467533333333334,582,65,Mini-English
rvax5,1,digit_span,1713375471138,1713376200949,12.163516666666666,583,16,Mini-Norwegian
sjnh6,1,digit_span,1742422203275,1742423252538,17.487716666666667,585,49,Mini-English
swbd5,1,digit_span,1731264121733,1731264777332,10.92665,584,47,Mini-English
