"stage","order","label","n_total","n_mini_english","n_mini_norwegian","source"
"enrolled",0,"Enrolled (assigned a mini-language)",65,33,32,"participant key"
"attended_S1",1,"Attended Session 1",65,33,32,"participant key"
"attended_S2",2,"Attended Session 2",65,33,32,"participant key"
"attended_S3",3,"Attended Session 3",57,29,28,"participant key"
"attended_S4",4,"Attended Session 4",56,28,28,"participant key"
"attended_S5",5,"Attended Session 5",54,28,26,"participant key"
"attended_S6",6,"Attended Session 6",36,18,18,"participant key"
"usable_accuracy",10,"Usable grammaticality-judgement data (Paper 1)",64,33,31,"accuracy_*.rds"
"battery_baseline",11,"Usable baseline cognitive battery (Paper 2)",63,NA,NA,"cognitive_indices.rds"
"trajectory",12,"Contributed a learning trajectory (Paper 2)",64,NA,NA,"learning_trajectory.rds"
"joint_predictor",13,"Had baseline battery and learning trajectory (Paper 2)",62,NA,NA,"derived intersection"
"usable_erp",14,"Usable single-trial ERP data (Paper 1)",63,33,30,"EEG_trial_count_per_condition.csv"
"usable_rseeg",15,"Usable baseline resting-state EEG (Paper 2)",57,29,28,"resting_state_eeg.rds"
