"property","generalization","train_set","test_set","time_ms","auc"
"differential_object_marking","cross_property","differential_object_marking","gender_agreement",-98,0.497098112142212
"differential_object_marking","cross_property","differential_object_marking","gender_agreement",-94,0.497962649923762
"differential_object_marking","cross_property","differential_object_marking","gender_agreement",-90,0.497209861351917
"differential_object_marking","cross_property","differential_object_marking","gender_agreement",-86,0.496688477528381
"differential_object_marking","cross_property","differential_object_marking","gender_agreement",-82,0.495668753937496
"differential_object_marking","cross_property","differential_object_marking","gender_agreement",-78,0.494412370782142
"differential_object_marking","cross_property","differential_object_marking","gender_agreement",-74,0.491985513484244
"differential_object_marking","cross_property","differential_object_marking","gender_agreement",-70,0.490728238456422
"differential_object_marking","cross_property","differential_object_marking","gender_agreement",-66,0.491515183333304
"differential_object_marking","cross_property","differential_object_marking","gender_agreement",-62,0.48978111810532
"differential_object_marking","cross_property","differential_object_marking","gender_agreement",-58,0.489417764441151
"differential_object_marking","cross_property","differential_object_marking","gender_agreement",-54,0.492500943456443
"differential_object_marking","cross_property","differential_object_marking","gender_agreement",-50,0.49817354160532
"differential_object_marking","cross_property","differential_object_marking","gender_agreement",-46,0.493254431063465
"differential_object_marking","cross_property","differential_object_marking","gender_agreement",-42,0.496032420962262
"differential_object_marking","cross_property","differential_object_marking","gender_agreement",-38,0.497500684090287
"differential_object_marking","cross_property","differential_object_marking","gender_agreement",-34,0.496260884941895
"differential_object_marking","cross_property","differential_object_marking","gender_agreement",-30,0.495706308999774
"differential_object_marking","cross_property","differential_object_marking","gender_agreement",-26,0.493107657780917
"differential_object_marking","cross_property","differential_object_marking","gender_agreement",-22,0.494602460141014
"differential_object_marking","cross_property","differential_object_marking","gender_agreement",-18,0.495674804207478
"differential_object_marking","cross_property","differential_object_marking","gender_agreement",-14,0.495925082905572
"differential_object_marking","cross_property","differential_object_marking","gender_agreement",-10,0.496240010305225
"differential_object_marking","cross_property","differential_object_marking","gender_agreement",-6,0.496349397258124
"differential_object_marking","cross_property","differential_object_marking","gender_agreement",-2,0.496364438566764
"differential_object_marking","cross_property","differential_object_marking","gender_agreement",2,0.49751427911925
"differential_object_marking","cross_property","differential_object_marking","gender_agreement",6,0.501120336447077
"differential_object_marking","cross_property","differential_object_marking","gender_agreement",10,0.502026141408742
"differential_object_marking","cross_property","differential_object_marking","gender_agreement",14,0.504317337672944
"differential_object_marking","cross_property","differential_object_marking","gender_agreement",18,0.50444321221416
"differential_object_marking","cross_property","differential_object_marking","gender_agreement",22,0.507140282765032
"differential_object_marking","cross_property","differential_object_marking","gender_agreement",26,0.508955821748151
"differential_object_marking","cross_property","differential_object_marking","gender_agreement",30,0.508101841808243
"differential_object_marking","cross_property","differential_object_marking","gender_agreement",34,0.50584125846387
"differential_object_marking","cross_property","differential_object_marking","gender_agreement",38,0.501011190540791
"differential_object_marking","cross_property","differential_object_marking","gender_agreement",42,0.49553779331275
"differential_object_marking","cross_property","differential_object_marking","gender_agreement",46,0.4907172949402
"differential_object_marking","cross_property","differential_object_marking","gender_agreement",50,0.49042873803999
"differential_object_marking","cross_property","differential_object_marking","gender_agreement",54,0.495976088368845
"differential_object_marking","cross_property","differential_object_marking","gender_agreement",58,0.501856661535266
"differential_object_marking","cross_property","differential_object_marking","gender_agreement",62,0.500347926680948
"differential_object_marking","cross_property","differential_object_marking","gender_agreement",66,0.50147980926078
"differential_object_marking","cross_property","differential_object_marking","gender_agreement",70,0.503926022601687
"differential_object_marking","cross_property","differential_object_marking","gender_agreement",74,0.503220768421891
"differential_object_marking","cross_property","differential_object_marking","gender_agreement",78,0.505546964654275
"differential_object_marking","cross_property","differential_object_marking","gender_agreement",82,0.505967880249585
"differential_object_marking","cross_property","differential_object_marking","gender_agreement",86,0.509342918503683
"differential_object_marking","cross_property","differential_object_marking","gender_agreement",90,0.508574437797343
