"train_time_ms","test_time_ms","auc","n_folds","property"
-98,-98,0.495310983097768,63,"gender_agreement"
-90,-98,0.499092658864275,63,"gender_agreement"
-82,-98,0.494092835677783,63,"gender_agreement"
-74,-98,0.493056582896077,63,"gender_agreement"
-66,-98,0.494132912999484,63,"gender_agreement"
-58,-98,0.503120430925322,63,"gender_agreement"
-50,-98,0.506838927232518,63,"gender_agreement"
-42,-98,0.504094294030113,63,"gender_agreement"
-34,-98,0.499741370744008,63,"gender_agreement"
-26,-98,0.498092115172274,63,"gender_agreement"
-18,-98,0.500651061832033,63,"gender_agreement"
-10,-98,0.506512575006609,63,"gender_agreement"
-2,-98,0.506035545490754,63,"gender_agreement"
6,-98,0.496556919237552,63,"gender_agreement"
14,-98,0.496340775143361,63,"gender_agreement"
22,-98,0.497287574894602,63,"gender_agreement"
30,-98,0.492500545681431,63,"gender_agreement"
38,-98,0.49373459361405,63,"gender_agreement"
46,-98,0.496693606308379,63,"gender_agreement"
54,-98,0.493532007749398,63,"gender_agreement"
62,-98,0.492933212795295,63,"gender_agreement"
70,-98,0.491400874499371,63,"gender_agreement"
78,-98,0.494577134284203,63,"gender_agreement"
86,-98,0.503848674071915,63,"gender_agreement"
94,-98,0.503542603061531,63,"gender_agreement"
102,-98,0.496954915347808,63,"gender_agreement"
110,-98,0.490939294754509,63,"gender_agreement"
118,-98,0.488462753244786,63,"gender_agreement"
126,-98,0.496002176886666,63,"gender_agreement"
134,-98,0.502237173241575,63,"gender_agreement"
142,-98,0.49304365700011,63,"gender_agreement"
150,-98,0.488490216398505,63,"gender_agreement"
158,-98,0.490603030976179,63,"gender_agreement"
166,-98,0.496882040962313,63,"gender_agreement"
174,-98,0.494248565289442,63,"gender_agreement"
182,-98,0.493176364671617,63,"gender_agreement"
190,-98,0.495225383438103,63,"gender_agreement"
198,-98,0.493543980836381,63,"gender_agreement"
206,-98,0.496021293319318,63,"gender_agreement"
214,-98,0.496162226448777,63,"gender_agreement"
222,-98,0.497671313948269,63,"gender_agreement"
230,-98,0.4973877918853,63,"gender_agreement"
238,-98,0.49717000343586,63,"gender_agreement"
246,-98,0.496249060398455,63,"gender_agreement"
254,-98,0.496186766850615,63,"gender_agreement"
262,-98,0.494061298392938,63,"gender_agreement"
270,-98,0.494989582416659,63,"gender_agreement"
278,-98,0.494278789262812,63,"gender_agreement"
286,-98,0.49246297346281,63,"gender_agreement"
294,-98,0.489943194518178,63,"gender_agreement"
302,-98,0.48830770684938,63,"gender_agreement"
310,-98,0.48983309336533,63,"gender_agreement"
318,-98,0.493376181996133,63,"gender_agreement"
326,-98,0.489815607427569,63,"gender_agreement"
334,-98,0.489174581507235,63,"gender_agreement"
342,-98,0.491515738828985,63,"gender_agreement"
350,-98,0.494360955285626,63,"gender_agreement"
358,-98,0.498695252947777,63,"gender_agreement"
366,-98,0.493671305511679,63,"gender_agreement"
374,-98,0.492558406291329,63,"gender_agreement"
382,-98,0.489747656182495,63,"gender_agreement"
390,-98,0.488286848719631,63,"gender_agreement"
398,-98,0.488866797761251,63,"gender_agreement"
406,-98,0.48720343819266,63,"gender_agreement"
414,-98,0.489249870986306,63,"gender_agreement"
422,-98,0.491718653880636,63,"gender_agreement"
430,-98,0.490470454285775,63,"gender_agreement"
438,-98,0.487300966237238,63,"gender_agreement"
446,-98,0.489959060207626,63,"gender_agreement"
454,-98,0.492959977096971,63,"gender_agreement"
462,-98,0.49523744718852,63,"gender_agreement"
470,-98,0.492324321287241,63,"gender_agreement"
478,-98,0.489207382737091,63,"gender_agreement"
486,-98,0.486416276791431,63,"gender_agreement"
494,-98,0.482665305262129,63,"gender_agreement"
502,-98,0.482644664347905,63,"gender_agreement"
510,-98,0.484625354088084,63,"gender_agreement"
518,-98,0.48699289288149,63,"gender_agreement"
526,-98,0.489151665980947,63,"gender_agreement"
534,-98,0.490011205468162,63,"gender_agreement"
542,-98,0.485818096326969,63,"gender_agreement"
550,-98,0.487606656344612,63,"gender_agreement"
558,-98,0.488105022975327,63,"gender_agreement"
566,-98,0.489763367334921,63,"gender_agreement"
574,-98,0.492605656492637,63,"gender_agreement"
582,-98,0.49649135435003,63,"gender_agreement"
590,-98,0.49652583463282,63,"gender_agreement"
598,-98,0.493516133844063,63,"gender_agreement"
606,-98,0.491379804083749,63,"gender_agreement"
614,-98,0.493327922706241,63,"gender_agreement"
622,-98,0.495852320229145,63,"gender_agreement"
630,-98,0.492820746707521,63,"gender_agreement"
638,-98,0.487812458653174,63,"gender_agreement"
646,-98,0.48859492492312,63,"gender_agreement"
654,-98,0.488993870999099,63,"gender_agreement"
662,-98,0.486815238733534,63,"gender_agreement"
670,-98,0.487815272571407,63,"gender_agreement"
678,-98,0.489409211095797,63,"gender_agreement"
686,-98,0.488126980282333,63,"gender_agreement"
694,-98,0.490919635234827,63,"gender_agreement"
702,-98,0.492381667894512,63,"gender_agreement"
710,-98,0.492343602545408,63,"gender_agreement"
718,-98,0.49208811404663,63,"gender_agreement"
726,-98,0.492802649094182,63,"gender_agreement"
734,-98,0.490906228419677,63,"gender_agreement"
742,-98,0.491203532590606,63,"gender_agreement"
750,-98,0.492073363656482,63,"gender_agreement"
758,-98,0.492474938007491,63,"gender_agreement"
766,-98,0.492673764754314,63,"gender_agreement"
774,-98,0.494546813814736,63,"gender_agreement"
782,-98,0.495848206613078,63,"gender_agreement"
790,-98,0.494187861149359,63,"gender_agreement"
798,-98,0.493568245636307,63,"gender_agreement"
806,-98,0.493940803911637,63,"gender_agreement"
814,-98,0.495389429729738,63,"gender_agreement"
822,-98,0.493747546640249,63,"gender_agreement"
830,-98,0.493687755050792,63,"gender_agreement"
838,-98,0.497575702929452,63,"gender_agreement"
846,-98,0.496133239981528,63,"gender_agreement"
854,-98,0.49832359732703,63,"gender_agreement"
862,-98,0.49994853607099,63,"gender_agreement"
870,-98,0.500715223457255,63,"gender_agreement"
878,-98,0.49614033697251,63,"gender_agreement"
886,-98,0.497966014827643,63,"gender_agreement"
894,-98,0.498882802467821,63,"gender_agreement"
902,-98,0.495962246115848,63,"gender_agreement"
910,-98,0.494389557775682,63,"gender_agreement"
918,-98,0.496660526842327,63,"gender_agreement"
926,-98,0.497349516757058,63,"gender_agreement"
934,-98,0.493317316748091,63,"gender_agreement"
942,-98,0.492275251291704,63,"gender_agreement"
950,-98,0.497086967294919,63,"gender_agreement"
958,-98,0.501990447665811,63,"gender_agreement"
966,-98,0.49841331917738,63,"gender_agreement"
974,-98,0.497261342842286,63,"gender_agreement"
982,-98,0.498860939538344,63,"gender_agreement"
990,-98,0.497077740753068,63,"gender_agreement"
998,-98,0.499647173316516,63,"gender_agreement"
1006,-98,0.501429707645686,63,"gender_agreement"
1014,-98,0.500209289201691,63,"gender_agreement"
1022,-98,0.496909527423536,63,"gender_agreement"
1030,-98,0.497130490318316,63,"gender_agreement"
1038,-98,0.500709974556268,63,"gender_agreement"
1046,-98,0.500980444136285,63,"gender_agreement"
1054,-98,0.501958462632511,63,"gender_agreement"
1062,-98,0.498049901728839,63,"gender_agreement"
1070,-98,0.499113637299287,63,"gender_agreement"
1078,-98,0.498118487842395,63,"gender_agreement"
1086,-98,0.499598825914526,63,"gender_agreement"
1094,-98,0.497161722146853,63,"gender_agreement"
-98,-90,0.497748947043292,63,"gender_agreement"
-90,-90,0.493841283081488,63,"gender_agreement"
-82,-90,0.490578611121917,63,"gender_agreement"
-74,-90,0.494897567499145,63,"gender_agreement"
-66,-90,0.496826115923235,63,"gender_agreement"
-58,-90,0.503152580703488,63,"gender_agreement"
-50,-90,0.506427982939836,63,"gender_agreement"
-42,-90,0.503501556626022,63,"gender_agreement"
-34,-90,0.501175970684914,63,"gender_agreement"
-26,-90,0.499713539609123,63,"gender_agreement"
-18,-90,0.503874000684891,63,"gender_agreement"
-10,-90,0.510383761440455,63,"gender_agreement"
-2,-90,0.51105550574527,63,"gender_agreement"
6,-90,0.502772391041539,63,"gender_agreement"
14,-90,0.500765501688905,63,"gender_agreement"
22,-90,0.496793015845009,63,"gender_agreement"
30,-90,0.494338191300605,63,"gender_agreement"
38,-90,0.498345111602319,63,"gender_agreement"
46,-90,0.502072150305537,63,"gender_agreement"
54,-90,0.500317344630514,63,"gender_agreement"
62,-90,0.499559926592033,63,"gender_agreement"
70,-90,0.499907143268501,63,"gender_agreement"
78,-90,0.499357108972187,63,"gender_agreement"
86,-90,0.506623624143765,63,"gender_agreement"
94,-90,0.503687162755331,63,"gender_agreement"
102,-90,0.498518765498,63,"gender_agreement"
110,-90,0.492671454505415,63,"gender_agreement"
118,-90,0.490027456822831,63,"gender_agreement"
126,-90,0.49761615450994,63,"gender_agreement"
134,-90,0.500001265035848,63,"gender_agreement"
142,-90,0.494821228077909,63,"gender_agreement"
150,-90,0.495482517418382,63,"gender_agreement"
158,-90,0.495219319335053,63,"gender_agreement"
166,-90,0.499962855751695,63,"gender_agreement"
174,-90,0.501495593846155,63,"gender_agreement"
182,-90,0.498173027001061,63,"gender_agreement"
190,-90,0.494517052399582,63,"gender_agreement"
198,-90,0.492777142706074,63,"gender_agreement"
206,-90,0.502433658431723,63,"gender_agreement"
214,-90,0.498647826074016,63,"gender_agreement"
222,-90,0.500813007954301,63,"gender_agreement"
230,-90,0.50264011790091,63,"gender_agreement"
238,-90,0.501127048240501,63,"gender_agreement"
246,-90,0.500514562187366,63,"gender_agreement"
254,-90,0.506913582602365,63,"gender_agreement"
262,-90,0.507807727549124,63,"gender_agreement"
270,-90,0.507296537173188,63,"gender_agreement"
278,-90,0.503767460805887,63,"gender_agreement"
286,-90,0.497964488912035,63,"gender_agreement"
294,-90,0.497985373325797,63,"gender_agreement"
302,-90,0.497056597924399,63,"gender_agreement"
310,-90,0.500108328078411,63,"gender_agreement"
318,-90,0.501099536614608,63,"gender_agreement"
326,-90,0.498220235052383,63,"gender_agreement"
334,-90,0.500146045113448,63,"gender_agreement"
342,-90,0.501671538988853,63,"gender_agreement"
350,-90,0.501774998655397,63,"gender_agreement"
358,-90,0.503124827789665,63,"gender_agreement"
366,-90,0.49944323604114,63,"gender_agreement"
374,-90,0.500198751841376,63,"gender_agreement"
382,-90,0.498098457655644,63,"gender_agreement"
390,-90,0.496314620037485,63,"gender_agreement"
398,-90,0.496876621720583,63,"gender_agreement"
406,-90,0.496905660693684,63,"gender_agreement"
414,-90,0.499406775336748,63,"gender_agreement"
422,-90,0.503242637607097,63,"gender_agreement"
430,-90,0.501532278632955,63,"gender_agreement"
438,-90,0.496013581117652,63,"gender_agreement"
446,-90,0.497079677549653,63,"gender_agreement"
454,-90,0.502193472719858,63,"gender_agreement"
462,-90,0.504059505216219,63,"gender_agreement"
470,-90,0.502930548160166,63,"gender_agreement"
478,-90,0.502815341493598,63,"gender_agreement"
486,-90,0.500534628117384,63,"gender_agreement"
494,-90,0.493583874645025,63,"gender_agreement"
502,-90,0.494013078781243,63,"gender_agreement"
510,-90,0.4944606388375,63,"gender_agreement"
518,-90,0.493943661825352,63,"gender_agreement"
526,-90,0.495628775294312,63,"gender_agreement"
534,-90,0.498376534675638,63,"gender_agreement"
542,-90,0.494818194864994,63,"gender_agreement"
550,-90,0.495115215812073,63,"gender_agreement"
558,-90,0.495917626709975,63,"gender_agreement"
566,-90,0.496721588302243,63,"gender_agreement"
574,-90,0.497833450409034,63,"gender_agreement"
582,-90,0.503184495726447,63,"gender_agreement"
590,-90,0.503905104554902,63,"gender_agreement"
598,-90,0.49792075821523,63,"gender_agreement"
606,-90,0.495937110651934,63,"gender_agreement"
614,-90,0.497936585514853,63,"gender_agreement"
622,-90,0.502989837111485,63,"gender_agreement"
630,-90,0.498711537211861,63,"gender_agreement"
638,-90,0.491850427002214,63,"gender_agreement"
646,-90,0.491866110178765,63,"gender_agreement"
654,-90,0.496631823842443,63,"gender_agreement"
662,-90,0.496199383839638,63,"gender_agreement"
670,-90,0.498260921159467,63,"gender_agreement"
678,-90,0.492170855612911,63,"gender_agreement"
686,-90,0.49329827612587,63,"gender_agreement"
694,-90,0.496267698302507,63,"gender_agreement"
702,-90,0.497463443163838,63,"gender_agreement"
710,-90,0.499524113596199,63,"gender_agreement"
718,-90,0.500172117074883,63,"gender_agreement"
726,-90,0.497843162539965,63,"gender_agreement"
734,-90,0.496928878172358,63,"gender_agreement"
742,-90,0.497688579977218,63,"gender_agreement"
750,-90,0.496217075592482,63,"gender_agreement"
758,-90,0.493456571487602,63,"gender_agreement"
766,-90,0.49637800181092,63,"gender_agreement"
774,-90,0.500425823323966,63,"gender_agreement"
782,-90,0.49958535603721,63,"gender_agreement"
790,-90,0.494736872166889,63,"gender_agreement"
798,-90,0.493655295150831,63,"gender_agreement"
806,-90,0.496079225355615,63,"gender_agreement"
814,-90,0.495970153377323,63,"gender_agreement"
822,-90,0.496957894004801,63,"gender_agreement"
830,-90,0.499944331822794,63,"gender_agreement"
838,-90,0.503069013821398,63,"gender_agreement"
846,-90,0.496787190703094,63,"gender_agreement"
854,-90,0.498509018910225,63,"gender_agreement"
862,-90,0.501874941880635,63,"gender_agreement"
870,-90,0.504284781349506,63,"gender_agreement"
