"model","max_rhat","min_ess_bulk","min_ess_tail","n_divergent","n_treedepth","passed","structure","prior_variant"
"accuracy_differential_object_marking",1.0009773022628,5019.9074704722,8149.42458464937,0,NA,TRUE,"base","informative"
"accuracy_differential_object_marking_weakprior",1.00155041012628,4825.17936361709,7707.48772756763,0,NA,TRUE,"base","weak"
"accuracy_gender_agreement",1.00138646673814,4086.27046306201,7873.83968219898,0,NA,TRUE,"base","informative"
"accuracy_gender_agreement_weakprior",1.00146451766976,3675.13339743475,7273.54183114551,0,NA,TRUE,"base","weak"
"accuracy_verb_object_number_agreement",1.00128173326723,5672.59800480734,10553.1689888335,0,NA,TRUE,"base","informative"
"accuracy_verb_object_number_agreement_weakprior",1.00118914150039,5156.15843756628,9021.34253667459,0,NA,TRUE,"base","weak"
"erp_differential_object_marking_200_500_lateral",1.00593688001615,829.872800565902,1807.9908196956,0,NA,TRUE,"base","informative"
"erp_differential_object_marking_200_500_lateral_itemslope",1.0032481974798,977.980537760799,1419.85746096647,0,NA,TRUE,"maximal","informative"
"erp_differential_object_marking_200_500_lateral_itemslope_retfree",1.00599592996103,1105.16535234826,1474.04653031336,0,NA,TRUE,"base","informative"
"erp_differential_object_marking_200_500_lateral_retfree",1.00707873768844,839.631395922789,1518.68842387123,0,NA,TRUE,"base","informative"
"erp_differential_object_marking_200_500_lateral_weakprior",1.00448777383732,978.300770639733,1962.09847920565,0,NA,TRUE,"base","weak"
"erp_differential_object_marking_200_500_lateral_weakprior_itemslope",1.00607631844617,1038.4894002884,1128.3626059288,0,NA,TRUE,"maximal","weak"
"erp_differential_object_marking_200_500_midline",1.0058163561903,873.614129290875,2407.56887043458,0,NA,TRUE,"base","informative"
"erp_differential_object_marking_200_500_midline_itemslope",1.0050370849229,864.859563554958,2230.29622851438,0,NA,TRUE,"maximal","informative"
"erp_differential_object_marking_200_500_midline_itemslope_retfree",1.00677713619287,1015.772668575,2519.67590408258,0,NA,TRUE,"base","informative"
"erp_differential_object_marking_200_500_midline_retfree",1.00339761571595,776.169714359448,2204.43262016426,0,NA,TRUE,"base","informative"
"erp_differential_object_marking_200_500_midline_weakprior",1.00303796138164,849.167935169158,2194.6822273234,0,NA,TRUE,"base","weak"
"erp_differential_object_marking_200_500_midline_weakprior_itemslope",1.00467448148835,868.493948932851,2309.73294918399,0,NA,TRUE,"maximal","weak"
"erp_differential_object_marking_300_600_lateral",1.00525052901005,837.307672301602,1834.60704249795,0,NA,TRUE,"base","informative"
"erp_differential_object_marking_300_600_lateral_itemslope",1.00608630305087,809.05606354771,1671.13199884397,0,NA,TRUE,"maximal","informative"
"erp_differential_object_marking_300_600_lateral_itemslope_retfree",1.00307726081853,732.034009008549,1400.52597223149,0,NA,TRUE,"base","informative"
"erp_differential_object_marking_300_600_lateral_retfree",1.00530706788876,884.54338197083,1908.71815058149,0,NA,TRUE,"base","informative"
"erp_differential_object_marking_300_600_lateral_weakprior",1.00232039182908,903.78724183575,1755.82882465383,0,NA,TRUE,"base","weak"
"erp_differential_object_marking_300_600_lateral_weakprior_itemslope",1.00718898283198,593.094813098303,1199.96604565632,0,NA,TRUE,"maximal","weak"
"erp_differential_object_marking_300_600_midline",1.00338707321388,1019.40387548713,2863.2412898942,0,NA,TRUE,"base","informative"
"erp_differential_object_marking_300_600_midline_itemslope",1.00454759803867,1335.30123778536,2937.20627702229,0,NA,TRUE,"maximal","informative"
"erp_differential_object_marking_300_600_midline_itemslope_retfree",1.00368800455487,820.948434508572,2596.70974923072,0,NA,TRUE,"base","informative"
"erp_differential_object_marking_300_600_midline_retfree",1.00292462318282,1134.45828145874,3107.53682277438,0,NA,TRUE,"base","informative"
"erp_differential_object_marking_300_600_midline_weakprior",1.00401099102496,874.915574396844,2836.52053386317,0,NA,TRUE,"base","weak"
"erp_differential_object_marking_300_600_midline_weakprior_itemslope",1.00446803973211,1135.15682503473,3310.05808369319,0,NA,TRUE,"maximal","weak"
"erp_differential_object_marking_400_900_lateral",1.00083687530769,4546.543730204,7922.3443700634,0,NA,TRUE,"base","informative"
"erp_differential_object_marking_400_900_lateral_itemslope",1.00185208015078,3782.23559242236,6859.14828021124,0,NA,TRUE,"maximal","informative"
"erp_differential_object_marking_400_900_lateral_itemslope_retfree",1.00092429495637,5120.61976089089,8806.78889966573,0,NA,TRUE,"base","informative"
"erp_differential_object_marking_400_900_lateral_retfree",1.00080229712972,5186.26254713364,10706.1671433826,0,NA,TRUE,"base","informative"
"erp_differential_object_marking_400_900_lateral_weakprior",1.00071307808894,4777.18431984653,8249.60887027758,0,NA,TRUE,"base","weak"
"erp_differential_object_marking_400_900_lateral_weakprior_itemslope",1.00099015520921,3511.47954812771,7498.62671843548,0,NA,TRUE,"maximal","weak"
"erp_differential_object_marking_400_900_midline",1.0061289906815,1238.84980685561,1714.62695032258,0,NA,TRUE,"base","informative"
"erp_differential_object_marking_400_900_midline_itemslope",1.00216975128291,1253.22551623231,1611.65141277131,0,NA,TRUE,"maximal","informative"
"erp_differential_object_marking_400_900_midline_itemslope_retfree",1.00342668346906,1927.02822003564,1614.57867316097,0,NA,TRUE,"base","informative"
"erp_differential_object_marking_400_900_midline_retfree",1.00113738093392,1835.06034249624,2100.85113751301,0,NA,TRUE,"base","informative"
"erp_differential_object_marking_400_900_midline_weakprior",1.00345507092041,1205.92416259194,1241.35879269248,0,NA,TRUE,"base","weak"
"erp_differential_object_marking_400_900_midline_weakprior_itemslope",1.00309061608679,1246.72604770356,1456.14059023279,0,NA,TRUE,"maximal","weak"
"erp_gender_agreement_200_500_lateral",1.00081041694647,5641.05280780914,11270.0285659067,0,NA,TRUE,"base","informative"
"erp_gender_agreement_200_500_lateral_itemslope",1.0008867657469,5280.60747318072,10703.0352877569,0,NA,TRUE,"maximal","informative"
"erp_gender_agreement_200_500_lateral_itemslope_retfree",1.00101265409626,5031.04414027994,9582.25899103863,0,NA,TRUE,"base","informative"
"erp_gender_agreement_200_500_lateral_retfree",1.00064601687215,5070.24371776144,9953.1044947215,0,NA,TRUE,"base","informative"
"erp_gender_agreement_200_500_lateral_weakprior",1.00079731260672,5998.03691277966,11427.4194796116,0,NA,TRUE,"base","weak"
"erp_gender_agreement_200_500_lateral_weakprior_itemslope",1.00073049095081,5834.87537756908,12599.0387655534,0,NA,TRUE,"maximal","weak"
"erp_gender_agreement_200_500_midline",1.0044413784047,2105.41747190676,2280.72898682712,0,NA,TRUE,"base","informative"
"erp_gender_agreement_200_500_midline_itemslope",1.00223468303913,2353.50550021912,2690.72498744487,0,NA,TRUE,"maximal","informative"
"erp_gender_agreement_200_500_midline_itemslope_retfree",1.00179685603511,2286.19229359832,2329.63841357726,0,NA,TRUE,"base","informative"
"erp_gender_agreement_200_500_midline_retfree",1.00250958343272,2180.33718812513,2740.76929250398,0,NA,TRUE,"base","informative"
"erp_gender_agreement_200_500_midline_weakprior",1.0037411878249,2215.81228872695,2268.15839105951,0,NA,TRUE,"base","weak"
"erp_gender_agreement_200_500_midline_weakprior_itemslope",1.00185987565962,2771.18562431182,3133.38663941292,0,NA,TRUE,"maximal","weak"
"erp_gender_agreement_300_600_lateral",1.00074993035189,4670.85337171118,9190.89029334035,0,NA,TRUE,"base","informative"
"erp_gender_agreement_300_600_lateral_itemslope",1.00125622217482,4474.31446404459,9294.12497739812,0,NA,TRUE,"maximal","informative"
"erp_gender_agreement_300_600_lateral_itemslope_retfree",1.00083971939504,3870.48411298423,7376.04483324912,0,NA,TRUE,"base","informative"
"erp_gender_agreement_300_600_lateral_retfree",1.00128693284296,4392.17223429688,8831.5977670507,0,NA,TRUE,"base","informative"
"erp_gender_agreement_300_600_lateral_weakprior",1.00092776288816,5124.49551745295,10133.7795621299,0,NA,TRUE,"base","weak"
"erp_gender_agreement_300_600_lateral_weakprior_itemslope",1.00098219808446,4516.22209342275,9209.38260811016,0,NA,TRUE,"maximal","weak"
"erp_gender_agreement_300_600_midline",1.00209703054175,2714.72861028955,4016.36981250386,0,NA,TRUE,"base","informative"
"erp_gender_agreement_300_600_midline_itemslope",1.00252821166045,2412.9431238066,3324.38331459246,0,NA,TRUE,"maximal","informative"
"erp_gender_agreement_300_600_midline_itemslope_retfree",1.00162620912726,2398.34777802024,2298.2302582447,0,NA,TRUE,"base","informative"
"erp_gender_agreement_300_600_midline_retfree",1.00182487353877,2478.62114990594,3396.79258074175,0,NA,TRUE,"base","informative"
"erp_gender_agreement_300_600_midline_weakprior",1.00063419896749,3082.10243647227,3811.39865824813,0,NA,TRUE,"base","weak"
"erp_gender_agreement_300_600_midline_weakprior_itemslope",1.00147137404321,2644.38926262649,4044.86846928555,0,NA,TRUE,"maximal","weak"
"erp_gender_agreement_400_900_lateral",1.00479069513562,1640.4678596909,1306.14130423529,0,NA,TRUE,"base","informative"
"erp_gender_agreement_400_900_lateral_itemslope",1.00156637313314,2169.89902768382,3454.45299259345,0,NA,TRUE,"maximal","informative"
"erp_gender_agreement_400_900_lateral_itemslope_retfree",1.00233963750328,1610.40554888015,2319.79174897586,0,NA,TRUE,"base","informative"
"erp_gender_agreement_400_900_lateral_retfree",1.00277883384198,1146.13733350393,1148.7741870235,0,NA,TRUE,"base","informative"
"erp_gender_agreement_400_900_lateral_weakprior",1.00407491935847,1595.70884479395,1974.41607045646,0,NA,TRUE,"base","weak"
"erp_gender_agreement_400_900_lateral_weakprior_itemslope",1.00270275574415,1868.20964849137,2775.79103452368,0,NA,TRUE,"maximal","weak"
"erp_gender_agreement_400_900_midline",1.0056312748037,766.0721143074,1215.43579487122,0,NA,TRUE,"base","informative"
"erp_gender_agreement_400_900_midline_itemslope",1.00325515763053,956.635497355576,1438.1283554555,0,NA,TRUE,"maximal","informative"
"erp_gender_agreement_400_900_midline_itemslope_retfree",1.00661961259885,813.471136239441,1423.15292133137,0,NA,TRUE,"base","informative"
"erp_gender_agreement_400_900_midline_retfree",1.00376549160633,982.637237620391,1245.53357889622,0,NA,TRUE,"base","informative"
"erp_gender_agreement_400_900_midline_weakprior",1.00661775385795,1045.93812787858,1636.87670311173,0,NA,TRUE,"base","weak"
"erp_gender_agreement_400_900_midline_weakprior_itemslope",1.00467522999692,759.287979487287,1354.28945089567,0,NA,TRUE,"maximal","weak"
"erp_verb_object_number_agreement_200_500_lateral",1.00282966262795,1381.41207357301,2376.27757313266,0,NA,TRUE,"base","informative"
"erp_verb_object_number_agreement_200_500_lateral_itemslope",1.00186837552222,1447.13356372936,2335.92967919175,0,NA,TRUE,"maximal","informative"
"erp_verb_object_number_agreement_200_500_lateral_weakprior",1.00288454321493,1729.49523537812,2773.18666911433,0,NA,TRUE,"base","weak"
"erp_verb_object_number_agreement_200_500_lateral_weakprior_itemslope",1.00251756925498,1493.34030722677,2217.44051520829,0,NA,TRUE,"maximal","weak"
"erp_verb_object_number_agreement_200_500_midline",1.00192057846183,1716.98762649493,2770.48103737076,0,NA,TRUE,"base","informative"
"erp_verb_object_number_agreement_200_500_midline_itemslope",1.00368512450929,1998.84569663834,3190.10551856384,0,NA,TRUE,"maximal","informative"
"erp_verb_object_number_agreement_200_500_midline_weakprior",1.00457680468356,1152.86753641826,2234.94009053453,0,NA,TRUE,"base","weak"
"erp_verb_object_number_agreement_200_500_midline_weakprior_itemslope",1.00214748184555,2219.37418467853,3603.43232715861,0,NA,TRUE,"maximal","weak"
"erp_verb_object_number_agreement_300_600_lateral",1.00389642714639,1170.53128023798,2421.22863611689,0,NA,TRUE,"base","informative"
"erp_verb_object_number_agreement_300_600_lateral_itemslope",1.00309841885085,1177.75362805701,2354.44193636817,0,NA,TRUE,"maximal","informative"
"erp_verb_object_number_agreement_300_600_lateral_weakprior",1.00263561080118,1061.39337374192,2399.37180454827,0,NA,TRUE,"base","weak"
"erp_verb_object_number_agreement_300_600_lateral_weakprior_itemslope",1.00558952309144,1082.87608706052,2563.92054541527,0,NA,TRUE,"maximal","weak"
"erp_verb_object_number_agreement_300_600_midline",1.00537376846777,1105.02477111608,2250.6250067779,0,NA,TRUE,"base","informative"
"erp_verb_object_number_agreement_300_600_midline_itemslope",1.00399911578812,1395.78707182828,2487.23619287532,0,NA,TRUE,"maximal","informative"
"erp_verb_object_number_agreement_300_600_midline_weakprior",1.00379341975494,1029.08818977985,1824.13814627274,0,NA,TRUE,"base","weak"
"erp_verb_object_number_agreement_300_600_midline_weakprior_itemslope",1.00692793120531,1358.66839308812,2302.60992112849,0,NA,TRUE,"maximal","weak"
"erp_verb_object_number_agreement_400_900_lateral",1.00194911542354,1291.39465327769,2121.49527354002,0,NA,TRUE,"base","informative"
"erp_verb_object_number_agreement_400_900_lateral_itemslope",1.00171120713693,1066.66138780753,2150.54874549753,0,NA,TRUE,"maximal","informative"
"erp_verb_object_number_agreement_400_900_lateral_weakprior",1.00624792199558,901.133710137568,2208.7858842171,0,NA,TRUE,"base","weak"
"erp_verb_object_number_agreement_400_900_lateral_weakprior_itemslope",1.00694715651256,824.66954493582,2065.46482965863,0,NA,TRUE,"maximal","weak"
"erp_verb_object_number_agreement_400_900_midline",1.00311748465051,1320.60469920688,2318.45894357521,0,NA,TRUE,"base","informative"
"erp_verb_object_number_agreement_400_900_midline_itemslope",1.00230951292111,1227.9406875821,2234.08241119507,0,NA,TRUE,"maximal","informative"
"erp_verb_object_number_agreement_400_900_midline_weakprior",1.00214930062872,1263.98676574505,2103.84935704614,0,NA,TRUE,"base","weak"
"erp_verb_object_number_agreement_400_900_midline_weakprior_itemslope",1.00296551782663,1137.54673554353,2146.60560360742,0,NA,TRUE,"maximal","weak"
