"parameter","median_inf","ci_low_inf","ci_high_inf","pd_inf","median_weak","ci_low_weak","ci_high_weak","pd_weak","median_shift","ci_width_inf","ci_width_weak","model","structure"
"z_recoded_session:z_recoded_mini_language",0.00623515405,-0.021147831025,0.03436371355,0.6795625,0.0066873315,-0.02139234595,0.0338604009,0.685375,-0.00045217745,0.055511544575,0.05525274685,"erp_differential_object_marking_200_500_lateral","base"
"z_recoded_session",-0.0283786265,-0.056138866575,-0.000995527028500026,0.9785625,-0.028689834,-0.056581106675,-0.000920604719000018,0.97871875,0.000311207499999997,0.0551433395465,0.055660501956,"erp_differential_object_marking_200_500_lateral","base"
"z_recoded_mini_language",0.0015229497,-0.013953606075,0.017117550325,0.577,0.00140587015,-0.0141462209,0.0169757656,0.56890625,0.00011707955,0.0310711564,0.0311219865,"erp_differential_object_marking_200_500_lateral","base"
"z_recoded_grammaticality:z_recoded_mini_language",0.0163608615,-0.00738185383999999,0.040088074325,0.9130625,0.0162772745,-0.007610746375,0.040238862825,0.912,8.35869999999996e-05,0.047469928165,0.0478496092,"erp_differential_object_marking_200_500_lateral","base"
"z_recoded_grammaticality:z_recoded_session",-0.0018483217,-0.0097379675925,0.0060236976325,0.67728125,-0.00176789705,-0.009585636135,0.0059836489025,0.672875,-8.042465e-05,0.015761665225,0.0155692850375,"erp_differential_object_marking_200_500_lateral","base"
"Intercept",0.0024106957,-0.0129291316,0.01767557225,0.62421875,0.0023436779,-0.013110127075,0.017591359575,0.616,6.70177999999998e-05,0.03060470385,0.03070148665,"erp_differential_object_marking_200_500_lateral","base"
"z_recoded_grammaticality",0.0241644345,0.000544629697500004,0.047963415875,0.97721875,0.024098369,0.000202283053750003,0.04793942605,0.97615625,6.60654999999968e-05,0.0474187861775,0.04773714299625,"erp_differential_object_marking_200_500_lateral","base"
"z_recoded_hemisphere",0.024228662,0.0171151855,0.0313708875,1,0.024276336,0.0171256898,0.031372429825,1,-4.76740000000045e-05,0.014255702,0.014246740025,"erp_differential_object_marking_200_500_lateral","base"
"z_recoded_grammaticality:z_recoded_caudality",0.00167559195,-0.00536035078,0.00880559916499999,0.67659375,0.0017107885,-0.005347908945,0.008782514645,0.67821875,-3.51965500000001e-05,0.014165949945,0.01413042359,"erp_differential_object_marking_200_500_lateral","base"
"z_multilingual_language_diversity",-0.00566458355,-0.01527936915,0.0034335080425,0.890375,-0.00563066865,-0.015286456875,0.00326836081999999,0.893625,-3.39148999999993e-05,0.0187128771925,0.018554817695,"erp_differential_object_marking_200_500_lateral","base"
"z_recoded_caudality",-0.0285297365,-0.035514351675,-0.02145307405,1,-0.028507698,-0.035545042975,-0.021451037275,1,-2.20385000000017e-05,0.014061277625,0.0140940057,"erp_differential_object_marking_200_500_lateral","base"
"z_recoded_grammaticality:z_recoded_hemisphere",0.0189033895,0.01175544665,0.026090387425,1,0.0189198065,0.011879979525,0.0260304432,1,-1.64170000000012e-05,0.014334940775,0.014150463675,"erp_differential_object_marking_200_500_lateral","base"
"z_recoded_grammaticality:z_recoded_session:z_recoded_mini_language",-0.0065498239,-0.014323007425,0.001328723995,0.94853125,-0.0065371179,-0.0142435639,0.0012252558225,0.94996875,-1.27059999999995e-05,0.01565173142,0.0154688197225,"erp_differential_object_marking_200_500_lateral","base"
"z_baseline_predictor",0.51283862,0.5056235695,0.520036755,1,0.512850335,0.50568297225,0.5200646905,1,-1.17150000000787e-05,0.0144131855,0.01438171825,"erp_differential_object_marking_200_500_lateral","base"
"z_recoded_grammaticality:z_recoded_mini_language",0.0096558971,-0.0190358205,0.03834343825,0.74946875,0.0099971358,-0.0188819853,0.037955774825,0.75525,-0.000341238700000001,0.05737925875,0.056837760125,"erp_differential_object_marking_200_500_midline","base"
"z_recoded_session",-0.0303856235,-0.06246623525,0.00160727360499999,0.96953125,-0.030682052,-0.0626902504,0.00165588772499998,0.96896875,0.000296428500000001,0.064073508855,0.064346138125,"erp_differential_object_marking_200_500_midline","base"
"z_recoded_mini_language",-0.00090643167,-0.01865990395,0.0170396029,0.5396875,-0.00101663865,-0.01884931095,0.016480483475,0.54515625,0.00011020698,0.03569950685,0.035329794425,"erp_differential_object_marking_200_500_midline","base"
"z_recoded_grammaticality:z_recoded_caudality",-0.0014521682,-0.01169661235,0.00884049430249999,0.60753125,-0.0013658227,-0.011638885625,0.0087521887625,0.60453125,-8.63454999999998e-05,0.0205371066525,0.0203910743875,"erp_differential_object_marking_200_500_midline","base"
"z_recoded_session:z_recoded_mini_language",-0.0014029831,-0.033353629025,0.0305644856749999,0.53365625,-0.00148430495,-0.03353482835,0.0305938385,0.53665625,8.13218499999999e-05,0.0639181146999999,0.06412866685,"erp_differential_object_marking_200_500_midline","base"
"z_baseline_predictor",0.489889905,0.47951330575,0.500306546,1,0.489946395,0.47928442325,0.5006885705,1,-5.64900000000756e-05,0.02079324025,0.0214041472499999,"erp_differential_object_marking_200_500_midline","base"
"z_recoded_grammaticality:z_recoded_session",-0.0090246634,-0.020076139025,0.0020021671225,0.94534375,-0.00897757215,-0.020100321525,0.0020969062875,0.943,-4.70912500000007e-05,0.0220783061475,0.0221972278125,"erp_differential_object_marking_200_500_midline","base"
"z_recoded_caudality",-0.016370892,-0.0264203573,-0.00623037756750001,0.999375,-0.0164095635,-0.0264461374,-0.0062960793975,0.9990625,3.86715000000003e-05,0.0201899797325,0.0201500580025,"erp_differential_object_marking_200_500_midline","base"
"z_recoded_grammaticality:z_recoded_session:z_recoded_mini_language",-0.00284291705,-0.01387375245,0.0080355604,0.693875,-0.00287589765,-0.013822201475,0.00798576395999999,0.69453125,3.29805999999999e-05,0.02190931285,0.021807965435,"erp_differential_object_marking_200_500_midline","base"
"z_multilingual_language_diversity",-0.00895290705,-0.021272200875,0.00297494914,0.93196875,-0.0089339317,-0.02108515075,0.00290940013999999,0.92878125,-1.89753500000004e-05,0.024247150015,0.02399455089,"erp_differential_object_marking_200_500_midline","base"
"Intercept",0.00324620995,-0.0144929509,0.020903820475,0.64040625,0.00324936605,-0.014616124625,0.0207987219,0.63809375,-3.15609999999985e-06,0.035396771375,0.035414846525,"erp_differential_object_marking_200_500_midline","base"
"z_recoded_grammaticality",0.031910045,0.003451671915,0.059674842975,0.98575,0.031911479,0.00358899706,0.06061944775,0.9866875,-1.43400000000155e-06,0.05622317106,0.05703045069,"erp_differential_object_marking_200_500_midline","base"
"z_recoded_grammaticality",0.0120053355,-0.011446593025,0.035618342425,0.8459375,0.0117730395,-0.012237905125,0.0355655082,0.8370625,0.000232296,0.04706493545,0.047803413325,"erp_differential_object_marking_300_600_lateral","base"
"z_recoded_session",-0.0297620775,-0.055960992925,-0.00342484683250001,0.98615625,-0.029583126,-0.055529991825,-0.00366950087750002,0.9873125,-0.0001789515,0.0525361460925,0.0518604909475,"erp_differential_object_marking_300_600_lateral","base"
"z_recoded_mini_language",-0.00112535405,-0.0170870438,0.0148969613,0.55371875,-0.0012657441,-0.0174186115,0.01451542695,0.56259375,0.00014039005,0.0319840051,0.03193403845,"erp_differential_object_marking_300_600_lateral","base"
"z_recoded_session:z_recoded_mini_language",0.0098463924,-0.016457659925,0.035489925325,0.772375,0.00992159895,-0.0156040669,0.035469057075,0.77846875,-7.52065499999982e-05,0.05194758525,0.051073123975,"erp_differential_object_marking_300_600_lateral","base"
"Intercept",0.00067779182,-0.0149098416,0.016504511975,0.53221875,0.0007417098,-0.015215904275,0.016653278125,0.533625,-6.39179799999999e-05,0.031414353575,0.0318691824,"erp_differential_object_marking_300_600_lateral","base"
"z_recoded_caudality",-0.0342155135,-0.041524355025,-0.02694519615,1,-0.0342744305,-0.04155572895,-0.02695822925,1,5.89169999999986e-05,0.014579158875,0.0145974997,"erp_differential_object_marking_300_600_lateral","base"
"z_recoded_grammaticality:z_recoded_session:z_recoded_mini_language",-0.00777005815,-0.01572141455,0.000302492028749992,0.970375,-0.00782577645,-0.015848408375,0.0001567600995,0.97253125,5.57183000000003e-05,0.01602390657875,0.0160051684745,"erp_differential_object_marking_300_600_lateral","base"
"z_recoded_grammaticality:z_recoded_caudality",0.00232078695,-0.004972402275,0.00964969512249998,0.72934375,0.0022955464,-0.0050120502225,0.00960684045499999,0.735125,2.52405499999997e-05,0.0146220973975,0.0146188906775,"erp_differential_object_marking_300_600_lateral","base"
"z_recoded_grammaticality:z_recoded_mini_language",0.014700884,-0.00939294812,0.0381605541,0.8854375,0.014682634,-0.008978517565,0.03882395935,0.892125,1.82500000000009e-05,0.04755350222,0.047802476915,"erp_differential_object_marking_300_600_lateral","base"
"z_baseline_predictor",0.46556916,0.45799236425,0.47315970875,1,0.465587335,0.45803880725,0.473181407,1,-1.81749999999536e-05,0.0151673445,0.01514259975,"erp_differential_object_marking_300_600_lateral","base"
"z_recoded_grammaticality:z_recoded_session",0.003407425,-0.004552228915,0.0114500755,0.79828125,0.00339632705,-0.004599859135,0.0114391638,0.795875,1.109795e-05,0.016002304415,0.016039022935,"erp_differential_object_marking_300_600_lateral","base"
"z_recoded_grammaticality:z_recoded_hemisphere",0.0210981725,0.01387635275,0.02846508355,1,0.021087746,0.013677540575,0.028489700875,1,1.04264999999971e-05,0.0145887308,0.0148121603,"erp_differential_object_marking_300_600_lateral","base"
"z_recoded_hemisphere",0.0140817665,0.006756592375,0.0214352355,0.999875,0.0140758345,0.006637444825,0.021437587075,0.99996875,5.93199999999842e-06,0.014678643125,0.01480014225,"erp_differential_object_marking_300_600_lateral","base"
"z_multilingual_language_diversity",0.00051462496,-0.0080390371,0.0093756659,0.54796875,0.000514215645,-0.0080859575425,0.00928374412499999,0.54634375,4.09315000000085e-07,0.017414703,0.0173697016675,"erp_differential_object_marking_300_600_lateral","base"
"z_recoded_grammaticality:z_recoded_mini_language",0.0159876115,-0.01149456395,0.043295446375,0.87403125,0.0156141525,-0.01185939055,0.0430632324749999,0.87075,0.000373458999999998,0.054790010325,0.054922623025,"erp_differential_object_marking_300_600_midline","base"
"z_recoded_grammaticality",0.0178034775,-0.00877141374749999,0.0451783975,0.90196875,0.017691744,-0.0094935386725,0.04509243745,0.89834375,0.000111733499999996,0.0539498112475,0.0545859761225,"erp_differential_object_marking_300_600_midline","base"
"z_recoded_session:z_recoded_mini_language",0.00380768245,-0.026217345375,0.033463914125,0.60046875,0.00370030105,-0.02605738445,0.033463408625,0.59621875,0.000107381399999999,0.0596812595,0.059520793075,"erp_differential_object_marking_300_600_midline","base"
"z_recoded_mini_language",-0.00241656735,-0.0205856432,0.016054968825,0.59890625,-0.00251147715,-0.020739624425,0.015994854375,0.60740625,9.49098000000001e-05,0.036640612025,0.0367344788,"erp_differential_object_marking_300_600_midline","base"
"z_baseline_predictor",0.434539515,0.42362241125,0.4454271095,1,0.434627135,0.4236851775,0.44551037725,1,-8.76200000000105e-05,0.02180469825,0.02182519975,"erp_differential_object_marking_300_600_midline","base"
"z_recoded_session",-0.0301898725,-0.060155911325,-0.000538606820500002,0.976875,-0.0301086135,-0.060214209775,0.000320987128249999,0.974,-8.12590000000002e-05,0.0596173045045,0.06053519690325,"erp_differential_object_marking_300_600_midline","base"
"Intercept",0.0025131513,-0.01560964095,0.02035477725,0.60553125,0.00243532885,-0.015414081875,0.020585861375,0.60759375,7.78224499999999e-05,0.0359644182,0.03599994325,"erp_differential_object_marking_300_600_midline","base"
"z_multilingual_language_diversity",-0.0020035609,-0.014007875575,0.00975949872499999,0.62709375,-0.0019272024,-0.01382565705,0.0100078787,0.624375,-7.63585000000001e-05,0.0237673743,0.02383353575,"erp_differential_object_marking_300_600_midline","base"
"z_recoded_grammaticality:z_recoded_session",-0.000692596115,-0.01219541205,0.01084372375,0.545875,-0.00064547611,-0.012083721125,0.01069707155,0.5448125,-4.71200049999999e-05,0.0230391358,0.022780792675,"erp_differential_object_marking_300_600_midline","base"
"z_recoded_grammaticality:z_recoded_session:z_recoded_mini_language",-0.0029322624,-0.01434791805,0.008483609235,0.6983125,-0.0029656764,-0.01434368685,0.00851381955499994,0.69421875,3.34139999999998e-05,0.022831527285,0.0228575064049999,"erp_differential_object_marking_300_600_midline","base"
"z_recoded_caudality",-0.026323895,-0.036669376475,-0.015878863,1,-0.026292028,-0.036779013875,-0.01586532515,1,-3.18669999999979e-05,0.020790513475,0.020913688725,"erp_differential_object_marking_300_600_midline","base"
"z_recoded_grammaticality:z_recoded_caudality",-0.00396556065,-0.0146214503,0.00661496037749999,0.7714375,-0.00395902655,-0.0145349179,0.00644024951,0.77259375,-6.53410000000035e-06,0.0212364106775,0.02097516741,"erp_differential_object_marking_300_600_midline","base"
