"parameter","median_inf","ci_low_inf","ci_high_inf","pd_inf","median_weak","ci_low_weak","ci_high_weak","pd_weak","median_shift","ci_width_inf","ci_width_weak","model","structure"
"z_recoded_grammaticality",-0.0177393765,-0.0428060728,0.00743632041749999,0.9190625,-0.0173472115,-0.04204848085,0.00749351799249999,0.91615625,-0.000392165,0.0502423932175,0.0495419988425,"erp_differential_object_marking_400_900_lateral","base"
"z_recoded_mini_language",-0.0045905989,-0.023593884925,0.013903640575,0.6840625,-0.0048080431,-0.02370206945,0.014162213575,0.69103125,0.000217444199999999,0.0374975255,0.037864283025,"erp_differential_object_marking_400_900_lateral","base"
"z_recoded_grammaticality:z_recoded_mini_language",0.0153451015,-0.00923478448499998,0.04036543405,0.89215625,0.0151869115,-0.00955792035499998,0.03988550905,0.88790625,0.000158189999999999,0.049600218535,0.049443429405,"erp_differential_object_marking_400_900_lateral","base"
"z_recoded_session:z_recoded_mini_language",-0.00027264396,-0.033106562775,0.03277376905,0.5065625,-0.00041928726,-0.033150869475,0.0324677841249999,0.51059375,0.0001466433,0.0658803318249999,0.0656186535999999,"erp_differential_object_marking_400_900_lateral","base"
"z_recoded_session",-0.018700301,-0.0519361699,0.013759639475,0.87125,-0.0185602955,-0.051632028675,0.013524516375,0.871625,-0.000140005500000002,0.065695809375,0.06515654505,"erp_differential_object_marking_400_900_lateral","base"
"Intercept",0.0021120791,-0.016508945725,0.020784821725,0.58709375,0.00217522465,-0.0166368908,0.020873751225,0.58915625,-6.31455500000001e-05,0.03729376745,0.037510642025,"erp_differential_object_marking_400_900_lateral","base"
"z_recoded_grammaticality:z_recoded_hemisphere",0.0193324065,0.0117397037,0.0269580156,1,0.0193895195,0.011892711625,0.026878725425,1,-5.7113000000001e-05,0.0152183119,0.0149860138,"erp_differential_object_marking_400_900_lateral","base"
"z_recoded_grammaticality:z_recoded_session:z_recoded_mini_language",-0.010673904,-0.01905966495,-0.002227279245,0.99321875,-0.0106377885,-0.018760766275,-0.002501686215,0.9951875,-3.61155000000012e-05,0.016832385705,0.01625908006,"erp_differential_object_marking_400_900_lateral","base"
"z_recoded_hemisphere",-0.0049422189,-0.0123985087,0.002570275825,0.89915625,-0.0049757997,-0.01253794055,0.0026351752475,0.8958125,3.35808000000003e-05,0.014968784525,0.0151731157975,"erp_differential_object_marking_400_900_lateral","base"
"z_baseline_predictor",0.40421451,0.39624911275,0.41203841275,1,0.40418818,0.3962801175,0.41200768575,1,2.63299999999633e-05,0.0157893,0.01572756825,"erp_differential_object_marking_400_900_lateral","base"
"z_recoded_caudality",0.0484448445,0.04098808005,0.056013293,1,0.0484642475,0.0407658835,0.056128171025,1,-1.94030000000012e-05,0.01502521295,0.015362287525,"erp_differential_object_marking_400_900_lateral","base"
"z_recoded_grammaticality:z_recoded_session",0.00461566745,-0.003649679795,0.012907451075,0.86296875,0.00463404425,-0.00355273448,0.01293770705,0.86553125,-1.83767999999999e-05,0.01655713087,0.01649044153,"erp_differential_object_marking_400_900_lateral","base"
"z_multilingual_language_diversity",0.0068338626,-0.00440078239249999,0.018121696925,0.88484375,0.0068436243,-0.0042832261375,0.018011785975,0.88975,-9.7617000000003e-06,0.0225224793175,0.0222950121125,"erp_differential_object_marking_400_900_lateral","base"
"z_recoded_grammaticality:z_recoded_caudality",0.00430121795,-0.0033729771575,0.0119268904,0.865375,0.0042952131,-0.00324781707,0.011830020125,0.86721875,6.00484999999963e-06,0.0152998675575,0.015077837195,"erp_differential_object_marking_400_900_lateral","base"
"z_recoded_mini_language",-0.00420495395,-0.023840681675,0.015317130625,0.660375,-0.00442875445,-0.024360669775,0.015602466175,0.67384375,0.0002238005,0.0391578123,0.03996313595,"erp_differential_object_marking_400_900_midline","base"
"z_multilingual_language_diversity",0.003818556,-0.0090891224275,0.017043261525,0.7165625,0.003996987,-0.009273825485,0.0172664769,0.72265625,-0.000178431000000001,0.0261323839525,0.026540302385,"erp_differential_object_marking_400_900_midline","base"
"z_recoded_grammaticality",-0.020718934,-0.048090697075,0.0069536880175,0.92996875,-0.0205500445,-0.047978653825,0.0074343785525,0.928875,-0.000168889500000002,0.0550443850925,0.0554130323775,"erp_differential_object_marking_400_900_midline","base"
"z_recoded_grammaticality:z_recoded_mini_language",0.022061891,-0.00563187214499999,0.049333003225,0.9415625,0.02194611,-0.005616800335,0.04958257525,0.94246875,0.000115781000000002,0.05496487537,0.055199375585,"erp_differential_object_marking_400_900_midline","base"
"z_baseline_predictor",0.366788485,0.355705569,0.3777765325,1,0.36687694,0.35562867475,0.3781587405,1,-8.84550000000428e-05,0.0220709635,0.0225300657499999,"erp_differential_object_marking_400_900_midline","base"
"Intercept",0.0046820479,-0.0148263132,0.024304844025,0.68209375,0.00475195805,-0.0148554502,0.024560344575,0.68228125,-6.99101500000006e-05,0.039131157225,0.039415794775,"erp_differential_object_marking_400_900_midline","base"
"z_recoded_session",-0.013354185,-0.04796203845,0.021394162025,0.77259375,-0.0133940105,-0.047990204675,0.02136733705,0.77803125,3.98255e-05,0.069356200475,0.069357541725,"erp_differential_object_marking_400_900_midline","base"
"z_recoded_caudality",0.028800416,0.01789302385,0.0397547825,1,0.028762642,0.017979272525,0.039674405875,1,3.77740000000008e-05,0.02186175865,0.02169513335,"erp_differential_object_marking_400_900_midline","base"
"z_recoded_grammaticality:z_recoded_caudality",-0.0060151369,-0.016924369775,0.00492081565749998,0.86071875,-0.0060514718,-0.016859661575,0.00470514263249997,0.864375,3.63349000000006e-05,0.0218451854325,0.0215648042075,"erp_differential_object_marking_400_900_midline","base"
"z_recoded_grammaticality:z_recoded_session",-0.00158020995,-0.01336029725,0.0102798195,0.60603125,-0.00154507015,-0.01320679855,0.010211650925,0.6028125,-3.51398000000001e-05,0.02364011675,0.023418449475,"erp_differential_object_marking_400_900_midline","base"
"z_recoded_grammaticality:z_recoded_session:z_recoded_mini_language",-0.0061276995,-0.01796165295,0.00570066971749999,0.84534375,-0.0061037822,-0.017881074525,0.00548649268,0.8464375,-2.39173000000006e-05,0.0236623226675,0.023367567205,"erp_differential_object_marking_400_900_midline","base"
"z_recoded_session:z_recoded_mini_language",-0.0092250281,-0.044017381425,0.025700533225,0.6956875,-0.00924765705,-0.044517821425,0.0255955253,0.7008125,2.2628949999999e-05,0.06971791465,0.070113346725,"erp_differential_object_marking_400_900_midline","base"
"z_recoded_session:z_recoded_mini_language",-0.0330039,-0.06882104575,0.00266278184249997,0.9658125,-0.03254622,-0.069639364975,0.00330624622499999,0.96340625,-0.000457680000000002,0.0714838275925,0.0729456112,"erp_gender_agreement_200_500_lateral","base"
"Intercept",0.00387842525,-0.01078933955,0.0185359028,0.7001875,0.00406006015,-0.010584440675,0.018567888275,0.7089375,-0.0001816349,0.02932524235,0.02915232895,"erp_gender_agreement_200_500_lateral","base"
"z_recoded_mini_language",-0.00063064702,-0.01538403195,0.0142239148,0.53209375,-0.00048287458,-0.01546678565,0.0142226516,0.5264375,-0.00014777244,0.02960794675,0.02968943725,"erp_gender_agreement_200_500_lateral","base"
"z_recoded_grammaticality",0.0122735915,-0.0017195171325,0.026585774825,0.95771875,0.0121833355,-0.00182941548,0.026684531275,0.95565625,9.02560000000004e-05,0.0283052919575,0.028513946755,"erp_gender_agreement_200_500_lateral","base"
"z_multilingual_language_diversity",-0.00432235675,-0.015585013625,0.00677873156249999,0.77846875,-0.00439025375,-0.0155667746,0.00675362459999999,0.78865625,6.78969999999991e-05,0.0223637451875,0.0223203992,"erp_gender_agreement_200_500_lateral","base"
"z_recoded_grammaticality:z_recoded_mini_language",-0.00250100205,-0.01660138795,0.011536658725,0.6393125,-0.00244061565,-0.016713372625,0.0118013157,0.63246875,-6.03864000000001e-05,0.028138046675,0.028514688325,"erp_gender_agreement_200_500_lateral","base"
"z_recoded_session",0.040168504,0.00320012145000003,0.07595723495,0.98265625,0.040224985,0.00420637879250001,0.0764081162,0.98565625,-5.64810000000041e-05,0.0727571135,0.0722017374075,"erp_gender_agreement_200_500_lateral","base"
"z_recoded_caudality",-0.0439666305,-0.04990165005,-0.038015578225,1,-0.043933684,-0.049960086725,-0.0378783166,1,-3.29464999999987e-05,0.011886071825,0.012081770125,"erp_gender_agreement_200_500_lateral","base"
"z_baseline_predictor",0.5254429,0.51944489975,0.53152914675,1,0.52547151,0.51942093925,0.53142812775,1,-2.86099999999845e-05,0.0120842469999999,0.0120071885,"erp_gender_agreement_200_500_lateral","base"
"z_recoded_hemisphere",0.052165181,0.04624733935,0.05805330935,1,0.0521918745,0.046174898025,0.05817128195,1,-2.6693500000001e-05,0.01180597,0.011996383925,"erp_gender_agreement_200_500_lateral","base"
"z_recoded_grammaticality:z_recoded_hemisphere",0.00367285585,-0.00228728437,0.0096456217475,0.8864375,0.0036484999,-0.00234510892,0.009734262525,0.886,2.43559499999999e-05,0.0119329061175,0.012079371445,"erp_gender_agreement_200_500_lateral","base"
"z_recoded_grammaticality:z_recoded_caudality",-0.00449461245,-0.01037139505,0.0013786291525,0.9341875,-0.0044816743,-0.01042425835,0.00149015394,0.9329375,-1.29381499999999e-05,0.0117500242025,0.01191441229,"erp_gender_agreement_200_500_lateral","base"
"z_recoded_grammaticality:z_recoded_session:z_recoded_mini_language",-0.00021292765,-0.00651887164,0.00604821778999999,0.52690625,-0.00020342646,-0.006462335285,0.0061135670675,0.52496875,-9.50119e-06,0.01256708943,0.0125759023525,"erp_gender_agreement_200_500_lateral","base"
"z_recoded_grammaticality:z_recoded_session",0.0125266795,0.0062909074475,0.01870518295,0.99990625,0.012527618,0.0062019329525,0.01882531655,1,-9.38500000000411e-07,0.0124142755025,0.0126233835975,"erp_gender_agreement_200_500_lateral","base"
"z_recoded_grammaticality",0.024608826,0.0073598693475,0.042371450425,0.99715625,0.02471202,0.00710646936750001,0.042005448725,0.99640625,-0.000103194000000001,0.0350115810775,0.0348989793575,"erp_gender_agreement_200_500_midline","base"
"z_recoded_session:z_recoded_mini_language",-0.021721499,-0.0566741829,0.0133380643,0.89271875,-0.0218229405,-0.056344561025,0.01292498915,0.893375,0.0001014415,0.0700122472,0.069269550175,"erp_gender_agreement_200_500_midline","base"
"z_recoded_grammaticality:z_recoded_mini_language",-0.00242571565,-0.0201026834,0.014934093125,0.611125,-0.00251026435,-0.02005639555,0.0150085076,0.6095,8.45487000000001e-05,0.035036776525,0.03506490315,"erp_gender_agreement_200_500_midline","base"
"z_baseline_predictor",0.486423025,0.4777087145,0.49515346875,1,0.486507145,0.4777389855,0.495279134,1,-8.41200000000208e-05,0.01744475425,0.0175401485,"erp_gender_agreement_200_500_midline","base"
"z_recoded_mini_language",-0.00030045637,-0.014264596025,0.01379467185,0.51584375,-0.00037876856,-0.014564260875,0.0138377426,0.52115625,7.831219e-05,0.028059267875,0.028402003475,"erp_gender_agreement_200_500_midline","base"
"z_recoded_grammaticality:z_recoded_session:z_recoded_mini_language",0.00765157465,-0.0014459235875,0.01669863475,0.94925,0.00757649055,-0.001236184495,0.016555404125,0.95240625,7.50840999999992e-05,0.0181445583375,0.01779158862,"erp_gender_agreement_200_500_midline","base"
"z_recoded_session",0.01413391,-0.020931416925,0.04888641545,0.7885,0.014194957,-0.020710218375,0.0487489233,0.79203125,-6.10470000000016e-05,0.069817832375,0.069459141675,"erp_gender_agreement_200_500_midline","base"
"z_recoded_caudality",-0.020755437,-0.029377279825,-0.01224080435,1,-0.0208156955,-0.02949197385,-0.0120983993,1,6.02585000000003e-05,0.017136475475,0.01739357455,"erp_gender_agreement_200_500_midline","base"
"Intercept",0.000522147665,-0.01347496765,0.014654268125,0.53015625,0.0004684581,-0.013646298825,0.014504791125,0.52575,5.3689565e-05,0.028129235775,0.02815108995,"erp_gender_agreement_200_500_midline","base"
"z_recoded_grammaticality:z_recoded_caudality",0.004452646,-0.00414646919,0.0130589958,0.844625,0.00440829255,-0.00421879191,0.0130702942,0.83859375,4.43534499999995e-05,0.01720546499,0.01728908611,"erp_gender_agreement_200_500_midline","base"
"z_recoded_grammaticality:z_recoded_session",0.00790044315,-0.0011242783425,0.016864698775,0.95746875,0.00794250985,-0.0011719625525,0.0169904689,0.955375,-4.2066700000001e-05,0.0179889771175,0.0181624314525,"erp_gender_agreement_200_500_midline","base"
"z_multilingual_language_diversity",-0.00190964505,-0.012226759025,0.00858270528,0.6385,-0.0019185926,-0.0124389849,0.00871051043,0.63959375,8.94755000000001e-06,0.020809464305,0.02114949533,"erp_gender_agreement_200_500_midline","base"
"z_recoded_session:z_recoded_mini_language",-0.0392769215,-0.076209909375,-0.00302671570250003,0.9826875,-0.0390956005,-0.076118719125,-0.00194987563750001,0.981,-0.000181320999999998,0.0731831936725,0.0741688434875,"erp_gender_agreement_300_600_lateral","base"
"z_recoded_grammaticality",0.016559579,0.0023628101175,0.030818579625,0.9888125,0.0167192895,0.00270521835500001,0.030930272275,0.9903125,-0.0001597105,0.0284557695075,0.02822505392,"erp_gender_agreement_300_600_lateral","base"
"z_recoded_session",0.0049267464,-0.031086651625,0.0411544696999999,0.60840625,0.00481187745,-0.032001256675,0.04166705395,0.60315625,0.00011486895,0.0722411213249999,0.073668310625,"erp_gender_agreement_300_600_lateral","base"
"z_recoded_mini_language",-0.0028379917,-0.016998923425,0.011244335725,0.65453125,-0.00276626855,-0.0170214704,0.0113303465,0.64728125,-7.17231499999999e-05,0.02824325915,0.0283518169,"erp_gender_agreement_300_600_lateral","base"
"z_recoded_hemisphere",0.044108558,0.037937911925,0.050336464925,1,0.0441500095,0.037882657725,0.05034344425,1,-4.14514999999976e-05,0.012398553,0.012460786525,"erp_gender_agreement_300_600_lateral","base"
"z_recoded_grammaticality:z_recoded_mini_language",-0.00654276385,-0.020646036025,0.00766353895499999,0.81621875,-0.00657942155,-0.0207918752,0.00751355515,0.81940625,3.66576999999996e-05,0.02830957498,0.02830543035,"erp_gender_agreement_300_600_lateral","base"
"z_recoded_caudality",-0.102944885,-0.109234272,-0.0967302592,1,-0.102967865,-0.1091861235,-0.096722917325,1,2.29799999999919e-05,0.0125040128,0.012463206175,"erp_gender_agreement_300_600_lateral","base"
"z_recoded_grammaticality:z_recoded_caudality",-0.00487574755,-0.011034590925,0.001313081005,0.94040625,-0.0048965749,-0.01098625195,0.0011941117125,0.939,2.08273499999996e-05,0.01234767193,0.0121803636625,"erp_gender_agreement_300_600_lateral","base"
"z_baseline_predictor",0.464770975,0.45844258575,0.471055354,1,0.46479091,0.45845311675,0.471156143,1,-1.99350000000265e-05,0.01261276825,0.0127030262499999,"erp_gender_agreement_300_600_lateral","base"
"z_recoded_grammaticality:z_recoded_session:z_recoded_mini_language",-0.0021614845,-0.0088000753025,0.00439323865,0.7426875,-0.0021429146,-0.0086111482025,0.0043700623225,0.7415625,-1.85698999999994e-05,0.0131933139525,0.012981210525,"erp_gender_agreement_300_600_lateral","base"
"z_multilingual_language_diversity",-0.00194103885,-0.012606291425,0.00849004412499999,0.6420625,-0.0019297118,-0.0125693981,0.00861761164499999,0.64078125,-1.132705e-05,0.02109633555,0.021187009745,"erp_gender_agreement_300_600_lateral","base"
