"component","version","recorded_utc"
"R","4.5.1","2026-08-08 02:47:30 UTC"
"platform","x86_64-pc-linux-gnu","2026-08-08 02:47:30 UTC"
"brms","2.23.0","2026-08-08 02:47:30 UTC"
"cmdstanr","0.9.0","2026-08-08 02:47:30 UTC"
"rstan","2.32.7","2026-08-08 02:47:30 UTC"
"StanHeaders","2.32.10","2026-08-08 02:47:30 UTC"
"posterior","1.7.0","2026-08-08 02:47:30 UTC"
"loo","2.9.0","2026-08-08 02:47:30 UTC"
"projpred","2.10.0","2026-08-08 02:47:30 UTC"
"bayesplot","1.15.0","2026-08-08 02:47:30 UTC"
"mgcv","1.9.4","2026-08-08 02:47:30 UTC"
"MASS","7.3.65","2026-08-08 02:47:30 UTC"
"dplyr","1.2.1","2026-08-08 02:47:30 UTC"
"CmdStan","2.39.0","2026-08-08 02:47:30 UTC"
"seed:LES_SEED","20260607","2026-08-08 02:47:30 UTC"
"seed:LES_DECODE_SEED","20260702","2026-08-08 02:47:30 UTC"
