"model","contrast","median","ci_low","ci_high","pd"
"erp_differential_object_marking_200_500_lateral","overall",-0.00238764394483529,-0.0125794115587318,0.00778135385077029,0.67728125
"erp_differential_object_marking_200_500_lateral","within_Mini-Norwegian",-0.0106537440348832,-0.025398968244734,0.00400040371912094,0.9239375
"erp_differential_object_marking_200_500_lateral","within_Mini-English",0.00620137562648428,-0.00780495291410373,0.0202759305333856,0.8085625
"erp_differential_object_marking_200_500_lateral","language_difference",-0.0169239109988654,-0.0370088275040171,0.00343325362280913,0.94853125
"erp_differential_object_marking_200_500_lateral_itemslope","overall",-0.00326843064967645,-0.013285777330907,0.00673962875401756,0.7405625
"erp_differential_object_marking_200_500_lateral_itemslope","within_Mini-Norwegian",-0.0130379685155082,-0.0273669426087562,0.00139462792926591,0.961625
"erp_differential_object_marking_200_500_lateral_itemslope","within_Mini-English",0.00677129417100988,-0.00687609724828585,0.0203981301730809,0.8331875
"erp_differential_object_marking_200_500_lateral_itemslope","language_difference",-0.0196986726934691,-0.0395401574507951,0.000212357469678742,0.97365625
"erp_differential_object_marking_200_500_lateral_weakprior","overall",-0.00228375216637053,-0.0123826312676668,0.00772961929196332,0.672875
"erp_differential_object_marking_200_500_lateral_weakprior","within_Mini-Norwegian",-0.0106052794729954,-0.0251000124395986,0.0038231014690027,0.9241875
"erp_differential_object_marking_200_500_lateral_weakprior","within_Mini-English",0.00622410855044119,-0.00755844750402665,0.0202626677568101,0.80996875
"erp_differential_object_marking_200_500_lateral_weakprior","language_difference",-0.0168910803126615,-0.0368035555505931,0.00316590503919222,0.94996875
"erp_differential_object_marking_200_500_lateral_weakprior_itemslope","overall",-0.00327637864752736,-0.0133200535318393,0.00683937801951917,0.74146875
"erp_differential_object_marking_200_500_lateral_weakprior_itemslope","within_Mini-Norwegian",-0.0130324298618432,-0.0274736893772081,0.00136266245710926,0.962
"erp_differential_object_marking_200_500_lateral_weakprior_itemslope","within_Mini-English",0.00678931219183411,-0.00700975421274775,0.0206195063087209,0.835375
"erp_differential_object_marking_200_500_lateral_weakprior_itemslope","language_difference",-0.0198229067127954,-0.0395051879639848,-8.24584768190753e-05,0.9754375
"erp_differential_object_marking_200_500_lateral_retfree","overall",-0.0215994625,-0.05258818775,0.00871640122249998,0.9156875
"erp_differential_object_marking_200_500_lateral_retfree","within_Mini-Norwegian",-0.0654417392167282,-0.108526943995015,-0.0225060216902314,0.99878125
"erp_differential_object_marking_200_500_lateral_retfree","within_Mini-English",0.0237371898325318,-0.0207466704611939,0.0678870226848011,0.85171875
"erp_differential_object_marking_200_500_lateral_retfree","language_difference",-0.0889808488475737,-0.15109337605759,-0.0270968122750047,0.99778125
"erp_differential_object_marking_200_500_lateral_itemslope_retfree","overall",-0.0202541125,-0.050821211525,0.010363831425,0.90146875
"erp_differential_object_marking_200_500_lateral_itemslope_retfree","within_Mini-Norwegian",-0.0642883574425903,-0.107450844487346,-0.0216369326696817,0.9985625
"erp_differential_object_marking_200_500_lateral_itemslope_retfree","within_Mini-English",0.0250906824705372,-0.0194184593360097,0.0697832206469094,0.86740625
"erp_differential_object_marking_200_500_lateral_itemslope_retfree","language_difference",-0.0896405644474217,-0.151151688701513,-0.0277307619612742,0.9979375
"erp_differential_object_marking_200_500_midline","overall",-0.0116578643928563,-0.0259339208469071,0.0025863560524529,0.94534375
"erp_differential_object_marking_200_500_midline","within_Mini-Norwegian",-0.0153510435884347,-0.0360744956267448,0.00533444141901347,0.927125
"erp_differential_object_marking_200_500_midline","within_Mini-English",-0.00791986395849407,-0.0275365586274711,0.011669162344376,0.78740625
"erp_differential_object_marking_200_500_midline","language_difference",-0.00734559987343203,-0.0358473470904637,0.0207624810780868,0.693875
"erp_differential_object_marking_200_500_midline_itemslope","overall",-0.012940493807498,-0.0271117587510432,0.00120702719379804,0.963125
"erp_differential_object_marking_200_500_midline_itemslope","within_Mini-Norwegian",-0.0176813493749862,-0.0385131517743578,0.00305080906733269,0.95184375
"erp_differential_object_marking_200_500_midline_itemslope","within_Mini-English",-0.00820762148726831,-0.0274737482767246,0.0112898355525142,0.795
"erp_differential_object_marking_200_500_midline_itemslope","language_difference",-0.00951589716651997,-0.038243359963253,0.0187346864891448,0.74240625
"erp_differential_object_marking_200_500_midline_weakprior","overall",-0.0115970329377363,-0.0259651592757753,0.00270873805046321,0.943
"erp_differential_object_marking_200_500_midline_weakprior","within_Mini-Norwegian",-0.0153253813257098,-0.0360335588459534,0.00499926622873298,0.92753125
"erp_differential_object_marking_200_500_midline_weakprior","within_Mini-English",-0.00784288404279328,-0.0274036911487392,0.0118507340808662,0.78196875
"erp_differential_object_marking_200_500_midline_weakprior","language_difference",-0.00743081596905667,-0.0357141483974399,0.0206338157962906,0.69453125
"erp_differential_object_marking_200_500_midline_weakprior_itemslope","overall",-0.0130512269814967,-0.0271853578522827,0.00130015846194072,0.963125
"erp_differential_object_marking_200_500_midline_weakprior_itemslope","within_Mini-Norwegian",-0.0176427911254749,-0.037884236855708,0.00277796900783029,0.95390625
"erp_differential_object_marking_200_500_midline_weakprior_itemslope","within_Mini-English",-0.0082650732726536,-0.027871447639608,0.0116573922125149,0.79921875
"erp_differential_object_marking_200_500_midline_weakprior_itemslope","language_difference",-0.00937239902445115,-0.0376883144538065,0.0189533342935827,0.74225
"erp_differential_object_marking_200_500_midline_retfree","overall",-0.038288531,-0.08199691065,0.00536685624749998,0.956875
"erp_differential_object_marking_200_500_midline_retfree","within_Mini-Norwegian",-0.131347400536401,-0.19248640618747,-0.0697505168329552,1
"erp_differential_object_marking_200_500_midline_retfree","within_Mini-English",0.0580458823519868,-0.0050077982754451,0.121175596770759,0.96371875
"erp_differential_object_marking_200_500_midline_retfree","language_difference",-0.189186749337221,-0.278383985194018,-0.102272682054814,1
