"time_ms","auc","null_mean","null_q975","p_pointwise","cluster_id","cluster_p","significant","cluster_threshold","n_perm","n_trials","n_participants","property","analysis","level","session","mini_language","cluster_p_fdr","significant_fdr","inference"
-98,0.59862517346108,0.499823131682165,0.516126314947802,0.000999000999000999,1,0.000999000999000999,TRUE,0.513376016124503,1000,9015,57,"differential_object_marking","overall","all",NA,NA,0.000999000999000999,TRUE,"confirmatory"
-94,0.59285289685688,0.499684639687113,0.515961222906744,0.000999000999000999,1,0.000999000999000999,TRUE,0.513376016124503,1000,9015,57,"differential_object_marking","overall","all",NA,NA,0.000999000999000999,TRUE,"confirmatory"
-90,0.584742762814168,0.499705745609277,0.515890054027369,0.000999000999000999,1,0.000999000999000999,TRUE,0.513376016124503,1000,9015,57,"differential_object_marking","overall","all",NA,NA,0.000999000999000999,TRUE,"confirmatory"
-86,0.578310838954997,0.500031563402218,0.516363473417722,0.000999000999000999,1,0.000999000999000999,TRUE,0.513376016124503,1000,9015,57,"differential_object_marking","overall","all",NA,NA,0.000999000999000999,TRUE,"confirmatory"
-82,0.570438028575345,0.500215726318797,0.515538586954013,0.000999000999000999,1,0.000999000999000999,TRUE,0.513376016124503,1000,9015,57,"differential_object_marking","overall","all",NA,NA,0.000999000999000999,TRUE,"confirmatory"
-78,0.563392303072487,0.499863795308326,0.516355339937858,0.000999000999000999,1,0.000999000999000999,TRUE,0.513376016124503,1000,9015,57,"differential_object_marking","overall","all",NA,NA,0.000999000999000999,TRUE,"confirmatory"
-74,0.557643915180511,0.499500810119891,0.515353903273715,0.000999000999000999,1,0.000999000999000999,TRUE,0.513376016124503,1000,9015,57,"differential_object_marking","overall","all",NA,NA,0.000999000999000999,TRUE,"confirmatory"
-70,0.548297422581854,0.499505565099702,0.514768943173329,0.000999000999000999,1,0.000999000999000999,TRUE,0.513376016124503,1000,9015,57,"differential_object_marking","overall","all",NA,NA,0.000999000999000999,TRUE,"confirmatory"
-66,0.537315197206162,0.49969014065496,0.515306271876106,0.000999000999000999,1,0.000999000999000999,TRUE,0.513376016124503,1000,9015,57,"differential_object_marking","overall","all",NA,NA,0.000999000999000999,TRUE,"confirmatory"
-62,0.524963292944867,0.499854559969126,0.515367246383216,0.000999000999000999,1,0.000999000999000999,TRUE,0.513376016124503,1000,9015,57,"differential_object_marking","overall","all",NA,NA,0.000999000999000999,TRUE,"confirmatory"
-58,0.512831528618374,0.499851172573262,0.516220337858917,0.0649350649350649,NA,NA,FALSE,0.513376016124503,1000,9015,57,"differential_object_marking","overall","all",NA,NA,NA,FALSE,"confirmatory"
-54,0.492367506085457,0.499977057775648,0.518475770460813,0.81018981018981,NA,NA,FALSE,0.513376016124503,1000,9015,57,"differential_object_marking","overall","all",NA,NA,NA,FALSE,"confirmatory"
-50,0.48684274760081,0.500057557194714,0.516523709204639,0.94005994005994,NA,NA,FALSE,0.513376016124503,1000,9015,57,"differential_object_marking","overall","all",NA,NA,NA,FALSE,"confirmatory"
-46,0.489858940728117,0.499626392070563,0.515279685477278,0.876123876123876,NA,NA,FALSE,0.513376016124503,1000,9015,57,"differential_object_marking","overall","all",NA,NA,NA,FALSE,"confirmatory"
-42,0.510276704795485,0.499471011494439,0.514764803834088,0.0919080919080919,NA,NA,FALSE,0.513376016124503,1000,9015,57,"differential_object_marking","overall","all",NA,NA,NA,FALSE,"confirmatory"
-38,0.536417620371793,0.499437850077275,0.514900150057202,0.000999000999000999,2,0.000999000999000999,TRUE,0.513376016124503,1000,9015,57,"differential_object_marking","overall","all",NA,NA,0.000999000999000999,TRUE,"confirmatory"
-34,0.549208344551245,0.499659671626759,0.515968946445527,0.000999000999000999,2,0.000999000999000999,TRUE,0.513376016124503,1000,9015,57,"differential_object_marking","overall","all",NA,NA,0.000999000999000999,TRUE,"confirmatory"
-30,0.556592803393548,0.500078405334419,0.515345959458213,0.000999000999000999,2,0.000999000999000999,TRUE,0.513376016124503,1000,9015,57,"differential_object_marking","overall","all",NA,NA,0.000999000999000999,TRUE,"confirmatory"
-26,0.558761791244828,0.500115308585044,0.515321634375773,0.000999000999000999,2,0.000999000999000999,TRUE,0.513376016124503,1000,9015,57,"differential_object_marking","overall","all",NA,NA,0.000999000999000999,TRUE,"confirmatory"
-22,0.563971064219335,0.499811254596685,0.516311512031257,0.000999000999000999,2,0.000999000999000999,TRUE,0.513376016124503,1000,9015,57,"differential_object_marking","overall","all",NA,NA,0.000999000999000999,TRUE,"confirmatory"
-18,0.566830163714576,0.499929663499452,0.516397985881937,0.000999000999000999,2,0.000999000999000999,TRUE,0.513376016124503,1000,9015,57,"differential_object_marking","overall","all",NA,NA,0.000999000999000999,TRUE,"confirmatory"
-14,0.569456400568839,0.500060997630364,0.517697515755802,0.000999000999000999,2,0.000999000999000999,TRUE,0.513376016124503,1000,9015,57,"differential_object_marking","overall","all",NA,NA,0.000999000999000999,TRUE,"confirmatory"
-10,0.570015747127631,0.500363955842319,0.516271420053592,0.000999000999000999,2,0.000999000999000999,TRUE,0.513376016124503,1000,9015,57,"differential_object_marking","overall","all",NA,NA,0.000999000999000999,TRUE,"confirmatory"
-6,0.568051438469132,0.500419079719785,0.515736930744899,0.000999000999000999,2,0.000999000999000999,TRUE,0.513376016124503,1000,9015,57,"differential_object_marking","overall","all",NA,NA,0.000999000999000999,TRUE,"confirmatory"
-2,0.564712073108485,0.500317240724741,0.515661154714648,0.000999000999000999,2,0.000999000999000999,TRUE,0.513376016124503,1000,9015,57,"differential_object_marking","overall","all",NA,NA,0.000999000999000999,TRUE,"confirmatory"
2,0.560180247216467,0.500593073542655,0.516175661665953,0.000999000999000999,2,0.000999000999000999,TRUE,0.513376016124503,1000,9015,57,"differential_object_marking","overall","all",NA,NA,0.000999000999000999,TRUE,"confirmatory"
6,0.553815537309273,0.500496198334563,0.515351224035103,0.000999000999000999,2,0.000999000999000999,TRUE,0.513376016124503,1000,9015,57,"differential_object_marking","overall","all",NA,NA,0.000999000999000999,TRUE,"confirmatory"
10,0.547924578109496,0.500153583234339,0.515321245858331,0.000999000999000999,2,0.000999000999000999,TRUE,0.513376016124503,1000,9015,57,"differential_object_marking","overall","all",NA,NA,0.000999000999000999,TRUE,"confirmatory"
14,0.543824407324405,0.499755898425451,0.514639437063971,0.000999000999000999,2,0.000999000999000999,TRUE,0.513376016124503,1000,9015,57,"differential_object_marking","overall","all",NA,NA,0.000999000999000999,TRUE,"confirmatory"
18,0.540312463105797,0.499745194530868,0.514928578544114,0.000999000999000999,2,0.000999000999000999,TRUE,0.513376016124503,1000,9015,57,"differential_object_marking","overall","all",NA,NA,0.000999000999000999,TRUE,"confirmatory"
