"time_ms","auc","null_mean","null_q975","p_pointwise","cluster_id","cluster_p","significant","cluster_threshold","n_perm","n_trials","n_participants","property","analysis","level","session","mini_language","cluster_p_fdr","significant_fdr","inference"
-98,0.49522976913633,0.499719329663692,0.513863687290908,0.742257742257742,NA,NA,FALSE,0.511805765248499,1000,12882,63,"gender_agreement","overall","all",NA,NA,NA,FALSE,"confirmatory"
-94,0.495980237440127,0.499680014603067,0.513233590113768,0.695304695304695,NA,NA,FALSE,0.511805765248499,1000,12882,63,"gender_agreement","overall","all",NA,NA,NA,FALSE,"confirmatory"
-90,0.49219845021066,0.499590371210834,0.513194159608405,0.85014985014985,NA,NA,FALSE,0.511805765248499,1000,12882,63,"gender_agreement","overall","all",NA,NA,NA,FALSE,"confirmatory"
-86,0.487616752521424,0.499755142782642,0.51391252660808,0.948051948051948,NA,NA,FALSE,0.511805765248499,1000,12882,63,"gender_agreement","overall","all",NA,NA,NA,FALSE,"confirmatory"
-82,0.492090745336169,0.50018914775545,0.513259348527903,0.863136863136863,NA,NA,FALSE,0.511805765248499,1000,12882,63,"gender_agreement","overall","all",NA,NA,NA,FALSE,"confirmatory"
-78,0.499395394311188,0.500458458701494,0.513965728903211,0.576423576423576,NA,NA,FALSE,0.511805765248499,1000,12882,63,"gender_agreement","overall","all",NA,NA,NA,FALSE,"confirmatory"
-74,0.507219567336153,0.500402915690251,0.513527739021103,0.18981018981019,NA,NA,FALSE,0.511805765248499,1000,12882,63,"gender_agreement","overall","all",NA,NA,NA,FALSE,"confirmatory"
-70,0.50909729243871,0.500199386323562,0.513450101314367,0.110889110889111,NA,NA,FALSE,0.511805765248499,1000,12882,63,"gender_agreement","overall","all",NA,NA,NA,FALSE,"confirmatory"
-66,0.511214385832434,0.49994798049535,0.514094640069894,0.0609390609390609,NA,NA,FALSE,0.511805765248499,1000,12882,63,"gender_agreement","overall","all",NA,NA,NA,FALSE,"confirmatory"
-62,0.502792571326355,0.500003180878367,0.513367024386689,0.366633366633367,NA,NA,FALSE,0.511805765248499,1000,12882,63,"gender_agreement","overall","all",NA,NA,NA,FALSE,"confirmatory"
-58,0.496777931924851,0.500329796070365,0.513754670825438,0.706293706293706,NA,NA,FALSE,0.511805765248499,1000,12882,63,"gender_agreement","overall","all",NA,NA,NA,FALSE,"confirmatory"
-54,0.504284613665166,0.500283767838735,0.514133014050583,0.296703296703297,NA,NA,FALSE,0.511805765248499,1000,12882,63,"gender_agreement","overall","all",NA,NA,NA,FALSE,"confirmatory"
-50,0.508818429098374,0.499827206770914,0.513681502054827,0.122877122877123,NA,NA,FALSE,0.511805765248499,1000,12882,63,"gender_agreement","overall","all",NA,NA,NA,FALSE,"confirmatory"
-46,0.508883712912544,0.499704209420443,0.51325710669417,0.110889110889111,NA,NA,FALSE,0.511805765248499,1000,12882,63,"gender_agreement","overall","all",NA,NA,NA,FALSE,"confirmatory"
-42,0.50468703655177,0.499875883291229,0.513104419039915,0.270729270729271,NA,NA,FALSE,0.511805765248499,1000,12882,63,"gender_agreement","overall","all",NA,NA,NA,FALSE,"confirmatory"
-38,0.502275083674939,0.500204782866784,0.514807113005796,0.393606393606394,NA,NA,FALSE,0.511805765248499,1000,12882,63,"gender_agreement","overall","all",NA,NA,NA,FALSE,"confirmatory"
-34,0.491063986941378,0.500189723240733,0.51457326535778,0.894105894105894,NA,NA,FALSE,0.511805765248499,1000,12882,63,"gender_agreement","overall","all",NA,NA,NA,FALSE,"confirmatory"
-30,0.491915436277404,0.499875726723329,0.514317558410367,0.86013986013986,NA,NA,FALSE,0.511805765248499,1000,12882,63,"gender_agreement","overall","all",NA,NA,NA,FALSE,"confirmatory"
-26,0.501886109762037,0.499823474387477,0.513588200792541,0.406593406593407,NA,NA,FALSE,0.511805765248499,1000,12882,63,"gender_agreement","overall","all",NA,NA,NA,FALSE,"confirmatory"
-22,0.502080375327224,0.499930886884447,0.513648370278716,0.396603396603397,NA,NA,FALSE,0.511805765248499,1000,12882,63,"gender_agreement","overall","all",NA,NA,NA,FALSE,"confirmatory"
-18,0.495179117073302,0.500102849856849,0.51348681893079,0.757242757242757,NA,NA,FALSE,0.511805765248499,1000,12882,63,"gender_agreement","overall","all",NA,NA,NA,FALSE,"confirmatory"
-14,0.495010628149143,0.499714162413226,0.513127699375219,0.738261738261738,NA,NA,FALSE,0.511805765248499,1000,12882,63,"gender_agreement","overall","all",NA,NA,NA,FALSE,"confirmatory"
-10,0.496608270124505,0.499777764386519,0.514439050291458,0.675324675324675,NA,NA,FALSE,0.511805765248499,1000,12882,63,"gender_agreement","overall","all",NA,NA,NA,FALSE,"confirmatory"
-6,0.500902453325883,0.500202906972631,0.51514598401699,0.466533466533467,NA,NA,FALSE,0.511805765248499,1000,12882,63,"gender_agreement","overall","all",NA,NA,NA,FALSE,"confirmatory"
-2,0.504954159989547,0.500174848822741,0.514803139803065,0.262737262737263,NA,NA,FALSE,0.511805765248499,1000,12882,63,"gender_agreement","overall","all",NA,NA,NA,FALSE,"confirmatory"
2,0.507263731964929,0.50011214621931,0.513684935477642,0.158841158841159,NA,NA,FALSE,0.511805765248499,1000,12882,63,"gender_agreement","overall","all",NA,NA,NA,FALSE,"confirmatory"
6,0.506298563566273,0.50004426357165,0.513977857123491,0.206793206793207,NA,NA,FALSE,0.511805765248499,1000,12882,63,"gender_agreement","overall","all",NA,NA,NA,FALSE,"confirmatory"
10,0.499164874411873,0.499919108745037,0.513629198641514,0.541458541458541,NA,NA,FALSE,0.511805765248499,1000,12882,63,"gender_agreement","overall","all",NA,NA,NA,FALSE,"confirmatory"
14,0.493701473884583,0.49983030138293,0.514088161085778,0.796203796203796,NA,NA,FALSE,0.511805765248499,1000,12882,63,"gender_agreement","overall","all",NA,NA,NA,FALSE,"confirmatory"
18,0.492364784640964,0.499886538817639,0.51382000944545,0.844155844155844,NA,NA,FALSE,0.511805765248499,1000,12882,63,"gender_agreement","overall","all",NA,NA,NA,FALSE,"confirmatory"
22,0.493635473732079,0.499726789062033,0.514052994282216,0.807192807192807,NA,NA,FALSE,0.511805765248499,1000,12882,63,"gender_agreement","overall","all",NA,NA,NA,FALSE,"confirmatory"
26,0.492540582962802,0.499718284862656,0.513537245606836,0.829170829170829,NA,NA,FALSE,0.511805765248499,1000,12882,63,"gender_agreement","overall","all",NA,NA,NA,FALSE,"confirmatory"
30,0.492273953048187,0.499817115303101,0.51347675929502,0.843156843156843,NA,NA,FALSE,0.511805765248499,1000,12882,63,"gender_agreement","overall","all",NA,NA,NA,FALSE,"confirmatory"
34,0.491493756191389,0.500149295725143,0.513985049745099,0.877122877122877,NA,NA,FALSE,0.511805765248499,1000,12882,63,"gender_agreement","overall","all",NA,NA,NA,FALSE,"confirmatory"
38,0.496743907365642,0.500367280688956,0.513714822512655,0.698301698301698,NA,NA,FALSE,0.511805765248499,1000,12882,63,"gender_agreement","overall","all",NA,NA,NA,FALSE,"confirmatory"
42,0.497094451129891,0.500209880167266,0.51347852802952,0.671328671328671,NA,NA,FALSE,0.511805765248499,1000,12882,63,"gender_agreement","overall","all",NA,NA,NA,FALSE,"confirmatory"
46,0.500370359810903,0.499706006709749,0.514141561958633,0.481518481518482,NA,NA,FALSE,0.511805765248499,1000,12882,63,"gender_agreement","overall","all",NA,NA,NA,FALSE,"confirmatory"
50,0.496538789315015,0.499721635295193,0.513549964500388,0.661338661338661,NA,NA,FALSE,0.511805765248499,1000,12882,63,"gender_agreement","overall","all",NA,NA,NA,FALSE,"confirmatory"
54,0.488571828072074,0.499895272346303,0.514015752769708,0.92007992007992,NA,NA,FALSE,0.511805765248499,1000,12882,63,"gender_agreement","overall","all",NA,NA,NA,FALSE,"confirmatory"
58,0.495987056302328,0.499571716804152,0.513515478938099,0.686313686313686,NA,NA,FALSE,0.511805765248499,1000,12882,63,"gender_agreement","overall","all",NA,NA,NA,FALSE,"confirmatory"
62,0.504922741240959,0.499489359623426,0.513942646307691,0.268731268731269,NA,NA,FALSE,0.511805765248499,1000,12882,63,"gender_agreement","overall","all",NA,NA,NA,FALSE,"confirmatory"
66,0.508279728841123,0.499609032242766,0.514636093455285,0.137862137862138,NA,NA,FALSE,0.511805765248499,1000,12882,63,"gender_agreement","overall","all",NA,NA,NA,FALSE,"confirmatory"
70,0.510239065358354,0.499680465856905,0.514403426649232,0.0929070929070929,NA,NA,FALSE,0.511805765248499,1000,12882,63,"gender_agreement","overall","all",NA,NA,NA,FALSE,"confirmatory"
74,0.514006066093659,0.499734653451261,0.513619821790927,0.023976023976024,1,0.836163836163836,FALSE,0.511805765248499,1000,12882,63,"gender_agreement","overall","all",NA,NA,0.933066933066933,FALSE,"confirmatory"
78,0.508696027357302,0.499711716411031,0.51306577233408,0.118881118881119,NA,NA,FALSE,0.511805765248499,1000,12882,63,"gender_agreement","overall","all",NA,NA,NA,FALSE,"confirmatory"
82,0.503187946469806,0.499920203326056,0.513710658597101,0.350649350649351,NA,NA,FALSE,0.511805765248499,1000,12882,63,"gender_agreement","overall","all",NA,NA,NA,FALSE,"confirmatory"
86,0.510435871431615,0.500072558911196,0.514222431450249,0.0669330669330669,NA,NA,FALSE,0.511805765248499,1000,12882,63,"gender_agreement","overall","all",NA,NA,NA,FALSE,"confirmatory"
90,0.517523966216078,0.499988254912316,0.513295773381523,0.00599400599400599,2,0.543456543456543,FALSE,0.511805765248499,1000,12882,63,"gender_agreement","overall","all",NA,NA,0.7904822450277,FALSE,"confirmatory"
94,0.516202249308261,0.499639571024704,0.512630968253092,0.00599400599400599,2,0.543456543456543,FALSE,0.511805765248499,1000,12882,63,"gender_agreement","overall","all",NA,NA,0.7904822450277,FALSE,"confirmatory"
98,0.509168757768727,0.499558498044091,0.512974761427534,0.0849150849150849,NA,NA,FALSE,0.511805765248499,1000,12882,63,"gender_agreement","overall","all",NA,NA,NA,FALSE,"confirmatory"
102,0.504883624231867,0.499614716778509,0.513713643282172,0.248751248751249,NA,NA,FALSE,0.511805765248499,1000,12882,63,"gender_agreement","overall","all",NA,NA,NA,FALSE,"confirmatory"
106,0.498754947285127,0.499808605411563,0.513427088688304,0.555444555444555,NA,NA,FALSE,0.511805765248499,1000,12882,63,"gender_agreement","overall","all",NA,NA,NA,FALSE,"confirmatory"
110,0.490983566416118,0.49978634984792,0.513641545148144,0.884115884115884,NA,NA,FALSE,0.511805765248499,1000,12882,63,"gender_agreement","overall","all",NA,NA,NA,FALSE,"confirmatory"
114,0.487550046832024,0.499802853540924,0.513305219663819,0.952047952047952,NA,NA,FALSE,0.511805765248499,1000,12882,63,"gender_agreement","overall","all",NA,NA,NA,FALSE,"confirmatory"
118,0.488429511888507,0.499868712824871,0.51444970035705,0.927072927072927,NA,NA,FALSE,0.511805765248499,1000,12882,63,"gender_agreement","overall","all",NA,NA,NA,FALSE,"confirmatory"
122,0.491102020569489,0.500024548102498,0.514613468605396,0.88011988011988,NA,NA,FALSE,0.511805765248499,1000,12882,63,"gender_agreement","overall","all",NA,NA,NA,FALSE,"confirmatory"
126,0.493083737810087,0.500199012762782,0.514321826709857,0.816183816183816,NA,NA,FALSE,0.511805765248499,1000,12882,63,"gender_agreement","overall","all",NA,NA,NA,FALSE,"confirmatory"
130,0.491948391533405,0.500185400285645,0.51335090141981,0.868131868131868,NA,NA,FALSE,0.511805765248499,1000,12882,63,"gender_agreement","overall","all",NA,NA,NA,FALSE,"confirmatory"
134,0.491051547070346,0.500049987711132,0.513538866784954,0.883116883116883,NA,NA,FALSE,0.511805765248499,1000,12882,63,"gender_agreement","overall","all",NA,NA,NA,FALSE,"confirmatory"
138,0.490896763671526,0.500021185868267,0.513707971564401,0.9000999000999,NA,NA,FALSE,0.511805765248499,1000,12882,63,"gender_agreement","overall","all",NA,NA,NA,FALSE,"confirmatory"
142,0.494886546586556,0.500064980134891,0.514834794890303,0.761238761238761,NA,NA,FALSE,0.511805765248499,1000,12882,63,"gender_agreement","overall","all",NA,NA,NA,FALSE,"confirmatory"
146,0.501845010285478,0.500064726180031,0.513954071475118,0.414585414585415,NA,NA,FALSE,0.511805765248499,1000,12882,63,"gender_agreement","overall","all",NA,NA,NA,FALSE,"confirmatory"
150,0.500493699175725,0.499959478909001,0.513749145569014,0.500499500499501,NA,NA,FALSE,0.511805765248499,1000,12882,63,"gender_agreement","overall","all",NA,NA,NA,FALSE,"confirmatory"
154,0.496628115556783,0.499954186574675,0.514439393537826,0.678321678321678,NA,NA,FALSE,0.511805765248499,1000,12882,63,"gender_agreement","overall","all",NA,NA,NA,FALSE,"confirmatory"
158,0.486041208462919,0.499990857052186,0.513488739536417,0.967032967032967,NA,NA,FALSE,0.511805765248499,1000,12882,63,"gender_agreement","overall","all",NA,NA,NA,FALSE,"confirmatory"
162,0.483352563172865,0.499946072552139,0.513247354402623,0.982017982017982,NA,NA,FALSE,0.511805765248499,1000,12882,63,"gender_agreement","overall","all",NA,NA,NA,FALSE,"confirmatory"
166,0.48303355335916,0.499819454040835,0.51365206850883,0.984015984015984,NA,NA,FALSE,0.511805765248499,1000,12882,63,"gender_agreement","overall","all",NA,NA,NA,FALSE,"confirmatory"
170,0.489218849848034,0.499851564158084,0.51397919975068,0.925074925074925,NA,NA,FALSE,0.511805765248499,1000,12882,63,"gender_agreement","overall","all",NA,NA,NA,FALSE,"confirmatory"
174,0.497438594420045,0.499934461048422,0.513136687339047,0.628371628371628,NA,NA,FALSE,0.511805765248499,1000,12882,63,"gender_agreement","overall","all",NA,NA,NA,FALSE,"confirmatory"
178,0.500955953219032,0.500119581289117,0.513033020033756,0.453546453546454,NA,NA,FALSE,0.511805765248499,1000,12882,63,"gender_agreement","overall","all",NA,NA,NA,FALSE,"confirmatory"
182,0.502128093104298,0.500146997198243,0.513713435585441,0.402597402597403,NA,NA,FALSE,0.511805765248499,1000,12882,63,"gender_agreement","overall","all",NA,NA,NA,FALSE,"confirmatory"
186,0.499804219646539,0.500022071006641,0.513620723918219,0.523476523476524,NA,NA,FALSE,0.511805765248499,1000,12882,63,"gender_agreement","overall","all",NA,NA,NA,FALSE,"confirmatory"
190,0.500520213250472,0.499856127225951,0.51377597309539,0.492507492507492,NA,NA,FALSE,0.511805765248499,1000,12882,63,"gender_agreement","overall","all",NA,NA,NA,FALSE,"confirmatory"
194,0.500719489192137,0.499853531431152,0.51356984345795,0.461538461538462,NA,NA,FALSE,0.511805765248499,1000,12882,63,"gender_agreement","overall","all",NA,NA,NA,FALSE,"confirmatory"
198,0.500203694613203,0.499861566203825,0.513218403085189,0.491508491508492,NA,NA,FALSE,0.511805765248499,1000,12882,63,"gender_agreement","overall","all",NA,NA,NA,FALSE,"confirmatory"
202,0.494458680971978,0.499776059414858,0.514354307116265,0.761238761238761,NA,NA,FALSE,0.511805765248499,1000,12882,63,"gender_agreement","overall","all",NA,NA,NA,FALSE,"confirmatory"
206,0.491554430344184,0.499973881815479,0.513560493455359,0.868131868131868,NA,NA,FALSE,0.511805765248499,1000,12882,63,"gender_agreement","overall","all",NA,NA,NA,FALSE,"confirmatory"
210,0.493785941164875,0.500100917830494,0.51394925685587,0.811188811188811,NA,NA,FALSE,0.511805765248499,1000,12882,63,"gender_agreement","overall","all",NA,NA,NA,FALSE,"confirmatory"
214,0.501067417837458,0.49999152260813,0.512966407212595,0.457542457542458,NA,NA,FALSE,0.511805765248499,1000,12882,63,"gender_agreement","overall","all",NA,NA,NA,FALSE,"confirmatory"
218,0.504919275007413,0.499844966346609,0.512826974167425,0.233766233766234,NA,NA,FALSE,0.511805765248499,1000,12882,63,"gender_agreement","overall","all",NA,NA,NA,FALSE,"confirmatory"
222,0.505227606863907,0.499665602023664,0.512671351285528,0.224775224775225,NA,NA,FALSE,0.511805765248499,1000,12882,63,"gender_agreement","overall","all",NA,NA,NA,FALSE,"confirmatory"
226,0.502658348726709,0.499762341630624,0.513313832953228,0.378621378621379,NA,NA,FALSE,0.511805765248499,1000,12882,63,"gender_agreement","overall","all",NA,NA,NA,FALSE,"confirmatory"
230,0.494804339416542,0.499763131534166,0.512860317118105,0.769230769230769,NA,NA,FALSE,0.511805765248499,1000,12882,63,"gender_agreement","overall","all",NA,NA,NA,FALSE,"confirmatory"
234,0.48971739613972,0.499878692291409,0.513377983172427,0.917082917082917,NA,NA,FALSE,0.511805765248499,1000,12882,63,"gender_agreement","overall","all",NA,NA,NA,FALSE,"confirmatory"
238,0.480744534654613,0.499852883126404,0.512880674511769,0.987012987012987,NA,NA,FALSE,0.511805765248499,1000,12882,63,"gender_agreement","overall","all",NA,NA,NA,FALSE,"confirmatory"
242,0.484875234011921,0.499892914779633,0.513249241303192,0.973026973026973,NA,NA,FALSE,0.511805765248499,1000,12882,63,"gender_agreement","overall","all",NA,NA,NA,FALSE,"confirmatory"
246,0.491019351510264,0.500010434384032,0.513927079071565,0.892107892107892,NA,NA,FALSE,0.511805765248499,1000,12882,63,"gender_agreement","overall","all",NA,NA,NA,FALSE,"confirmatory"
250,0.486160636059223,0.500191574600551,0.51382945057289,0.973026973026973,NA,NA,FALSE,0.511805765248499,1000,12882,63,"gender_agreement","overall","all",NA,NA,NA,FALSE,"confirmatory"
254,0.481504963638469,0.500401084066133,0.513973712939284,0.992007992007992,NA,NA,FALSE,0.511805765248499,1000,12882,63,"gender_agreement","overall","all",NA,NA,NA,FALSE,"confirmatory"
258,0.486821551100841,0.500436921535915,0.51424018439712,0.965034965034965,NA,NA,FALSE,0.511805765248499,1000,12882,63,"gender_agreement","overall","all",NA,NA,NA,FALSE,"confirmatory"
262,0.499423473596412,0.500270269584655,0.514341628959597,0.554445554445554,NA,NA,FALSE,0.511805765248499,1000,12882,63,"gender_agreement","overall","all",NA,NA,NA,FALSE,"confirmatory"
266,0.504088336940429,0.499897328797337,0.514006521615809,0.293706293706294,NA,NA,FALSE,0.511805765248499,1000,12882,63,"gender_agreement","overall","all",NA,NA,NA,FALSE,"confirmatory"
270,0.503945530683574,0.499766065604884,0.51409224985944,0.271728271728272,NA,NA,FALSE,0.511805765248499,1000,12882,63,"gender_agreement","overall","all",NA,NA,NA,FALSE,"confirmatory"
274,0.500572054364247,0.499807488638081,0.514888081129945,0.458541458541459,NA,NA,FALSE,0.511805765248499,1000,12882,63,"gender_agreement","overall","all",NA,NA,NA,FALSE,"confirmatory"
278,0.497744195391456,0.499864406318057,0.514712282416603,0.623376623376623,NA,NA,FALSE,0.511805765248499,1000,12882,63,"gender_agreement","overall","all",NA,NA,NA,FALSE,"confirmatory"
282,0.497932322051472,0.50003141111651,0.514390346702289,0.624375624375624,NA,NA,FALSE,0.511805765248499,1000,12882,63,"gender_agreement","overall","all",NA,NA,NA,FALSE,"confirmatory"
286,0.49719679894145,0.500079666350059,0.513846464510284,0.646353646353646,NA,NA,FALSE,0.511805765248499,1000,12882,63,"gender_agreement","overall","all",NA,NA,NA,FALSE,"confirmatory"
290,0.49861767635097,0.500019401202655,0.513738039732323,0.577422577422577,NA,NA,FALSE,0.511805765248499,1000,12882,63,"gender_agreement","overall","all",NA,NA,NA,FALSE,"confirmatory"
294,0.49874577686882,0.500093799153436,0.513729927091611,0.593406593406593,NA,NA,FALSE,0.511805765248499,1000,12882,63,"gender_agreement","overall","all",NA,NA,NA,FALSE,"confirmatory"
298,0.50136415339105,0.500000712742164,0.513754775373978,0.445554445554446,NA,NA,FALSE,0.511805765248499,1000,12882,63,"gender_agreement","overall","all",NA,NA,NA,FALSE,"confirmatory"
302,0.505584255842664,0.499923183768876,0.513661029698678,0.224775224775225,NA,NA,FALSE,0.511805765248499,1000,12882,63,"gender_agreement","overall","all",NA,NA,NA,FALSE,"confirmatory"
306,0.503966896035837,0.500122210845449,0.51323885930055,0.305694305694306,NA,NA,FALSE,0.511805765248499,1000,12882,63,"gender_agreement","overall","all",NA,NA,NA,FALSE,"confirmatory"
310,0.503561275157299,0.500113518246678,0.513139546956051,0.347652347652348,NA,NA,FALSE,0.511805765248499,1000,12882,63,"gender_agreement","overall","all",NA,NA,NA,FALSE,"confirmatory"
314,0.503835280538022,0.500218189427402,0.513675318923378,0.326673326673327,NA,NA,FALSE,0.511805765248499,1000,12882,63,"gender_agreement","overall","all",NA,NA,NA,FALSE,"confirmatory"
318,0.501381829153696,0.50011120034175,0.513568575686531,0.446553446553447,NA,NA,FALSE,0.511805765248499,1000,12882,63,"gender_agreement","overall","all",NA,NA,NA,FALSE,"confirmatory"
322,0.498482970870814,0.500176546442982,0.513343319487759,0.607392607392607,NA,NA,FALSE,0.511805765248499,1000,12882,63,"gender_agreement","overall","all",NA,NA,NA,FALSE,"confirmatory"
326,0.496834240245425,0.500095031680524,0.512867235275943,0.689310689310689,NA,NA,FALSE,0.511805765248499,1000,12882,63,"gender_agreement","overall","all",NA,NA,NA,FALSE,"confirmatory"
330,0.495413249164482,0.499911189127832,0.513925500851024,0.753246753246753,NA,NA,FALSE,0.511805765248499,1000,12882,63,"gender_agreement","overall","all",NA,NA,NA,FALSE,"confirmatory"
334,0.493167322773957,0.499742353605515,0.513774796246393,0.807192807192807,NA,NA,FALSE,0.511805765248499,1000,12882,63,"gender_agreement","overall","all",NA,NA,NA,FALSE,"confirmatory"
338,0.499407682450484,0.499587699444002,0.513141852366191,0.519480519480519,NA,NA,FALSE,0.511805765248499,1000,12882,63,"gender_agreement","overall","all",NA,NA,NA,FALSE,"confirmatory"
342,0.499980547488901,0.499618678284436,0.513801902605634,0.495504495504495,NA,NA,FALSE,0.511805765248499,1000,12882,63,"gender_agreement","overall","all",NA,NA,NA,FALSE,"confirmatory"
346,0.498114404490074,0.499762217963073,0.514034651789051,0.602397602397602,NA,NA,FALSE,0.511805765248499,1000,12882,63,"gender_agreement","overall","all",NA,NA,NA,FALSE,"confirmatory"
350,0.496280659464057,0.499779012654417,0.513492633971155,0.687312687312687,NA,NA,FALSE,0.511805765248499,1000,12882,63,"gender_agreement","overall","all",NA,NA,NA,FALSE,"confirmatory"
354,0.500410194975872,0.499808903807938,0.513448844449642,0.466533466533467,NA,NA,FALSE,0.511805765248499,1000,12882,63,"gender_agreement","overall","all",NA,NA,NA,FALSE,"confirmatory"
358,0.505602066237884,0.499774174430637,0.51328304615687,0.225774225774226,NA,NA,FALSE,0.511805765248499,1000,12882,63,"gender_agreement","overall","all",NA,NA,NA,FALSE,"confirmatory"
362,0.507955285967116,0.49970423697539,0.513100831043652,0.138861138861139,NA,NA,FALSE,0.511805765248499,1000,12882,63,"gender_agreement","overall","all",NA,NA,NA,FALSE,"confirmatory"
366,0.511427793471895,0.499674706565071,0.513358736294391,0.0529470529470529,NA,NA,FALSE,0.511805765248499,1000,12882,63,"gender_agreement","overall","all",NA,NA,NA,FALSE,"confirmatory"
370,0.511181165282767,0.499667598620109,0.514449400937886,0.0649350649350649,NA,NA,FALSE,0.511805765248499,1000,12882,63,"gender_agreement","overall","all",NA,NA,NA,FALSE,"confirmatory"
374,0.51106522210614,0.499831583011758,0.513925579099962,0.0649350649350649,NA,NA,FALSE,0.511805765248499,1000,12882,63,"gender_agreement","overall","all",NA,NA,NA,FALSE,"confirmatory"
378,0.513961734721362,0.500102896340303,0.513623402251535,0.022977022977023,3,0.012987012987013,TRUE,0.511805765248499,1000,12882,63,"gender_agreement","overall","all",NA,NA,0.0346320346320346,TRUE,"confirmatory"
