participant_lab_ID,session,phase,start_ms,end_ms,duration_min,boundary,source_file,participant_home_ID,language
1,2,pretraining,47120,269633,3.70855,next phase start,subject-1.csv,hnzm9,Mini-English
10,2,pretraining,844721,1008415,2.7282333333333333,next phase start,subject-10.csv,crar9,Mini-Norwegian
11,2,pretraining,1095451,1197509,1.7009666666666667,next phase start,subject-11.csv,uyxx3,Mini-English
12,2,pretraining,808691,877551,1.1476666666666666,next phase start,subject-12.csv,fqrf6,Mini-Norwegian
13,2,pretraining,1001061,1253726,4.211083333333334,next phase start,subject-13.csv,ezje7,Mini-English
14,2,pretraining,1413269,1551210,2.2990166666666667,next phase start,subject-14.csv,finc3,Mini-Norwegian
15,2,pretraining,1580784,1835882,4.251633333333333,next phase start,subject-15.csv,gxac7,Mini-English
16,2,pretraining,1148892,1347254,3.306033333333333,next phase start,subject-16.csv,rvax5,Mini-Norwegian
17,2,pretraining,792614,1107758,5.2524,next phase start,subject-17.csv,ksjo8,Mini-English
18,2,pretraining,880112,982170,1.7009666666666667,next phase start,subject-18.csv,ltsl3,Mini-Norwegian
19,2,pretraining,1269973,1434788,2.7469166666666665,next phase start,subject-19.csv,zuwa4,Mini-English
2,2,pretraining,1215308,1395389,3.00135,next phase start,subject-2.csv,rqed8,Mini-Norwegian
20,2,pretraining,1332679,1474748,2.3678166666666667,next phase start,subject-20.csv,wbij5,Mini-Norwegian
21,2,pretraining,975938,1264187,4.80415,next phase start,subject-21.csv,ztwr3,Mini-English
22,2,pretraining,897212,1119044,3.6972,next phase start,subject-22.csv,wjob1,Mini-Norwegian
23,2,pretraining,872919,1151816,4.6482833333333335,next phase start,subject-23.csv,dbrb5,Mini-English
24,2,pretraining,924414,1230196,5.0963666666666665,next phase start,subject-24.csv,ahsw7,Mini-Norwegian
25,2,pretraining,788430,1120332,5.5317,next phase start,subject-25.csv,noyy6,Mini-English
26,2,pretraining,801406,1000070,3.3110666666666666,next phase start,subject-26.csv,zhao8,Mini-Norwegian
27,2,pretraining,885095,1215976,5.514683333333333,next phase start,subject-27.csv,qlhb2,Mini-English
28,2,pretraining,863400,1144161,4.67935,next phase start,subject-28.csv,rlgy8,Mini-Norwegian
29,2,pretraining,756388,996275,3.9981166666666668,next phase start,subject-29.csv,usjs8,Mini-English
3,2,pretraining,919405,1168685,4.1546666666666665,next phase start,subject-3.csv,xqls8,Mini-English
30,2,pretraining,791622,1158528,6.1151,next phase start,subject-30.csv,yozx4,Mini-Norwegian
31,2,pretraining,746932,943252,3.272,next phase start,subject-31.csv,zllv8,Mini-English
32,2,pretraining,1164062,1338260,2.9033,next phase start,subject-32.csv,gjop6,Mini-Norwegian
33,2,pretraining,781265,970896,3.1605166666666666,next phase start,subject-33.csv,mrbf1,Mini-English
34,2,pretraining,779523,1014059,3.908933333333333,next phase start,subject-34.csv,cgju5,Mini-Norwegian
35,2,pretraining,842794,1044832,3.3673,next phase start,subject-35.csv,uicn9,Mini-English
36,2,pretraining,847781,1197182,5.82335,next phase start,subject-36.csv,zuff1,Mini-Norwegian
37,2,pretraining,969881,1187424,3.6257166666666665,next phase start,subject-37.csv,hymj4,Mini-English
38,2,pretraining,871624,1198061,5.440616666666667,next phase start,subject-38.csv,idyh6,Mini-Norwegian
39,2,pretraining,849618,1087569,3.96585,next phase start,subject-39.csv,fwma9,Mini-English
4,2,pretraining,893923,1222333,5.4735,next phase start,subject-4.csv,qgsl9,Mini-Norwegian
40,2,pretraining,830522,1083177,4.210916666666667,next phase start,subject-40.csv,bder6,Mini-Norwegian
41,2,pretraining,815744,1012015,3.2711833333333336,next phase start,subject-41.csv,chkk1,Mini-English
42,2,pretraining,832134,979630,2.458266666666667,next phase start,subject-42.csv,yzud1,Mini-Norwegian
43,2,pretraining,816719,1112455,4.928933333333333,next phase start,subject-43.csv,fkft1,Mini-English
44,2,pretraining,813124,1070509,4.28975,next phase start,subject-44.csv,kvrn1,Mini-Norwegian
45,2,pretraining,751133,1103069,5.8656,next phase start,subject-45.csv,monr7,Mini-English
46,2,pretraining,842406,1119772,4.622766666666666,next phase start,subject-46.csv,bdjk0,Mini-Norwegian
47,2,pretraining,881483,1207445,5.4327,next phase start,subject-47.csv,swbd5,Mini-English
48,2,pretraining,831364,1203021,6.194283333333333,next phase start,subject-48.csv,kixs9,Mini-Norwegian
49,2,pretraining,824098,1031458,3.456,next phase start,subject-49.csv,sjnh6,Mini-English
5,2,pretraining,1049797,1335790,4.76655,next phase start,subject-5.csv,pson3,Mini-English
51,2,pretraining,763594,1071049,5.12425,next phase start,subject-51.csv,trpu0,Mini-English
52,2,pretraining,807341,1035376,3.8005833333333334,next phase start,subject-52.csv,mvse0,Mini-Norwegian
53,2,pretraining,731131,966283,3.9192,next phase start,subject-53.csv,sxhv6,Mini-English
54,2,pretraining,833666,1129380,4.928566666666667,next phase start,subject-54.csv,dzyb1,Mini-Norwegian
55,2,pretraining,745718,971143,3.7570833333333336,next phase start,subject-55.csv,jlos1,Mini-English
56,2,pretraining,1345529,1831509,8.099666666666666,next phase start,subject-56.csv,awfh6,Mini-Norwegian
57,2,pretraining,736276,873708,2.2905333333333333,next phase start,subject-57.csv,mtjw7,Mini-English
58,2,pretraining,796243,1294620,8.306283333333333,next phase start,subject-58.csv,rodf4,Mini-Norwegian
59,2,pretraining,880685,1130228,4.15905,next phase start,subject-59.csv,mhbu4,Mini-English
6,2,pretraining,943411,1396422,7.550183333333333,next phase start,subject-6.csv,jpxp4,Mini-Norwegian
60,2,pretraining,765273,1175119,6.830766666666666,next phase start,subject-60.csv,kwly7,Mini-Norwegian
