"electrode","brain_region","macroregion","hemisphere","caudality","theta","phi","x","y"
"F3","left anterior","lateral","left","anterior",-60,-51,-0.419546927366558,0.518097307637981
"F7","left anterior","lateral","left","anterior",-90,-36,-0.809016994374947,0.587785252292473
"FC5","left anterior","lateral","left","anterior",-69,-22,-0.71084095516787,0.287198388285533
"Fp1","left anterior","lateral","left","anterior",-90,-72,-0.309016994374947,0.951056516295154
"FT9","left anterior","lateral","left","anterior",-113,-18,-1.19410429268169,0.387988004048545
"C3","left medial","lateral","left","medial",-45,0,-0.5,6.12303176911189e-17
"CP5","left medial","lateral","left","medial",-69,21,-0.715744993647855,-0.274748761318064
"T7","left medial","lateral","left","medial",-90,0,-1,1.22460635382238e-16
"O1","left posterior","lateral","left","posterior",-90,72,-0.309016994374948,-0.951056516295154
"P3","left posterior","lateral","left","posterior",-60,51,-0.419546927366558,-0.518097307637981
"P7","left posterior","lateral","left","posterior",-90,36,-0.809016994374948,-0.587785252292473
"FC1","midline anterior","midline","midline","anterior",-31,-46,-0.239271216491432,0.247772597894424
"FC2","midline anterior","midline","midline","anterior",31,46,0.239271216491432,0.247772597894424
"Fz","midline anterior","midline","midline","anterior",45,90,3.06151588455594e-17,0.5
"CP1","midline medial","midline","midline","medial",-31,46,-0.239271216491432,-0.247772597894424
"CP2","midline medial","midline","midline","medial",31,-46,0.239271216491432,-0.247772597894424
"Cz","midline medial","midline","midline","medial",0,0,0,0
"Oz","midline posterior","midline","midline","posterior",90,-90,6.12303176911189e-17,-1
"Pz","midline posterior","midline","midline","posterior",45,-90,3.06151588455594e-17,-0.5
"F4","right anterior","lateral","right","anterior",60,51,0.419546927366558,0.51809730763798
"F8","right anterior","lateral","right","anterior",90,36,0.809016994374947,0.587785252292473
"FC6","right anterior","lateral","right","anterior",69,21,0.715744993647855,0.274748761318064
"Fp2","right anterior","lateral","right","anterior",90,72,0.309016994374947,0.951056516295154
"FT10","right anterior","lateral","right","anterior",113,18,1.19410429268169,0.387988004048545
"C4","right medial","lateral","right","medial",45,0,0.5,0
"CP6","right medial","lateral","right","medial",69,-21,0.715744993647855,-0.274748761318064
"T8","right medial","lateral","right","medial",90,0,1,0
"O2","right posterior","lateral","right","posterior",90,-72,0.309016994374947,-0.951056516295154
"P4","right posterior","lateral","right","posterior",60,-51,0.419546927366558,-0.51809730763798
"P8","right posterior","lateral","right","posterior",90,-36,0.809016994374947,-0.587785252292473
