"train_time_ms","test_time_ms","auc","n_folds","property"
-98,-98,0.597120265259343,57,"differential_object_marking"
-90,-98,0.595155643224496,57,"differential_object_marking"
-82,-98,0.580092334250598,57,"differential_object_marking"
-74,-98,0.568165223452438,57,"differential_object_marking"
-66,-98,0.560796541387075,57,"differential_object_marking"
-58,-98,0.533821401000057,57,"differential_object_marking"
-50,-98,0.495287868066953,57,"differential_object_marking"
-42,-98,0.448168847478921,57,"differential_object_marking"
-34,-98,0.425128366701059,57,"differential_object_marking"
-26,-98,0.416767327182452,57,"differential_object_marking"
-18,-98,0.416089901319127,57,"differential_object_marking"
-10,-98,0.410244474131562,57,"differential_object_marking"
-2,-98,0.413150854166918,57,"differential_object_marking"
6,-98,0.422465928888771,57,"differential_object_marking"
14,-98,0.438436234083888,57,"differential_object_marking"
22,-98,0.457741900707281,57,"differential_object_marking"
30,-98,0.484490543117152,57,"differential_object_marking"
38,-98,0.489886412742088,57,"differential_object_marking"
46,-98,0.484006903519722,57,"differential_object_marking"
54,-98,0.476096538341447,57,"differential_object_marking"
62,-98,0.466463960354803,57,"differential_object_marking"
70,-98,0.460030914081765,57,"differential_object_marking"
78,-98,0.462255064377817,57,"differential_object_marking"
86,-98,0.457185716035327,57,"differential_object_marking"
94,-98,0.455686747205862,57,"differential_object_marking"
102,-98,0.463973302939001,57,"differential_object_marking"
110,-98,0.466637484115363,57,"differential_object_marking"
118,-98,0.470398051109991,57,"differential_object_marking"
126,-98,0.472107485073299,57,"differential_object_marking"
134,-98,0.473624694614088,57,"differential_object_marking"
142,-98,0.472060099197362,57,"differential_object_marking"
150,-98,0.482322876957411,57,"differential_object_marking"
158,-98,0.500010018763997,57,"differential_object_marking"
166,-98,0.51963603887465,57,"differential_object_marking"
174,-98,0.53181780146803,57,"differential_object_marking"
182,-98,0.533099597649281,57,"differential_object_marking"
190,-98,0.531991977013366,57,"differential_object_marking"
198,-98,0.528465158452743,57,"differential_object_marking"
206,-98,0.529218448178858,57,"differential_object_marking"
214,-98,0.530980935291875,57,"differential_object_marking"
222,-98,0.525442239451653,57,"differential_object_marking"
230,-98,0.531444537023764,57,"differential_object_marking"
238,-98,0.542430723180965,57,"differential_object_marking"
246,-98,0.551366395778683,57,"differential_object_marking"
254,-98,0.553552246055313,57,"differential_object_marking"
262,-98,0.547428464378057,57,"differential_object_marking"
270,-98,0.54677270357837,57,"differential_object_marking"
278,-98,0.541876377908131,57,"differential_object_marking"
286,-98,0.530357505725532,57,"differential_object_marking"
294,-98,0.516615345490126,57,"differential_object_marking"
302,-98,0.516681139817785,57,"differential_object_marking"
310,-98,0.523839231579455,57,"differential_object_marking"
318,-98,0.522504850980299,57,"differential_object_marking"
326,-98,0.522068020304202,57,"differential_object_marking"
