"metric","value","sd","n","vmin","vmax","note"
"n_enrolled",65,NA,65,NA,NA,"participant key, Mini-language assigned"
"n_mini_english",33,NA,NA,NA,NA,""
"n_mini_norwegian",32,NA,NA,NA,NA,""
"n_lhq3",64,NA,64,NA,NA,"analysed participants with an LHQ3 record"
"age_years",25.671875,7.40453461984667,64,16,54,"LHQ3 Age"
"sex_female",40,NA,64,NA,NA,""
"sex_male",21,NA,64,NA,NA,""
"sex_nonbinary",1,NA,64,NA,NA,""
"sex_undisclosed",2,NA,64,NA,NA,"gender not disclosed / non-relevant"
"hand_right",60,NA,63,NA,NA,""
"hand_left",3,NA,63,NA,NA,""
"hand_reported_n",63,NA,64,NA,NA,"participants with a handedness response"
"eng_aoa_listen",6.77777777777778,3.98968203294628,63,0,22,"English age of first exposure (LHQ3 item-7 listening onset)"
"eng_aoa_4mod",7.68253968253968,3.02583178020682,63,0,17.5,"English AoA, mean over listening/speaking/reading/writing"
"eng_years",18.2063492063492,7.51591586537814,63,0,44,"English years of use (LHQ3 item-7)"
"eng_l2_proficiency",0.81640625,0.158968572190998,64,0.14,1,"LHQ3 L2 (English) self-rated proficiency, 0-1"
"multilingual_diversity",1.359375,0.27530574634078,64,0.93,1.89,"LHQ3 Multilingual Language Diversity Score"
